group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
binary_trees,,,,,4634473.0,ns,1
binary_trees,,,,,9298587.0,ns,2
binary_trees,,,,,10527545.0,ns,3
binary_trees,,,,,15747773.0,ns,4
binary_trees,,,,,20435291.0,ns,5
binary_trees,,,,,19994822.0,ns,6
binary_trees,,,,,21748361.0,ns,7
binary_trees,,,,,29121738.0,ns,8
binary_trees,,,,,28917871.0,ns,9
binary_trees,,,,,33515937.0,ns,10
binary_trees,,,,,38027763.0,ns,11
binary_trees,,,,,37735360.0,ns,12
binary_trees,,,,,41657044.0,ns,13
binary_trees,,,,,46457031.0,ns,14
binary_trees,,,,,47510090.0,ns,15
binary_trees,,,,,53752172.0,ns,16
binary_trees,,,,,55538192.0,ns,17
binary_trees,,,,,58345141.0,ns,18
binary_trees,,,,,66334885.0,ns,19
binary_trees,,,,,64961877.0,ns,20
binary_trees,,,,,71853247.0,ns,21
binary_trees,,,,,72859758.0,ns,22
binary_trees,,,,,74692726.0,ns,23
binary_trees,,,,,76331956.0,ns,24
binary_trees,,,,,81424482.0,ns,25
binary_trees,,,,,87621793.0,ns,26
binary_trees,,,,,93126712.0,ns,27
binary_trees,,,,,90713267.0,ns,28
binary_trees,,,,,94899970.0,ns,29
binary_trees,,,,,100245132.0,ns,30
binary_trees,,,,,104379061.0,ns,31
binary_trees,,,,,107288921.0,ns,32
binary_trees,,,,,104052220.0,ns,33
binary_trees,,,,,100668178.0,ns,34
binary_trees,,,,,103559762.0,ns,35
binary_trees,,,,,112024214.0,ns,36
binary_trees,,,,,112026932.0,ns,37
binary_trees,,,,,113797386.0,ns,38
binary_trees,,,,,123194215.0,ns,39
binary_trees,,,,,122258031.0,ns,40
binary_trees,,,,,122378679.0,ns,41
binary_trees,,,,,123058129.0,ns,42
binary_trees,,,,,127025480.0,ns,43
binary_trees,,,,,139637815.0,ns,44
binary_trees,,,,,136995353.0,ns,45
binary_trees,,,,,139052325.0,ns,46
binary_trees,,,,,142376775.0,ns,47
binary_trees,,,,,146853510.0,ns,48
binary_trees,,,,,151647810.0,ns,49
binary_trees,,,,,147919609.0,ns,50
binary_trees,,,,,162543754.0,ns,51
binary_trees,,,,,166215711.0,ns,52
binary_trees,,,,,156006148.0,ns,53
binary_trees,,,,,162513559.0,ns,54
binary_trees,,,,,167913975.0,ns,55
binary_trees,,,,,168766579.0,ns,56
binary_trees,,,,,175156824.0,ns,57
binary_trees,,,,,170929379.0,ns,58
binary_trees,,,,,175206279.0,ns,59
binary_trees,,,,,180290896.0,ns,60
binary_trees,,,,,180719153.0,ns,61
binary_trees,,,,,189157014.0,ns,62
binary_trees,,,,,192485240.0,ns,63
binary_trees,,,,,194930098.0,ns,64
binary_trees,,,,,197854635.0,ns,65
binary_trees,,,,,217498001.0,ns,66
binary_trees,,,,,265509610.0,ns,67
binary_trees,,,,,311880745.0,ns,68
binary_trees,,,,,231798239.0,ns,69
binary_trees,,,,,235663786.0,ns,70
binary_trees,,,,,254133176.0,ns,71
binary_trees,,,,,241048486.0,ns,72
binary_trees,,,,,244538621.0,ns,73
binary_trees,,,,,244656657.0,ns,74
binary_trees,,,,,248226867.0,ns,75
binary_trees,,,,,262638132.0,ns,76
binary_trees,,,,,258861798.0,ns,77
binary_trees,,,,,263321006.0,ns,78
binary_trees,,,,,270437846.0,ns,79
binary_trees,,,,,268783233.0,ns,80
binary_trees,,,,,269101376.0,ns,81
binary_trees,,,,,276729915.0,ns,82
binary_trees,,,,,281071567.0,ns,83
binary_trees,,,,,248981663.0,ns,84
binary_trees,,,,,296132249.0,ns,85
binary_trees,,,,,315857665.0,ns,86
binary_trees,,,,,315825632.0,ns,87
binary_trees,,,,,271512591.0,ns,88
binary_trees,,,,,254898659.0,ns,89
binary_trees,,,,,352167479.0,ns,90
binary_trees,,,,,333290191.0,ns,91
binary_trees,,,,,267603163.0,ns,92
binary_trees,,,,,266627255.0,ns,93
binary_trees,,,,,368107730.0,ns,94
binary_trees,,,,,301728661.0,ns,95
binary_trees,,,,,274838720.0,ns,96
binary_trees,,,,,279268738.0,ns,97
binary_trees,,,,,285567337.0,ns,98
binary_trees,,,,,285821708.0,ns,99
binary_trees,,,,,290084043.0,ns,100
