group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile binary_trees,,201,,,1212146.0,ns,15
compile binary_trees,,201,,,2440469.0,ns,30
compile binary_trees,,201,,,4377332.0,ns,45
compile binary_trees,,201,,,4534734.0,ns,60
compile binary_trees,,201,,,5507848.0,ns,75
compile binary_trees,,201,,,6240687.0,ns,90
compile binary_trees,,201,,,7524252.0,ns,105
compile binary_trees,,201,,,8173627.0,ns,120
compile binary_trees,,201,,,9160931.0,ns,135
compile binary_trees,,201,,,10096995.0,ns,150
compile binary_trees,,201,,,11112571.0,ns,165
compile binary_trees,,201,,,12188854.0,ns,180
compile binary_trees,,201,,,13217678.0,ns,195
compile binary_trees,,201,,,14109124.0,ns,210
compile binary_trees,,201,,,15185991.0,ns,225
compile binary_trees,,201,,,16221950.0,ns,240
compile binary_trees,,201,,,17158129.0,ns,255
compile binary_trees,,201,,,18229046.0,ns,270
compile binary_trees,,201,,,19078426.0,ns,285
compile binary_trees,,201,,,20152214.0,ns,300
compile binary_trees,,201,,,21189121.0,ns,315
compile binary_trees,,201,,,22288988.0,ns,330
compile binary_trees,,201,,,23239801.0,ns,345
compile binary_trees,,201,,,24281462.0,ns,360
compile binary_trees,,201,,,25247709.0,ns,375
compile binary_trees,,201,,,27150223.0,ns,390
compile binary_trees,,201,,,27602443.0,ns,405
compile binary_trees,,201,,,28177237.0,ns,420
compile binary_trees,,201,,,29315554.0,ns,435
compile binary_trees,,201,,,30200792.0,ns,450
compile binary_trees,,201,,,31374754.0,ns,465
compile binary_trees,,201,,,32209631.0,ns,480
compile binary_trees,,201,,,33210423.0,ns,495
compile binary_trees,,201,,,34108520.0,ns,510
compile binary_trees,,201,,,35316054.0,ns,525
compile binary_trees,,201,,,36342334.0,ns,540
compile binary_trees,,201,,,38419338.0,ns,555
compile binary_trees,,201,,,38470991.0,ns,570
compile binary_trees,,201,,,39220365.0,ns,585
compile binary_trees,,201,,,40154998.0,ns,600
compile binary_trees,,201,,,41462928.0,ns,615
compile binary_trees,,201,,,42483752.0,ns,630
compile binary_trees,,201,,,44485811.0,ns,645
compile binary_trees,,201,,,44584160.0,ns,660
compile binary_trees,,201,,,45563750.0,ns,675
compile binary_trees,,201,,,46597941.0,ns,690
compile binary_trees,,201,,,47668279.0,ns,705
compile binary_trees,,201,,,48254967.0,ns,720
compile binary_trees,,201,,,49344849.0,ns,735
compile binary_trees,,201,,,50600206.0,ns,750
compile binary_trees,,201,,,51816992.0,ns,765
compile binary_trees,,201,,,52339805.0,ns,780
compile binary_trees,,201,,,53617940.0,ns,795
compile binary_trees,,201,,,54679341.0,ns,810
compile binary_trees,,201,,,62407145.0,ns,825
compile binary_trees,,201,,,57896548.0,ns,840
compile binary_trees,,201,,,58261533.0,ns,855
compile binary_trees,,201,,,59758969.0,ns,870
compile binary_trees,,201,,,59595775.0,ns,885
compile binary_trees,,201,,,61462692.0,ns,900
compile binary_trees,,201,,,62208070.0,ns,915
compile binary_trees,,201,,,62768582.0,ns,930
compile binary_trees,,201,,,64274587.0,ns,945
compile binary_trees,,201,,,68586473.0,ns,960
compile binary_trees,,201,,,66798189.0,ns,975
compile binary_trees,,201,,,69647968.0,ns,990
compile binary_trees,,201,,,75017085.0,ns,1005
compile binary_trees,,201,,,74347374.0,ns,1020
compile binary_trees,,201,,,70113743.0,ns,1035
compile binary_trees,,201,,,75785521.0,ns,1050
compile binary_trees,,201,,,72088455.0,ns,1065
compile binary_trees,,201,,,72837233.0,ns,1080
compile binary_trees,,201,,,76946999.0,ns,1095
compile binary_trees,,201,,,74721580.0,ns,1110
compile binary_trees,,201,,,76063539.0,ns,1125
compile binary_trees,,201,,,77933482.0,ns,1140
compile binary_trees,,201,,,78964745.0,ns,1155
compile binary_trees,,201,,,78711771.0,ns,1170
compile binary_trees,,201,,,79255342.0,ns,1185
compile binary_trees,,201,,,82049173.0,ns,1200
compile binary_trees,,201,,,82959373.0,ns,1215
compile binary_trees,,201,,,82828423.0,ns,1230
compile binary_trees,,201,,,83824080.0,ns,1245
compile binary_trees,,201,,,85124392.0,ns,1260
compile binary_trees,,201,,,85779699.0,ns,1275
compile binary_trees,,201,,,87919919.0,ns,1290
compile binary_trees,,201,,,87980001.0,ns,1305
compile binary_trees,,201,,,89176603.0,ns,1320
compile binary_trees,,201,,,89801067.0,ns,1335
compile binary_trees,,201,,,90432256.0,ns,1350
compile binary_trees,,201,,,91571371.0,ns,1365
compile binary_trees,,201,,,92803355.0,ns,1380
compile binary_trees,,201,,,93739811.0,ns,1395
compile binary_trees,,201,,,95073645.0,ns,1410
compile binary_trees,,201,,,95401112.0,ns,1425
compile binary_trees,,201,,,96431583.0,ns,1440
compile binary_trees,,201,,,98619687.0,ns,1455
compile binary_trees,,201,,,99052261.0,ns,1470
compile binary_trees,,201,,,99528488.0,ns,1485
compile binary_trees,,201,,,101743934.0,ns,1500
