group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile binary_trees,,201,,,1135492.0,ns,14
compile binary_trees,,201,,,3488114.0,ns,28
compile binary_trees,,201,,,4391662.0,ns,42
compile binary_trees,,201,,,4547686.0,ns,56
compile binary_trees,,201,,,5403640.0,ns,70
compile binary_trees,,201,,,6384993.0,ns,84
compile binary_trees,,201,,,7616767.0,ns,98
compile binary_trees,,201,,,7706305.0,ns,112
compile binary_trees,,201,,,9077528.0,ns,126
compile binary_trees,,201,,,9698253.0,ns,140
compile binary_trees,,201,,,10718532.0,ns,154
compile binary_trees,,201,,,18640817.0,ns,168
compile binary_trees,,201,,,14226774.0,ns,182
compile binary_trees,,201,,,13781113.0,ns,196
compile binary_trees,,201,,,14527075.0,ns,210
compile binary_trees,,201,,,15505943.0,ns,224
compile binary_trees,,201,,,16483114.0,ns,238
compile binary_trees,,201,,,18660290.0,ns,252
compile binary_trees,,201,,,22368453.0,ns,266
compile binary_trees,,201,,,19583984.0,ns,280
compile binary_trees,,201,,,20366724.0,ns,294
compile binary_trees,,201,,,21442139.0,ns,308
compile binary_trees,,201,,,27562696.0,ns,322
compile binary_trees,,201,,,23812648.0,ns,336
compile binary_trees,,201,,,24178336.0,ns,350
compile binary_trees,,201,,,25162816.0,ns,364
compile binary_trees,,201,,,30847278.0,ns,378
compile binary_trees,,201,,,28194505.0,ns,392
compile binary_trees,,201,,,28933094.0,ns,406
compile binary_trees,,201,,,32296171.0,ns,420
compile binary_trees,,201,,,39330031.0,ns,434
compile binary_trees,,201,,,31017590.0,ns,448
compile binary_trees,,201,,,36174106.0,ns,462
compile binary_trees,,201,,,33790226.0,ns,476
compile binary_trees,,201,,,34090631.0,ns,490
compile binary_trees,,201,,,36109661.0,ns,504
compile binary_trees,,201,,,36214958.0,ns,518
compile binary_trees,,201,,,36863597.0,ns,532
compile binary_trees,,201,,,39543517.0,ns,546
compile binary_trees,,201,,,39359928.0,ns,560
compile binary_trees,,201,,,40828915.0,ns,574
compile binary_trees,,201,,,41793047.0,ns,588
compile binary_trees,,201,,,41774199.0,ns,602
compile binary_trees,,201,,,44462376.0,ns,616
compile binary_trees,,201,,,43453363.0,ns,630
compile binary_trees,,201,,,51970112.0,ns,644
compile binary_trees,,201,,,45342501.0,ns,658
compile binary_trees,,201,,,47582058.0,ns,672
compile binary_trees,,201,,,48139069.0,ns,686
compile binary_trees,,201,,,50182841.0,ns,700
compile binary_trees,,201,,,49702560.0,ns,714
compile binary_trees,,201,,,51734330.0,ns,728
compile binary_trees,,201,,,51454042.0,ns,742
compile binary_trees,,201,,,54056661.0,ns,756
compile binary_trees,,201,,,53591812.0,ns,770
compile binary_trees,,201,,,56834650.0,ns,784
compile binary_trees,,201,,,54941822.0,ns,798
compile binary_trees,,201,,,58173369.0,ns,812
compile binary_trees,,201,,,58310799.0,ns,826
compile binary_trees,,201,,,59649255.0,ns,840
compile binary_trees,,201,,,60871392.0,ns,854
compile binary_trees,,201,,,60663261.0,ns,868
compile binary_trees,,201,,,63456842.0,ns,882
compile binary_trees,,201,,,68516722.0,ns,896
compile binary_trees,,201,,,63230270.0,ns,910
compile binary_trees,,201,,,66352939.0,ns,924
compile binary_trees,,201,,,68754275.0,ns,938
compile binary_trees,,201,,,65974574.0,ns,952
compile binary_trees,,201,,,69121013.0,ns,966
compile binary_trees,,201,,,69712214.0,ns,980
compile binary_trees,,201,,,70035182.0,ns,994
compile binary_trees,,201,,,71725670.0,ns,1008
compile binary_trees,,201,,,72371982.0,ns,1022
compile binary_trees,,201,,,73095442.0,ns,1036
compile binary_trees,,201,,,73896642.0,ns,1050
compile binary_trees,,201,,,76251453.0,ns,1064
compile binary_trees,,201,,,77660521.0,ns,1078
compile binary_trees,,201,,,81149538.0,ns,1092
compile binary_trees,,201,,,76925913.0,ns,1106
compile binary_trees,,201,,,79808292.0,ns,1120
compile binary_trees,,201,,,80973477.0,ns,1134
compile binary_trees,,201,,,81686970.0,ns,1148
compile binary_trees,,201,,,81950889.0,ns,1162
compile binary_trees,,201,,,82281541.0,ns,1176
compile binary_trees,,201,,,84477279.0,ns,1190
compile binary_trees,,201,,,86234665.0,ns,1204
compile binary_trees,,201,,,86000371.0,ns,1218
compile binary_trees,,201,,,88352901.0,ns,1232
compile binary_trees,,201,,,89524965.0,ns,1246
compile binary_trees,,201,,,93755335.0,ns,1260
compile binary_trees,,201,,,89207473.0,ns,1274
compile binary_trees,,201,,,93513502.0,ns,1288
compile binary_trees,,201,,,90624940.0,ns,1302
compile binary_trees,,201,,,96503066.0,ns,1316
compile binary_trees,,201,,,93586395.0,ns,1330
compile binary_trees,,201,,,96298077.0,ns,1344
compile binary_trees,,201,,,97373398.0,ns,1358
compile binary_trees,,201,,,97754971.0,ns,1372
compile binary_trees,,201,,,97677550.0,ns,1386
compile binary_trees,,201,,,99430145.0,ns,1400
