group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile equality,,202,,,893354.0,ns,18
compile equality,,202,,,1695683.0,ns,36
compile equality,,202,,,2776223.0,ns,54
compile equality,,202,,,3902398.0,ns,72
compile equality,,202,,,5734312.0,ns,90
compile equality,,202,,,5259742.0,ns,108
compile equality,,202,,,7379376.0,ns,126
compile equality,,202,,,6781070.0,ns,144
compile equality,,202,,,9593997.0,ns,162
compile equality,,202,,,9255482.0,ns,180
compile equality,,202,,,9926953.0,ns,198
compile equality,,202,,,9729388.0,ns,216
compile equality,,202,,,9905273.0,ns,234
compile equality,,202,,,11365561.0,ns,252
compile equality,,202,,,11960671.0,ns,270
compile equality,,202,,,13207635.0,ns,288
compile equality,,202,,,14927558.0,ns,306
compile equality,,202,,,21322817.0,ns,324
compile equality,,202,,,15488227.0,ns,342
compile equality,,202,,,17757268.0,ns,360
compile equality,,202,,,18514968.0,ns,378
compile equality,,202,,,19460191.0,ns,396
compile equality,,202,,,21590750.0,ns,414
compile equality,,202,,,22154382.0,ns,432
compile equality,,202,,,21180112.0,ns,450
compile equality,,202,,,21757197.0,ns,468
compile equality,,202,,,22328296.0,ns,486
compile equality,,202,,,28052822.0,ns,504
compile equality,,202,,,23950277.0,ns,522
compile equality,,202,,,27700029.0,ns,540
compile equality,,202,,,25772118.0,ns,558
compile equality,,202,,,29091554.0,ns,576
compile equality,,202,,,29140929.0,ns,594
compile equality,,202,,,29713811.0,ns,612
compile equality,,202,,,31505605.0,ns,630
compile equality,,202,,,34926229.0,ns,648
compile equality,,202,,,35616832.0,ns,666
compile equality,,202,,,39763111.0,ns,684
compile equality,,202,,,34871380.0,ns,702
compile equality,,202,,,42586353.0,ns,720
compile equality,,202,,,41116929.0,ns,738
compile equality,,202,,,39114068.0,ns,756
compile equality,,202,,,41582676.0,ns,774
compile equality,,202,,,40571402.0,ns,792
compile equality,,202,,,41656076.0,ns,810
compile equality,,202,,,42889423.0,ns,828
compile equality,,202,,,41657845.0,ns,846
compile equality,,202,,,43947666.0,ns,864
compile equality,,202,,,41793324.0,ns,882
compile equality,,202,,,45092029.0,ns,900
compile equality,,202,,,44463726.0,ns,918
compile equality,,202,,,47804046.0,ns,936
compile equality,,202,,,48224767.0,ns,954
compile equality,,202,,,54404584.0,ns,972
compile equality,,202,,,47987667.0,ns,990
compile equality,,202,,,51470441.0,ns,1008
compile equality,,202,,,52884823.0,ns,1026
compile equality,,202,,,54577622.0,ns,1044
compile equality,,202,,,60947403.0,ns,1062
compile equality,,202,,,57488498.0,ns,1080
compile equality,,202,,,57316219.0,ns,1098
compile equality,,202,,,57506773.0,ns,1116
compile equality,,202,,,64623986.0,ns,1134
compile equality,,202,,,57708440.0,ns,1152
compile equality,,202,,,61721349.0,ns,1170
compile equality,,202,,,67109367.0,ns,1188
compile equality,,202,,,60226834.0,ns,1206
compile equality,,202,,,62086858.0,ns,1224
compile equality,,202,,,58704939.0,ns,1242
compile equality,,202,,,61006889.0,ns,1260
compile equality,,202,,,64869609.0,ns,1278
compile equality,,202,,,61505920.0,ns,1296
compile equality,,202,,,65580384.0,ns,1314
compile equality,,202,,,69380380.0,ns,1332
compile equality,,202,,,75952130.0,ns,1350
compile equality,,202,,,71453589.0,ns,1368
compile equality,,202,,,72496786.0,ns,1386
compile equality,,202,,,71255327.0,ns,1404
compile equality,,202,,,75795620.0,ns,1422
compile equality,,202,,,77941064.0,ns,1440
compile equality,,202,,,77189964.0,ns,1458
compile equality,,202,,,79785901.0,ns,1476
compile equality,,202,,,73517124.0,ns,1494
compile equality,,202,,,77527539.0,ns,1512
compile equality,,202,,,76102390.0,ns,1530
compile equality,,202,,,83828737.0,ns,1548
compile equality,,202,,,77659148.0,ns,1566
compile equality,,202,,,86029390.0,ns,1584
compile equality,,202,,,79386362.0,ns,1602
compile equality,,202,,,82535098.0,ns,1620
compile equality,,202,,,88288422.0,ns,1638
compile equality,,202,,,88699554.0,ns,1656
compile equality,,202,,,86609565.0,ns,1674
compile equality,,202,,,88603247.0,ns,1692
compile equality,,202,,,90770190.0,ns,1710
compile equality,,202,,,91146822.0,ns,1728
compile equality,,202,,,89068264.0,ns,1746
compile equality,,202,,,94660194.0,ns,1764
compile equality,,202,,,100600359.0,ns,1782
compile equality,,202,,,94416842.0,ns,1800
