group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile equality,,202,,,993245.0,ns,24
compile equality,,202,,,2162980.0,ns,48
compile equality,,202,,,3991612.0,ns,72
compile equality,,202,,,4086795.0,ns,96
compile equality,,202,,,4725340.0,ns,120
compile equality,,202,,,5771575.0,ns,144
compile equality,,202,,,7260053.0,ns,168
compile equality,,202,,,7594684.0,ns,192
compile equality,,202,,,8725391.0,ns,216
compile equality,,202,,,9485516.0,ns,240
compile equality,,202,,,10512735.0,ns,264
compile equality,,202,,,11336630.0,ns,288
compile equality,,202,,,12261047.0,ns,312
compile equality,,202,,,13370543.0,ns,336
compile equality,,202,,,14189748.0,ns,360
compile equality,,202,,,15281142.0,ns,384
compile equality,,202,,,16122412.0,ns,408
compile equality,,202,,,17054591.0,ns,432
compile equality,,202,,,18034616.0,ns,456
compile equality,,202,,,19031829.0,ns,480
compile equality,,202,,,20273980.0,ns,504
compile equality,,202,,,22020079.0,ns,528
compile equality,,202,,,21856892.0,ns,552
compile equality,,202,,,22595659.0,ns,576
compile equality,,202,,,23788375.0,ns,600
compile equality,,202,,,24661642.0,ns,624
compile equality,,202,,,26000802.0,ns,648
compile equality,,202,,,26750066.0,ns,672
compile equality,,202,,,27649996.0,ns,696
compile equality,,202,,,28607505.0,ns,720
compile equality,,202,,,29383231.0,ns,744
compile equality,,202,,,30628234.0,ns,768
compile equality,,202,,,32558836.0,ns,792
compile equality,,202,,,32374722.0,ns,816
compile equality,,202,,,33258702.0,ns,840
compile equality,,202,,,34320240.0,ns,864
compile equality,,202,,,34937000.0,ns,888
compile equality,,202,,,36191877.0,ns,912
compile equality,,202,,,37178737.0,ns,936
compile equality,,202,,,38021118.0,ns,960
compile equality,,202,,,39203527.0,ns,984
compile equality,,202,,,40064101.0,ns,1008
compile equality,,202,,,40670548.0,ns,1032
compile equality,,202,,,41750091.0,ns,1056
compile equality,,202,,,42616816.0,ns,1080
compile equality,,202,,,43710242.0,ns,1104
compile equality,,202,,,44197464.0,ns,1128
compile equality,,202,,,45927644.0,ns,1152
compile equality,,202,,,46420273.0,ns,1176
compile equality,,202,,,47491148.0,ns,1200
compile equality,,202,,,48437546.0,ns,1224
compile equality,,202,,,49122451.0,ns,1248
compile equality,,202,,,50275784.0,ns,1272
compile equality,,202,,,51902458.0,ns,1296
compile equality,,202,,,54287941.0,ns,1320
compile equality,,202,,,53494382.0,ns,1344
compile equality,,202,,,55314805.0,ns,1368
compile equality,,202,,,55223920.0,ns,1392
compile equality,,202,,,55797520.0,ns,1416
compile equality,,202,,,57273752.0,ns,1440
compile equality,,202,,,58531576.0,ns,1464
compile equality,,202,,,59048312.0,ns,1488
compile equality,,202,,,60446315.0,ns,1512
compile equality,,202,,,60988079.0,ns,1536
compile equality,,202,,,62562698.0,ns,1560
compile equality,,202,,,62544763.0,ns,1584
compile equality,,202,,,63770877.0,ns,1608
compile equality,,202,,,64947881.0,ns,1632
compile equality,,202,,,65579530.0,ns,1656
compile equality,,202,,,66798980.0,ns,1680
compile equality,,202,,,67806155.0,ns,1704
compile equality,,202,,,68348663.0,ns,1728
compile equality,,202,,,70808564.0,ns,1752
compile equality,,202,,,71027428.0,ns,1776
compile equality,,202,,,71698367.0,ns,1800
compile equality,,202,,,72174701.0,ns,1824
compile equality,,202,,,72964631.0,ns,1848
compile equality,,202,,,73653142.0,ns,1872
compile equality,,202,,,75011700.0,ns,1896
compile equality,,202,,,76235192.0,ns,1920
compile equality,,202,,,77377923.0,ns,1944
compile equality,,202,,,78357603.0,ns,1968
compile equality,,202,,,78587850.0,ns,1992
compile equality,,202,,,81021800.0,ns,2016
compile equality,,202,,,80421378.0,ns,2040
compile equality,,202,,,81367148.0,ns,2064
compile equality,,202,,,83482439.0,ns,2088
compile equality,,202,,,83004870.0,ns,2112
compile equality,,202,,,84300474.0,ns,2136
compile equality,,202,,,86815269.0,ns,2160
compile equality,,202,,,86172330.0,ns,2184
compile equality,,202,,,86699802.0,ns,2208
compile equality,,202,,,88057900.0,ns,2232
compile equality,,202,,,88984408.0,ns,2256
compile equality,,202,,,89738909.0,ns,2280
compile equality,,202,,,91255763.0,ns,2304
compile equality,,202,,,91854684.0,ns,2328
compile equality,,202,,,93901846.0,ns,2352
compile equality,,202,,,93334578.0,ns,2376
compile equality,,202,,,94750083.0,ns,2400
