group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile invocation,,204,,,1246247.0,ns,8
compile invocation,,204,,,2592222.0,ns,16
compile invocation,,204,,,4808313.0,ns,24
compile invocation,,204,,,5077928.0,ns,32
compile invocation,,204,,,5662465.0,ns,40
compile invocation,,204,,,7150949.0,ns,48
compile invocation,,204,,,7452443.0,ns,56
compile invocation,,204,,,8558512.0,ns,64
compile invocation,,204,,,9971099.0,ns,72
compile invocation,,204,,,10820599.0,ns,80
compile invocation,,204,,,11700213.0,ns,88
compile invocation,,204,,,12793610.0,ns,96
compile invocation,,204,,,14626958.0,ns,104
compile invocation,,204,,,15783301.0,ns,112
compile invocation,,204,,,16310913.0,ns,120
compile invocation,,204,,,16807845.0,ns,128
compile invocation,,204,,,18184915.0,ns,136
compile invocation,,204,,,19104185.0,ns,144
compile invocation,,204,,,22736715.0,ns,152
compile invocation,,204,,,21338638.0,ns,160
compile invocation,,204,,,22381031.0,ns,168
compile invocation,,204,,,23332977.0,ns,176
compile invocation,,204,,,30589043.0,ns,184
compile invocation,,204,,,26343127.0,ns,192
compile invocation,,204,,,26510655.0,ns,200
compile invocation,,204,,,27549710.0,ns,208
compile invocation,,204,,,34737135.0,ns,216
compile invocation,,204,,,30209446.0,ns,224
compile invocation,,204,,,30549512.0,ns,232
compile invocation,,204,,,37770018.0,ns,240
compile invocation,,204,,,33176198.0,ns,248
compile invocation,,204,,,33966758.0,ns,256
compile invocation,,204,,,42575019.0,ns,264
compile invocation,,204,,,35916513.0,ns,272
compile invocation,,204,,,39524072.0,ns,280
compile invocation,,204,,,39200900.0,ns,288
compile invocation,,204,,,39410629.0,ns,296
compile invocation,,204,,,43284518.0,ns,304
compile invocation,,204,,,41422686.0,ns,312
compile invocation,,204,,,44439373.0,ns,320
compile invocation,,204,,,43665741.0,ns,328
compile invocation,,204,,,50459073.0,ns,336
compile invocation,,204,,,46169610.0,ns,344
compile invocation,,204,,,48464211.0,ns,352
compile invocation,,204,,,49026380.0,ns,360
compile invocation,,204,,,49089099.0,ns,368
compile invocation,,204,,,52164566.0,ns,376
compile invocation,,204,,,51755251.0,ns,384
compile invocation,,204,,,54984054.0,ns,392
compile invocation,,204,,,54782833.0,ns,400
compile invocation,,204,,,54575179.0,ns,408
compile invocation,,204,,,57373206.0,ns,416
compile invocation,,204,,,56169899.0,ns,424
compile invocation,,204,,,62277624.0,ns,432
compile invocation,,204,,,59480449.0,ns,440
compile invocation,,204,,,61257749.0,ns,448
compile invocation,,204,,,62373829.0,ns,456
compile invocation,,204,,,61782547.0,ns,464
compile invocation,,204,,,69942959.0,ns,472
compile invocation,,204,,,70669772.0,ns,480
compile invocation,,204,,,64555646.0,ns,488
compile invocation,,204,,,71661822.0,ns,496
compile invocation,,204,,,73750556.0,ns,504
compile invocation,,204,,,70762490.0,ns,512
compile invocation,,204,,,73451028.0,ns,520
compile invocation,,204,,,76548826.0,ns,528
compile invocation,,204,,,76676325.0,ns,536
compile invocation,,204,,,75403844.0,ns,544
compile invocation,,204,,,77685435.0,ns,552
compile invocation,,204,,,80426776.0,ns,560
compile invocation,,204,,,81088277.0,ns,568
compile invocation,,204,,,82208343.0,ns,576
compile invocation,,204,,,82084402.0,ns,584
compile invocation,,204,,,80089435.0,ns,592
compile invocation,,204,,,84872864.0,ns,600
compile invocation,,204,,,87518272.0,ns,608
compile invocation,,204,,,87285564.0,ns,616
compile invocation,,204,,,90363468.0,ns,624
compile invocation,,204,,,89564164.0,ns,632
compile invocation,,204,,,93289661.0,ns,640
compile invocation,,204,,,91000723.0,ns,648
compile invocation,,204,,,88585580.0,ns,656
compile invocation,,204,,,94796136.0,ns,664
compile invocation,,204,,,96509048.0,ns,672
compile invocation,,204,,,98786102.0,ns,680
compile invocation,,204,,,97394122.0,ns,688
compile invocation,,204,,,99422032.0,ns,696
compile invocation,,204,,,100561244.0,ns,704
compile invocation,,204,,,100443288.0,ns,712
compile invocation,,204,,,103893530.0,ns,720
compile invocation,,204,,,102974368.0,ns,728
compile invocation,,204,,,103342935.0,ns,736
compile invocation,,204,,,101439737.0,ns,744
compile invocation,,204,,,102720936.0,ns,752
compile invocation,,204,,,104027277.0,ns,760
compile invocation,,204,,,104584033.0,ns,768
compile invocation,,204,,,109277990.0,ns,776
compile invocation,,204,,,107523342.0,ns,784
compile invocation,,204,,,109137222.0,ns,792
compile invocation,,204,,,111922270.0,ns,800
