group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile invocation,,204,,,1110949.0,ns,8
compile invocation,,204,,,2359543.0,ns,16
compile invocation,,204,,,4859378.0,ns,24
compile invocation,,204,,,4383396.0,ns,32
compile invocation,,204,,,5605118.0,ns,40
compile invocation,,204,,,6090696.0,ns,48
compile invocation,,204,,,7259951.0,ns,56
compile invocation,,204,,,8068582.0,ns,64
compile invocation,,204,,,9164501.0,ns,72
compile invocation,,204,,,10183754.0,ns,80
compile invocation,,204,,,11174027.0,ns,88
compile invocation,,204,,,13030711.0,ns,96
compile invocation,,204,,,13210814.0,ns,104
compile invocation,,204,,,14122794.0,ns,112
compile invocation,,204,,,15147714.0,ns,120
compile invocation,,204,,,16157541.0,ns,128
compile invocation,,204,,,17142322.0,ns,136
compile invocation,,204,,,18215257.0,ns,144
compile invocation,,204,,,19175727.0,ns,152
compile invocation,,204,,,20191833.0,ns,160
compile invocation,,204,,,21386944.0,ns,168
compile invocation,,204,,,22177402.0,ns,176
compile invocation,,204,,,23177243.0,ns,184
compile invocation,,204,,,24026417.0,ns,192
compile invocation,,204,,,25050621.0,ns,200
compile invocation,,204,,,27671530.0,ns,208
compile invocation,,204,,,28820824.0,ns,216
compile invocation,,204,,,28172242.0,ns,224
compile invocation,,204,,,29961795.0,ns,232
compile invocation,,204,,,30594678.0,ns,240
compile invocation,,204,,,31187365.0,ns,248
compile invocation,,204,,,32222814.0,ns,256
compile invocation,,204,,,33123959.0,ns,264
compile invocation,,204,,,34063999.0,ns,272
compile invocation,,204,,,35420092.0,ns,280
compile invocation,,204,,,36778077.0,ns,288
compile invocation,,204,,,37237629.0,ns,296
compile invocation,,204,,,38587825.0,ns,304
compile invocation,,204,,,39333536.0,ns,312
compile invocation,,204,,,40454679.0,ns,320
compile invocation,,204,,,41421354.0,ns,328
compile invocation,,204,,,42105354.0,ns,336
compile invocation,,204,,,43235400.0,ns,344
compile invocation,,204,,,44261471.0,ns,352
compile invocation,,204,,,45552356.0,ns,360
compile invocation,,204,,,46331394.0,ns,368
compile invocation,,204,,,47251070.0,ns,376
compile invocation,,204,,,49939319.0,ns,384
compile invocation,,204,,,50067779.0,ns,392
compile invocation,,204,,,50836142.0,ns,400
compile invocation,,204,,,51460785.0,ns,408
compile invocation,,204,,,53648470.0,ns,416
compile invocation,,204,,,53592415.0,ns,424
compile invocation,,204,,,54560276.0,ns,432
compile invocation,,204,,,55434327.0,ns,440
compile invocation,,204,,,56575028.0,ns,448
compile invocation,,204,,,57516781.0,ns,456
compile invocation,,204,,,58132805.0,ns,464
compile invocation,,204,,,59210393.0,ns,472
compile invocation,,204,,,60490295.0,ns,480
compile invocation,,204,,,62139642.0,ns,488
compile invocation,,204,,,62389852.0,ns,496
compile invocation,,204,,,63557223.0,ns,504
compile invocation,,204,,,64642240.0,ns,512
compile invocation,,204,,,65440378.0,ns,520
compile invocation,,204,,,66513433.0,ns,528
compile invocation,,204,,,67549261.0,ns,536
compile invocation,,204,,,69339778.0,ns,544
compile invocation,,204,,,71074284.0,ns,552
compile invocation,,204,,,71617788.0,ns,560
compile invocation,,204,,,71806659.0,ns,568
compile invocation,,204,,,72712625.0,ns,576
compile invocation,,204,,,73483102.0,ns,584
compile invocation,,204,,,94369796.0,ns,592
compile invocation,,204,,,75505440.0,ns,600
compile invocation,,204,,,76174344.0,ns,608
compile invocation,,204,,,79377397.0,ns,616
compile invocation,,204,,,79076930.0,ns,624
compile invocation,,204,,,81363231.0,ns,632
compile invocation,,204,,,80694065.0,ns,640
compile invocation,,204,,,81368851.0,ns,648
compile invocation,,204,,,83906928.0,ns,656
compile invocation,,204,,,83484557.0,ns,664
compile invocation,,204,,,84689638.0,ns,672
compile invocation,,204,,,86198375.0,ns,680
compile invocation,,204,,,86828845.0,ns,688
compile invocation,,204,,,87689780.0,ns,696
compile invocation,,204,,,88489230.0,ns,704
compile invocation,,204,,,89885928.0,ns,712
compile invocation,,204,,,90352599.0,ns,720
compile invocation,,204,,,91681741.0,ns,728
compile invocation,,204,,,93315820.0,ns,736
compile invocation,,204,,,97083933.0,ns,744
compile invocation,,204,,,94487719.0,ns,752
compile invocation,,204,,,95536024.0,ns,760
compile invocation,,204,,,96500148.0,ns,768
compile invocation,,204,,,97516200.0,ns,776
compile invocation,,204,,,99026634.0,ns,784
compile invocation,,204,,,99630884.0,ns,792
compile invocation,,204,,,100375136.0,ns,800
