group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile method_call,,206,,,1125716.0,ns,9
compile method_call,,206,,,2269556.0,ns,18
compile method_call,,206,,,3888267.0,ns,27
compile method_call,,206,,,4436390.0,ns,36
compile method_call,,206,,,5058899.0,ns,45
compile method_call,,206,,,5823847.0,ns,54
compile method_call,,206,,,7502251.0,ns,63
compile method_call,,206,,,8542087.0,ns,72
compile method_call,,206,,,9714851.0,ns,81
compile method_call,,206,,,10336306.0,ns,90
compile method_call,,206,,,11083345.0,ns,99
compile method_call,,206,,,11845256.0,ns,108
compile method_call,,206,,,12617999.0,ns,117
compile method_call,,206,,,13419856.0,ns,126
compile method_call,,206,,,14471294.0,ns,135
compile method_call,,206,,,17958590.0,ns,144
compile method_call,,206,,,17617237.0,ns,153
compile method_call,,206,,,17843365.0,ns,162
compile method_call,,206,,,18800736.0,ns,171
compile method_call,,206,,,19596745.0,ns,180
compile method_call,,206,,,21257546.0,ns,189
compile method_call,,206,,,28090592.0,ns,198
compile method_call,,206,,,22681036.0,ns,207
compile method_call,,206,,,23722854.0,ns,216
compile method_call,,206,,,24527294.0,ns,225
compile method_call,,206,,,32241837.0,ns,234
compile method_call,,206,,,27038818.0,ns,243
compile method_call,,206,,,29798769.0,ns,252
compile method_call,,206,,,33846868.0,ns,261
compile method_call,,206,,,30264108.0,ns,270
compile method_call,,206,,,31988975.0,ns,279
compile method_call,,206,,,34197072.0,ns,288
compile method_call,,206,,,32956963.0,ns,297
compile method_call,,206,,,36627241.0,ns,306
compile method_call,,206,,,38473414.0,ns,315
compile method_call,,206,,,36180203.0,ns,324
compile method_call,,206,,,35574129.0,ns,333
compile method_call,,206,,,39138789.0,ns,342
compile method_call,,206,,,38163090.0,ns,351
compile method_call,,206,,,41000211.0,ns,360
compile method_call,,206,,,41795431.0,ns,369
compile method_call,,206,,,41765083.0,ns,378
compile method_call,,206,,,43709425.0,ns,387
compile method_call,,206,,,44220379.0,ns,396
compile method_call,,206,,,46259532.0,ns,405
compile method_call,,206,,,44677663.0,ns,414
compile method_call,,206,,,47371011.0,ns,423
compile method_call,,206,,,47942342.0,ns,432
compile method_call,,206,,,58581755.0,ns,441
compile method_call,,206,,,50535677.0,ns,450
compile method_call,,206,,,52299332.0,ns,459
compile method_call,,206,,,50731324.0,ns,468
compile method_call,,206,,,53288126.0,ns,477
compile method_call,,206,,,54106677.0,ns,486
compile method_call,,206,,,57153637.0,ns,495
compile method_call,,206,,,55153800.0,ns,504
compile method_call,,206,,,57928492.0,ns,513
compile method_call,,206,,,58518618.0,ns,522
compile method_call,,206,,,59079147.0,ns,531
compile method_call,,206,,,60590564.0,ns,540
compile method_call,,206,,,59932484.0,ns,549
compile method_call,,206,,,63990117.0,ns,558
compile method_call,,206,,,64282383.0,ns,567
compile method_call,,206,,,62844658.0,ns,576
compile method_call,,206,,,66693106.0,ns,585
compile method_call,,206,,,68818460.0,ns,594
compile method_call,,206,,,65383222.0,ns,603
compile method_call,,206,,,69799653.0,ns,612
compile method_call,,206,,,77007198.0,ns,621
compile method_call,,206,,,70087453.0,ns,630
compile method_call,,206,,,75058731.0,ns,639
compile method_call,,206,,,76628625.0,ns,648
compile method_call,,206,,,78401348.0,ns,657
compile method_call,,206,,,74935473.0,ns,666
compile method_call,,206,,,77605408.0,ns,675
compile method_call,,206,,,81261916.0,ns,684
compile method_call,,206,,,81065335.0,ns,693
compile method_call,,206,,,82178034.0,ns,702
compile method_call,,206,,,76558852.0,ns,711
compile method_call,,206,,,85000162.0,ns,720
compile method_call,,206,,,86072630.0,ns,729
compile method_call,,206,,,87054652.0,ns,738
compile method_call,,206,,,89477355.0,ns,747
compile method_call,,206,,,89266993.0,ns,756
compile method_call,,206,,,90296048.0,ns,765
compile method_call,,206,,,92295762.0,ns,774
compile method_call,,206,,,87639604.0,ns,783
compile method_call,,206,,,88839261.0,ns,792
compile method_call,,206,,,93090724.0,ns,801
compile method_call,,206,,,94344182.0,ns,810
compile method_call,,206,,,94841773.0,ns,819
compile method_call,,206,,,95823261.0,ns,828
compile method_call,,206,,,99643517.0,ns,837
compile method_call,,206,,,98166359.0,ns,846
compile method_call,,206,,,98921249.0,ns,855
compile method_call,,206,,,99730111.0,ns,864
compile method_call,,206,,,98566965.0,ns,873
compile method_call,,206,,,100671477.0,ns,882
compile method_call,,206,,,101283521.0,ns,891
compile method_call,,206,,,105217075.0,ns,900
