group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
equality,,,,,3639555.0,ns,1
equality,,,,,7801524.0,ns,2
equality,,,,,11910531.0,ns,3
equality,,,,,14687126.0,ns,4
equality,,,,,17731330.0,ns,5
equality,,,,,20013538.0,ns,6
equality,,,,,23235721.0,ns,7
equality,,,,,27956539.0,ns,8
equality,,,,,29727072.0,ns,9
equality,,,,,32619522.0,ns,10
equality,,,,,40429810.0,ns,11
equality,,,,,39991580.0,ns,12
equality,,,,,42991427.0,ns,13
equality,,,,,48251257.0,ns,14
equality,,,,,48631329.0,ns,15
equality,,,,,54621161.0,ns,16
equality,,,,,56068484.0,ns,17
equality,,,,,60769157.0,ns,18
equality,,,,,65025444.0,ns,19
equality,,,,,65641162.0,ns,20
equality,,,,,70874384.0,ns,21
equality,,,,,72982725.0,ns,22
equality,,,,,78549212.0,ns,23
equality,,,,,78619756.0,ns,24
equality,,,,,83055781.0,ns,25
equality,,,,,86552756.0,ns,26
equality,,,,,93872868.0,ns,27
equality,,,,,95589335.0,ns,28
equality,,,,,101480894.0,ns,29
equality,,,,,100529466.0,ns,30
equality,,,,,102252003.0,ns,31
equality,,,,,105750931.0,ns,32
equality,,,,,111932488.0,ns,33
equality,,,,,112823595.0,ns,34
equality,,,,,116131378.0,ns,35
equality,,,,,129293227.0,ns,36
equality,,,,,121992013.0,ns,37
equality,,,,,127996011.0,ns,38
equality,,,,,131439130.0,ns,39
equality,,,,,133904941.0,ns,40
equality,,,,,136253484.0,ns,41
equality,,,,,143514967.0,ns,42
equality,,,,,143177795.0,ns,43
equality,,,,,152170301.0,ns,44
equality,,,,,163174365.0,ns,45
equality,,,,,153932985.0,ns,46
equality,,,,,156268197.0,ns,47
equality,,,,,159791421.0,ns,48
equality,,,,,163742906.0,ns,49
equality,,,,,171435901.0,ns,50
equality,,,,,170159359.0,ns,51
equality,,,,,173338621.0,ns,52
equality,,,,,174868173.0,ns,53
equality,,,,,184175751.0,ns,54
equality,,,,,186203499.0,ns,55
equality,,,,,185656018.0,ns,56
equality,,,,,189068114.0,ns,57
equality,,,,,193727800.0,ns,58
equality,,,,,199303543.0,ns,59
equality,,,,,201678382.0,ns,60
equality,,,,,206771108.0,ns,61
equality,,,,,209620609.0,ns,62
equality,,,,,212510450.0,ns,63
equality,,,,,215292583.0,ns,64
equality,,,,,221833315.0,ns,65
equality,,,,,223238122.0,ns,66
equality,,,,,227841359.0,ns,67
equality,,,,,228868084.0,ns,68
equality,,,,,232827674.0,ns,69
equality,,,,,234822654.0,ns,70
equality,,,,,235916212.0,ns,71
equality,,,,,239529828.0,ns,72
equality,,,,,250477927.0,ns,73
equality,,,,,247050477.0,ns,74
equality,,,,,250321429.0,ns,75
equality,,,,,252587248.0,ns,76
equality,,,,,258076821.0,ns,77
equality,,,,,261186681.0,ns,78
equality,,,,,265663308.0,ns,79
equality,,,,,273125357.0,ns,80
equality,,,,,275450732.0,ns,81
equality,,,,,279288019.0,ns,82
equality,,,,,274859549.0,ns,83
equality,,,,,280062772.0,ns,84
equality,,,,,287869954.0,ns,85
equality,,,,,288122227.0,ns,86
equality,,,,,288254985.0,ns,87
equality,,,,,294123624.0,ns,88
equality,,,,,299110854.0,ns,89
equality,,,,,300517239.0,ns,90
equality,,,,,302367001.0,ns,91
equality,,,,,320794573.0,ns,92
equality,,,,,309620532.0,ns,93
equality,,,,,316855620.0,ns,94
equality,,,,,321685685.0,ns,95
equality,,,,,317744773.0,ns,96
equality,,,,,320940727.0,ns,97
equality,,,,,332025143.0,ns,98
equality,,,,,329504489.0,ns,99
equality,,,,,333016240.0,ns,100
