group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib,,,,,2296468.0,ns,1
fib,,,,,6301810.0,ns,2
fib,,,,,9603695.0,ns,3
fib,,,,,9797989.0,ns,4
fib,,,,,10878852.0,ns,5
fib,,,,,14315521.0,ns,6
fib,,,,,15530262.0,ns,7
fib,,,,,19829161.0,ns,8
fib,,,,,19916827.0,ns,9
fib,,,,,21408892.0,ns,10
fib,,,,,23558639.0,ns,11
fib,,,,,27999864.0,ns,12
fib,,,,,28135712.0,ns,13
fib,,,,,30369377.0,ns,14
fib,,,,,32866820.0,ns,15
fib,,,,,35861501.0,ns,16
fib,,,,,36168491.0,ns,17
fib,,,,,39858176.0,ns,18
fib,,,,,40970487.0,ns,19
fib,,,,,48079068.0,ns,20
fib,,,,,47847267.0,ns,21
fib,,,,,46890265.0,ns,22
fib,,,,,50379081.0,ns,23
fib,,,,,50989815.0,ns,24
fib,,,,,57485324.0,ns,25
fib,,,,,58786692.0,ns,26
fib,,,,,58358575.0,ns,27
fib,,,,,61392767.0,ns,28
fib,,,,,62085175.0,ns,29
fib,,,,,65523805.0,ns,30
fib,,,,,68140533.0,ns,31
fib,,,,,68226267.0,ns,32
fib,,,,,72269837.0,ns,33
fib,,,,,76589115.0,ns,34
fib,,,,,78172676.0,ns,35
fib,,,,,77320214.0,ns,36
fib,,,,,84923115.0,ns,37
fib,,,,,83131220.0,ns,38
fib,,,,,85787551.0,ns,39
fib,,,,,87898832.0,ns,40
fib,,,,,89301325.0,ns,41
fib,,,,,90954386.0,ns,42
fib,,,,,93193605.0,ns,43
fib,,,,,94511207.0,ns,44
fib,,,,,97560724.0,ns,45
fib,,,,,99610518.0,ns,46
fib,,,,,104815557.0,ns,47
fib,,,,,113678801.0,ns,48
fib,,,,,113014204.0,ns,49
fib,,,,,108999322.0,ns,50
fib,,,,,110977429.0,ns,51
fib,,,,,114594564.0,ns,52
fib,,,,,117525879.0,ns,53
fib,,,,,117287788.0,ns,54
fib,,,,,121473382.0,ns,55
fib,,,,,123650861.0,ns,56
fib,,,,,123268724.0,ns,57
fib,,,,,125978245.0,ns,58
fib,,,,,129616324.0,ns,59
fib,,,,,130347389.0,ns,60
fib,,,,,131825053.0,ns,61
fib,,,,,137578491.0,ns,62
fib,,,,,138220440.0,ns,63
fib,,,,,141223927.0,ns,64
fib,,,,,143922990.0,ns,65
fib,,,,,144346182.0,ns,66
fib,,,,,147000755.0,ns,67
fib,,,,,146484461.0,ns,68
fib,,,,,150905868.0,ns,69
fib,,,,,151787492.0,ns,70
fib,,,,,157023547.0,ns,71
fib,,,,,155502355.0,ns,72
fib,,,,,159573373.0,ns,73
fib,,,,,159969761.0,ns,74
fib,,,,,165916581.0,ns,75
fib,,,,,166044624.0,ns,76
fib,,,,,168354337.0,ns,77
fib,,,,,170941179.0,ns,78
fib,,,,,171750669.0,ns,79
fib,,,,,172247106.0,ns,80
fib,,,,,179948437.0,ns,81
fib,,,,,179419254.0,ns,82
fib,,,,,184477022.0,ns,83
fib,,,,,182969522.0,ns,84
fib,,,,,185362357.0,ns,85
fib,,,,,186654512.0,ns,86
fib,,,,,189681453.0,ns,87
fib,,,,,196734686.0,ns,88
fib,,,,,192593718.0,ns,89
fib,,,,,199857182.0,ns,90
fib,,,,,236893132.0,ns,91
fib,,,,,202035757.0,ns,92
fib,,,,,208314495.0,ns,93
fib,,,,,252673131.0,ns,94
fib,,,,,207200439.0,ns,95
fib,,,,,208099906.0,ns,96
fib,,,,,240309951.0,ns,97
fib,,,,,231050288.0,ns,98
fib,,,,,218514786.0,ns,99
fib,,,,,219216201.0,ns,100
