group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
instantiation,,,,,2480551.0,ns,1
instantiation,,,,,6108657.0,ns,2
instantiation,,,,,8189493.0,ns,3
instantiation,,,,,10140924.0,ns,4
instantiation,,,,,12052302.0,ns,5
instantiation,,,,,16056955.0,ns,6
instantiation,,,,,16166621.0,ns,7
instantiation,,,,,21490695.0,ns,8
instantiation,,,,,22094468.0,ns,9
instantiation,,,,,22795663.0,ns,10
instantiation,,,,,25876573.0,ns,11
instantiation,,,,,31425257.0,ns,12
instantiation,,,,,30983169.0,ns,13
instantiation,,,,,32966304.0,ns,14
instantiation,,,,,38098069.0,ns,15
instantiation,,,,,37280224.0,ns,16
instantiation,,,,,38664541.0,ns,17
instantiation,,,,,45459407.0,ns,18
instantiation,,,,,43782882.0,ns,19
instantiation,,,,,50028727.0,ns,20
instantiation,,,,,47938121.0,ns,21
instantiation,,,,,54134257.0,ns,22
instantiation,,,,,53406978.0,ns,23
instantiation,,,,,60080833.0,ns,24
instantiation,,,,,59071975.0,ns,25
instantiation,,,,,64282003.0,ns,26
instantiation,,,,,65757753.0,ns,27
instantiation,,,,,63453818.0,ns,28
instantiation,,,,,70836239.0,ns,29
instantiation,,,,,72858009.0,ns,30
instantiation,,,,,71984130.0,ns,31
instantiation,,,,,75659219.0,ns,32
instantiation,,,,,80255649.0,ns,33
instantiation,,,,,82680036.0,ns,34
instantiation,,,,,84356946.0,ns,35
instantiation,,,,,85564708.0,ns,36
instantiation,,,,,86153321.0,ns,37
instantiation,,,,,94660202.0,ns,38
instantiation,,,,,95418070.0,ns,39
instantiation,,,,,96098848.0,ns,40
instantiation,,,,,99352866.0,ns,41
instantiation,,,,,99970582.0,ns,42
instantiation,,,,,103291095.0,ns,43
instantiation,,,,,104884637.0,ns,44
instantiation,,,,,107032939.0,ns,45
instantiation,,,,,110016259.0,ns,46
instantiation,,,,,117619176.0,ns,47
instantiation,,,,,115692194.0,ns,48
instantiation,,,,,114356899.0,ns,49
instantiation,,,,,118704601.0,ns,50
instantiation,,,,,122195335.0,ns,51
instantiation,,,,,127959879.0,ns,52
instantiation,,,,,126122885.0,ns,53
instantiation,,,,,127668154.0,ns,54
instantiation,,,,,131235553.0,ns,55
instantiation,,,,,141063280.0,ns,56
instantiation,,,,,137578713.0,ns,57
instantiation,,,,,141939042.0,ns,58
instantiation,,,,,139911302.0,ns,59
instantiation,,,,,142245598.0,ns,60
instantiation,,,,,149360039.0,ns,61
instantiation,,,,,145408754.0,ns,62
instantiation,,,,,156140694.0,ns,63
instantiation,,,,,150949500.0,ns,64
instantiation,,,,,158464240.0,ns,65
instantiation,,,,,154682864.0,ns,66
instantiation,,,,,161559794.0,ns,67
instantiation,,,,,164481248.0,ns,68
instantiation,,,,,166913305.0,ns,69
instantiation,,,,,176218224.0,ns,70
instantiation,,,,,172720175.0,ns,71
instantiation,,,,,171317949.0,ns,72
instantiation,,,,,184351299.0,ns,73
instantiation,,,,,202389228.0,ns,74
instantiation,,,,,186404300.0,ns,75
instantiation,,,,,211638640.0,ns,76
instantiation,,,,,203209497.0,ns,77
instantiation,,,,,230615882.0,ns,78
instantiation,,,,,228165533.0,ns,79
instantiation,,,,,231837492.0,ns,80
instantiation,,,,,201569322.0,ns,81
instantiation,,,,,293840919.0,ns,82
instantiation,,,,,272456385.0,ns,83
instantiation,,,,,296071788.0,ns,84
instantiation,,,,,286063534.0,ns,85
instantiation,,,,,291789265.0,ns,86
instantiation,,,,,221940883.0,ns,87
instantiation,,,,,245715689.0,ns,88
instantiation,,,,,242662733.0,ns,89
instantiation,,,,,225677553.0,ns,90
instantiation,,,,,235833168.0,ns,91
instantiation,,,,,227644185.0,ns,92
instantiation,,,,,245271573.0,ns,93
instantiation,,,,,231611943.0,ns,94
instantiation,,,,,249623300.0,ns,95
instantiation,,,,,235670638.0,ns,96
instantiation,,,,,235710930.0,ns,97
instantiation,,,,,244800554.0,ns,98
instantiation,,,,,274992421.0,ns,99
instantiation,,,,,273477905.0,ns,100
