group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
properties,,,,,5039770.0,ns,1
properties,,,,,11392065.0,ns,2
properties,,,,,14857631.0,ns,3
properties,,,,,18004762.0,ns,4
properties,,,,,22951444.0,ns,5
properties,,,,,25314387.0,ns,6
properties,,,,,32057090.0,ns,7
properties,,,,,35583726.0,ns,8
properties,,,,,37899215.0,ns,9
properties,,,,,44532444.0,ns,10
properties,,,,,46034208.0,ns,11
properties,,,,,52579442.0,ns,12
properties,,,,,55052654.0,ns,13
properties,,,,,61388628.0,ns,14
properties,,,,,65104038.0,ns,15
properties,,,,,67484933.0,ns,16
properties,,,,,73890025.0,ns,17
properties,,,,,78002278.0,ns,18
properties,,,,,81761282.0,ns,19
properties,,,,,85098627.0,ns,20
properties,,,,,89558235.0,ns,21
properties,,,,,97063737.0,ns,22
properties,,,,,106807350.0,ns,23
properties,,,,,103957228.0,ns,24
properties,,,,,109739960.0,ns,25
properties,,,,,118028637.0,ns,26
properties,,,,,117260540.0,ns,27
properties,,,,,122155960.0,ns,28
properties,,,,,128815106.0,ns,29
properties,,,,,134859248.0,ns,30
properties,,,,,142872178.0,ns,31
properties,,,,,144171758.0,ns,32
properties,,,,,144777856.0,ns,33
properties,,,,,148968912.0,ns,34
properties,,,,,154270056.0,ns,35
properties,,,,,160043798.0,ns,36
properties,,,,,160633290.0,ns,37
properties,,,,,176004680.0,ns,38
properties,,,,,171786634.0,ns,39
properties,,,,,172987451.0,ns,40
properties,,,,,181041378.0,ns,41
properties,,,,,186030893.0,ns,42
properties,,,,,190101800.0,ns,43
properties,,,,,193962925.0,ns,44
properties,,,,,198329016.0,ns,45
properties,,,,,203513832.0,ns,46
properties,,,,,206053926.0,ns,47
properties,,,,,212371719.0,ns,48
properties,,,,,214843045.0,ns,49
properties,,,,,220428293.0,ns,50
properties,,,,,227217187.0,ns,51
properties,,,,,227096247.0,ns,52
properties,,,,,233506028.0,ns,53
properties,,,,,235021481.0,ns,54
properties,,,,,234873202.0,ns,55
properties,,,,,240716356.0,ns,56
properties,,,,,247950327.0,ns,57
properties,,,,,248634017.0,ns,58
properties,,,,,254883653.0,ns,59
properties,,,,,256855629.0,ns,60
properties,,,,,272063357.0,ns,61
properties,,,,,274525009.0,ns,62
properties,,,,,275389950.0,ns,63
properties,,,,,280486797.0,ns,64
properties,,,,,287253816.0,ns,65
properties,,,,,289118324.0,ns,66
properties,,,,,294928857.0,ns,67
properties,,,,,300198440.0,ns,68
properties,,,,,303485227.0,ns,69
properties,,,,,307274660.0,ns,70
properties,,,,,312047634.0,ns,71
properties,,,,,322258265.0,ns,72
properties,,,,,325202787.0,ns,73
properties,,,,,329214379.0,ns,74
properties,,,,,328245410.0,ns,75
properties,,,,,331644850.0,ns,76
properties,,,,,343267891.0,ns,77
properties,,,,,341959175.0,ns,78
properties,,,,,350089468.0,ns,79
properties,,,,,351979578.0,ns,80
properties,,,,,357738871.0,ns,81
properties,,,,,359518229.0,ns,82
properties,,,,,367630801.0,ns,83
properties,,,,,370129979.0,ns,84
properties,,,,,370634368.0,ns,85
properties,,,,,381168795.0,ns,86
properties,,,,,380540996.0,ns,87
properties,,,,,386868501.0,ns,88
properties,,,,,391486221.0,ns,89
properties,,,,,393684256.0,ns,90
properties,,,,,403174161.0,ns,91
properties,,,,,403746339.0,ns,92
properties,,,,,409763788.0,ns,93
properties,,,,,412479711.0,ns,94
properties,,,,,416833812.0,ns,95
properties,,,,,421819480.0,ns,96
properties,,,,,425089327.0,ns,97
properties,,,,,444612952.0,ns,98
properties,,,,,435072942.0,ns,99
properties,,,,,439857711.0,ns,100
