group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run binary_trees,,1,,,2258741.0,ns,1
run binary_trees,,1,,,5481160.0,ns,2
run binary_trees,,1,,,10834913.0,ns,3
run binary_trees,,1,,,9239896.0,ns,4
run binary_trees,,1,,,13708415.0,ns,5
run binary_trees,,1,,,15537195.0,ns,6
run binary_trees,,1,,,15911166.0,ns,7
run binary_trees,,1,,,17705825.0,ns,8
run binary_trees,,1,,,19812078.0,ns,9
run binary_trees,,1,,,22097631.0,ns,10
run binary_trees,,1,,,24249345.0,ns,11
run binary_trees,,1,,,26452549.0,ns,12
run binary_trees,,1,,,30117825.0,ns,13
run binary_trees,,1,,,31034006.0,ns,14
run binary_trees,,1,,,33194386.0,ns,15
run binary_trees,,1,,,35228460.0,ns,16
run binary_trees,,1,,,37537339.0,ns,17
run binary_trees,,1,,,39797060.0,ns,18
run binary_trees,,1,,,46819976.0,ns,19
run binary_trees,,1,,,47182955.0,ns,20
run binary_trees,,1,,,46287948.0,ns,21
run binary_trees,,1,,,50134527.0,ns,22
run binary_trees,,1,,,50630803.0,ns,23
run binary_trees,,1,,,54233586.0,ns,24
run binary_trees,,1,,,56979187.0,ns,25
run binary_trees,,1,,,59309851.0,ns,26
run binary_trees,,1,,,62155661.0,ns,27
run binary_trees,,1,,,63631234.0,ns,28
run binary_trees,,1,,,66181002.0,ns,29
run binary_trees,,1,,,66021618.0,ns,30
run binary_trees,,1,,,70521176.0,ns,31
run binary_trees,,1,,,72959485.0,ns,32
run binary_trees,,1,,,72082037.0,ns,33
run binary_trees,,1,,,74717612.0,ns,34
run binary_trees,,1,,,77782906.0,ns,35
run binary_trees,,1,,,79968648.0,ns,36
run binary_trees,,1,,,81279235.0,ns,37
run binary_trees,,1,,,83268678.0,ns,38
run binary_trees,,1,,,86047982.0,ns,39
run binary_trees,,1,,,87587242.0,ns,40
run binary_trees,,1,,,90175448.0,ns,41
run binary_trees,,1,,,93362907.0,ns,42
run binary_trees,,1,,,94594764.0,ns,43
run binary_trees,,1,,,96596089.0,ns,44
run binary_trees,,1,,,98272551.0,ns,45
run binary_trees,,1,,,101216777.0,ns,46
run binary_trees,,1,,,104401434.0,ns,47
run binary_trees,,1,,,105970483.0,ns,48
run binary_trees,,1,,,107903549.0,ns,49
run binary_trees,,1,,,109428126.0,ns,50
run binary_trees,,1,,,111611382.0,ns,51
run binary_trees,,1,,,114161179.0,ns,52
run binary_trees,,1,,,116222802.0,ns,53
run binary_trees,,1,,,118949965.0,ns,54
run binary_trees,,1,,,120381314.0,ns,55
run binary_trees,,1,,,122580963.0,ns,56
run binary_trees,,1,,,125075697.0,ns,57
run binary_trees,,1,,,128411457.0,ns,58
run binary_trees,,1,,,129772919.0,ns,59
run binary_trees,,1,,,131856869.0,ns,60
run binary_trees,,1,,,134282886.0,ns,61
run binary_trees,,1,,,135257819.0,ns,62
run binary_trees,,1,,,139064582.0,ns,63
run binary_trees,,1,,,141088699.0,ns,64
run binary_trees,,1,,,142622190.0,ns,65
run binary_trees,,1,,,145068775.0,ns,66
run binary_trees,,1,,,147806564.0,ns,67
run binary_trees,,1,,,149696916.0,ns,68
run binary_trees,,1,,,151145566.0,ns,69
run binary_trees,,1,,,154785480.0,ns,70
run binary_trees,,1,,,156706302.0,ns,71
run binary_trees,,1,,,158889282.0,ns,72
run binary_trees,,1,,,160252143.0,ns,73
run binary_trees,,1,,,162489557.0,ns,74
run binary_trees,,1,,,165226957.0,ns,75
run binary_trees,,1,,,166602927.0,ns,76
run binary_trees,,1,,,169066498.0,ns,77
run binary_trees,,1,,,171731897.0,ns,78
run binary_trees,,1,,,173179035.0,ns,79
run binary_trees,,1,,,176011731.0,ns,80
run binary_trees,,1,,,177930941.0,ns,81
run binary_trees,,1,,,181850582.0,ns,82
run binary_trees,,1,,,182686326.0,ns,83
run binary_trees,,1,,,184303568.0,ns,84
run binary_trees,,1,,,187521829.0,ns,85
run binary_trees,,1,,,188564731.0,ns,86
run binary_trees,,1,,,190647913.0,ns,87
run binary_trees,,1,,,194183132.0,ns,88
run binary_trees,,1,,,195004765.0,ns,89
run binary_trees,,1,,,197337633.0,ns,90
run binary_trees,,1,,,200733186.0,ns,91
run binary_trees,,1,,,201557610.0,ns,92
run binary_trees,,1,,,205064591.0,ns,93
run binary_trees,,1,,,208011994.0,ns,94
run binary_trees,,1,,,208606115.0,ns,95
run binary_trees,,1,,,210208449.0,ns,96
run binary_trees,,1,,,213799358.0,ns,97
run binary_trees,,1,,,215112258.0,ns,98
run binary_trees,,1,,,217352006.0,ns,99
run binary_trees,,1,,,220928516.0,ns,100
