group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run binary_trees,,1,,,3042650.0,ns,1
run binary_trees,,1,,,6911516.0,ns,2
run binary_trees,,1,,,6962914.0,ns,3
run binary_trees,,1,,,9971386.0,ns,4
run binary_trees,,1,,,11983048.0,ns,5
run binary_trees,,1,,,13585995.0,ns,6
run binary_trees,,1,,,15793707.0,ns,7
run binary_trees,,1,,,24812130.0,ns,8
run binary_trees,,1,,,20706913.0,ns,9
run binary_trees,,1,,,22395729.0,ns,10
run binary_trees,,1,,,24641600.0,ns,11
run binary_trees,,1,,,31407746.0,ns,12
run binary_trees,,1,,,34703201.0,ns,13
run binary_trees,,1,,,32202446.0,ns,14
run binary_trees,,1,,,37347348.0,ns,15
run binary_trees,,1,,,36119532.0,ns,16
run binary_trees,,1,,,37953003.0,ns,17
run binary_trees,,1,,,43370921.0,ns,18
run binary_trees,,1,,,48023405.0,ns,19
run binary_trees,,1,,,49922797.0,ns,20
run binary_trees,,1,,,48798763.0,ns,21
run binary_trees,,1,,,65831252.0,ns,22
run binary_trees,,1,,,68811049.0,ns,23
run binary_trees,,1,,,55870366.0,ns,24
run binary_trees,,1,,,59647935.0,ns,25
run binary_trees,,1,,,58003516.0,ns,26
run binary_trees,,1,,,63383679.0,ns,27
run binary_trees,,1,,,65265029.0,ns,28
run binary_trees,,1,,,64793224.0,ns,29
run binary_trees,,1,,,69761163.0,ns,30
run binary_trees,,1,,,73729288.0,ns,31
run binary_trees,,1,,,71852080.0,ns,32
run binary_trees,,1,,,75848181.0,ns,33
run binary_trees,,1,,,79100851.0,ns,34
run binary_trees,,1,,,86845291.0,ns,35
run binary_trees,,1,,,83888443.0,ns,36
run binary_trees,,1,,,85318038.0,ns,37
run binary_trees,,1,,,87193094.0,ns,38
run binary_trees,,1,,,88863575.0,ns,39
run binary_trees,,1,,,92707583.0,ns,40
run binary_trees,,1,,,93590343.0,ns,41
run binary_trees,,1,,,95967358.0,ns,42
run binary_trees,,1,,,98264470.0,ns,43
run binary_trees,,1,,,100307648.0,ns,44
run binary_trees,,1,,,109778881.0,ns,45
run binary_trees,,1,,,104946501.0,ns,46
run binary_trees,,1,,,106745676.0,ns,47
run binary_trees,,1,,,109193427.0,ns,48
run binary_trees,,1,,,121260067.0,ns,49
run binary_trees,,1,,,115622064.0,ns,50
run binary_trees,,1,,,117121645.0,ns,51
run binary_trees,,1,,,123485002.0,ns,52
run binary_trees,,1,,,120842366.0,ns,53
run binary_trees,,1,,,133463591.0,ns,54
run binary_trees,,1,,,124848318.0,ns,55
run binary_trees,,1,,,126529371.0,ns,56
run binary_trees,,1,,,129398747.0,ns,57
run binary_trees,,1,,,134329788.0,ns,58
run binary_trees,,1,,,133243647.0,ns,59
run binary_trees,,1,,,137689710.0,ns,60
run binary_trees,,1,,,144362610.0,ns,61
run binary_trees,,1,,,140047930.0,ns,62
run binary_trees,,1,,,144557679.0,ns,63
run binary_trees,,1,,,145217218.0,ns,64
run binary_trees,,1,,,149837868.0,ns,65
run binary_trees,,1,,,148521659.0,ns,66
run binary_trees,,1,,,153781263.0,ns,67
run binary_trees,,1,,,157755940.0,ns,68
run binary_trees,,1,,,157620101.0,ns,69
run binary_trees,,1,,,157893251.0,ns,70
run binary_trees,,1,,,161567232.0,ns,71
run binary_trees,,1,,,166045763.0,ns,72
run binary_trees,,1,,,167026252.0,ns,73
run binary_trees,,1,,,173492623.0,ns,74
run binary_trees,,1,,,173300643.0,ns,75
run binary_trees,,1,,,174632338.0,ns,76
run binary_trees,,1,,,172668488.0,ns,77
run binary_trees,,1,,,179639771.0,ns,78
run binary_trees,,1,,,184001613.0,ns,79
run binary_trees,,1,,,188645410.0,ns,80
run binary_trees,,1,,,185718287.0,ns,81
run binary_trees,,1,,,193182581.0,ns,82
run binary_trees,,1,,,190032094.0,ns,83
run binary_trees,,1,,,191914664.0,ns,84
run binary_trees,,1,,,199486233.0,ns,85
run binary_trees,,1,,,196767115.0,ns,86
run binary_trees,,1,,,199305992.0,ns,87
run binary_trees,,1,,,202328047.0,ns,88
run binary_trees,,1,,,207035674.0,ns,89
run binary_trees,,1,,,209021729.0,ns,90
run binary_trees,,1,,,206834742.0,ns,91
run binary_trees,,1,,,208206406.0,ns,92
run binary_trees,,1,,,210479174.0,ns,93
run binary_trees,,1,,,216699084.0,ns,94
run binary_trees,,1,,,220980362.0,ns,95
run binary_trees,,1,,,221684383.0,ns,96
run binary_trees,,1,,,221040599.0,ns,97
run binary_trees,,1,,,227415103.0,ns,98
run binary_trees,,1,,,239306416.0,ns,99
run binary_trees,,1,,,229483075.0,ns,100
