group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run equality,,2,,,5257177.0,ns,1
run equality,,2,,,9175323.0,ns,2
run equality,,2,,,12463033.0,ns,3
run equality,,2,,,16105989.0,ns,4
run equality,,2,,,19945795.0,ns,5
run equality,,2,,,23842039.0,ns,6
run equality,,2,,,26936087.0,ns,7
run equality,,2,,,29612114.0,ns,8
run equality,,2,,,36024455.0,ns,9
run equality,,2,,,38658583.0,ns,10
run equality,,2,,,43399758.0,ns,11
run equality,,2,,,48946622.0,ns,12
run equality,,2,,,48470332.0,ns,13
run equality,,2,,,55522313.0,ns,14
run equality,,2,,,56092242.0,ns,15
run equality,,2,,,61936929.0,ns,16
run equality,,2,,,64447607.0,ns,17
run equality,,2,,,68588110.0,ns,18
run equality,,2,,,74318497.0,ns,19
run equality,,2,,,77612571.0,ns,20
run equality,,2,,,79872132.0,ns,21
run equality,,2,,,85862902.0,ns,22
run equality,,2,,,89598829.0,ns,23
run equality,,2,,,95578581.0,ns,24
run equality,,2,,,101174456.0,ns,25
run equality,,2,,,102439975.0,ns,26
run equality,,2,,,105716480.0,ns,27
run equality,,2,,,110445449.0,ns,28
run equality,,2,,,113978320.0,ns,29
run equality,,2,,,119668864.0,ns,30
run equality,,2,,,121179676.0,ns,31
run equality,,2,,,123381677.0,ns,32
run equality,,2,,,126760441.0,ns,33
run equality,,2,,,138247386.0,ns,34
run equality,,2,,,134246317.0,ns,35
run equality,,2,,,137740000.0,ns,36
run equality,,2,,,145922594.0,ns,37
run equality,,2,,,145236417.0,ns,38
run equality,,2,,,153067855.0,ns,39
run equality,,2,,,151894992.0,ns,40
run equality,,2,,,159624481.0,ns,41
run equality,,2,,,163155429.0,ns,42
run equality,,2,,,165763105.0,ns,43
run equality,,2,,,171993454.0,ns,44
run equality,,2,,,181874073.0,ns,45
run equality,,2,,,175770530.0,ns,46
run equality,,2,,,182119338.0,ns,47
run equality,,2,,,186735191.0,ns,48
run equality,,2,,,187276972.0,ns,49
run equality,,2,,,188535824.0,ns,50
run equality,,2,,,193941886.0,ns,51
run equality,,2,,,199320820.0,ns,52
run equality,,2,,,201272231.0,ns,53
run equality,,2,,,205847122.0,ns,54
run equality,,2,,,210088776.0,ns,55
run equality,,2,,,214534155.0,ns,56
run equality,,2,,,222264936.0,ns,57
run equality,,2,,,224717906.0,ns,58
run equality,,2,,,231136834.0,ns,59
run equality,,2,,,232164519.0,ns,60
run equality,,2,,,243871196.0,ns,61
run equality,,2,,,242589360.0,ns,62
run equality,,2,,,238725007.0,ns,63
run equality,,2,,,242718337.0,ns,64
run equality,,2,,,250770372.0,ns,65
run equality,,2,,,252502747.0,ns,66
run equality,,2,,,253744333.0,ns,67
run equality,,2,,,260939765.0,ns,68
run equality,,2,,,263179774.0,ns,69
run equality,,2,,,273680884.0,ns,70
run equality,,2,,,276822013.0,ns,71
run equality,,2,,,281451604.0,ns,72
run equality,,2,,,287876911.0,ns,73
run equality,,2,,,292865050.0,ns,74
run equality,,2,,,298204864.0,ns,75
run equality,,2,,,304761620.0,ns,76
run equality,,2,,,308965078.0,ns,77
run equality,,2,,,310583912.0,ns,78
run equality,,2,,,315206748.0,ns,79
run equality,,2,,,315436140.0,ns,80
run equality,,2,,,316297914.0,ns,81
run equality,,2,,,322894764.0,ns,82
run equality,,2,,,327961655.0,ns,83
run equality,,2,,,333255229.0,ns,84
run equality,,2,,,335508766.0,ns,85
run equality,,2,,,340355383.0,ns,86
run equality,,2,,,344546427.0,ns,87
run equality,,2,,,348471886.0,ns,88
run equality,,2,,,354228819.0,ns,89
run equality,,2,,,348767996.0,ns,90
run equality,,2,,,358789533.0,ns,91
run equality,,2,,,356495156.0,ns,92
run equality,,2,,,355868816.0,ns,93
run equality,,2,,,361951402.0,ns,94
run equality,,2,,,370264276.0,ns,95
run equality,,2,,,369518096.0,ns,96
run equality,,2,,,375865701.0,ns,97
run equality,,2,,,373434282.0,ns,98
run equality,,2,,,390190347.0,ns,99
run equality,,2,,,384759827.0,ns,100
