group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run equality,,2,,,4219871.0,ns,1
run equality,,2,,,9179062.0,ns,2
run equality,,2,,,12456648.0,ns,3
run equality,,2,,,15762793.0,ns,4
run equality,,2,,,19368083.0,ns,5
run equality,,2,,,21785849.0,ns,6
run equality,,2,,,25969556.0,ns,7
run equality,,2,,,29296755.0,ns,8
run equality,,2,,,32873743.0,ns,9
run equality,,2,,,35814050.0,ns,10
run equality,,2,,,40654595.0,ns,11
run equality,,2,,,43045402.0,ns,12
run equality,,2,,,47466278.0,ns,13
run equality,,2,,,51535630.0,ns,14
run equality,,2,,,53603941.0,ns,15
run equality,,2,,,57993450.0,ns,16
run equality,,2,,,61414259.0,ns,17
run equality,,2,,,65440593.0,ns,18
run equality,,2,,,68290861.0,ns,19
run equality,,2,,,71458333.0,ns,20
run equality,,2,,,77854737.0,ns,21
run equality,,2,,,78289283.0,ns,22
run equality,,2,,,83758212.0,ns,23
run equality,,2,,,88446320.0,ns,24
run equality,,2,,,89450324.0,ns,25
run equality,,2,,,94033473.0,ns,26
run equality,,2,,,95921409.0,ns,27
run equality,,2,,,103072120.0,ns,28
run equality,,2,,,106986694.0,ns,29
run equality,,2,,,109821865.0,ns,30
run equality,,2,,,112287427.0,ns,31
run equality,,2,,,116803989.0,ns,32
run equality,,2,,,120519723.0,ns,33
run equality,,2,,,121682572.0,ns,34
run equality,,2,,,125872082.0,ns,35
run equality,,2,,,132397691.0,ns,36
run equality,,2,,,135182174.0,ns,37
run equality,,2,,,137720135.0,ns,38
run equality,,2,,,143769672.0,ns,39
run equality,,2,,,143341312.0,ns,40
run equality,,2,,,147506823.0,ns,41
run equality,,2,,,150102455.0,ns,42
run equality,,2,,,157717685.0,ns,43
run equality,,2,,,160548522.0,ns,44
run equality,,2,,,160482060.0,ns,45
run equality,,2,,,164140891.0,ns,46
run equality,,2,,,168244800.0,ns,47
run equality,,2,,,173876801.0,ns,48
run equality,,2,,,174039261.0,ns,49
run equality,,2,,,180997190.0,ns,50
run equality,,2,,,188002605.0,ns,51
run equality,,2,,,185437419.0,ns,52
run equality,,2,,,190627524.0,ns,53
run equality,,2,,,194341226.0,ns,54
run equality,,2,,,199304710.0,ns,55
run equality,,2,,,202024255.0,ns,56
run equality,,2,,,206682899.0,ns,57
run equality,,2,,,208916351.0,ns,58
run equality,,2,,,214541345.0,ns,59
run equality,,2,,,216322207.0,ns,60
run equality,,2,,,222552086.0,ns,61
run equality,,2,,,222435624.0,ns,62
run equality,,2,,,225611254.0,ns,63
run equality,,2,,,230444924.0,ns,64
run equality,,2,,,238377335.0,ns,65
run equality,,2,,,238855682.0,ns,66
run equality,,2,,,240434786.0,ns,67
run equality,,2,,,243019316.0,ns,68
run equality,,2,,,250815101.0,ns,69
run equality,,2,,,252777579.0,ns,70
run equality,,2,,,253011724.0,ns,71
run equality,,2,,,257138040.0,ns,72
run equality,,2,,,261342218.0,ns,73
run equality,,2,,,269554966.0,ns,74
run equality,,2,,,289766274.0,ns,75
run equality,,2,,,282546776.0,ns,76
run equality,,2,,,286073323.0,ns,77
run equality,,2,,,281030365.0,ns,78
run equality,,2,,,283256219.0,ns,79
run equality,,2,,,288816873.0,ns,80
run equality,,2,,,289436958.0,ns,81
run equality,,2,,,292409660.0,ns,82
run equality,,2,,,297534940.0,ns,83
run equality,,2,,,300455714.0,ns,84
run equality,,2,,,303953452.0,ns,85
run equality,,2,,,310513874.0,ns,86
run equality,,2,,,313957462.0,ns,87
run equality,,2,,,313572500.0,ns,88
run equality,,2,,,322597706.0,ns,89
run equality,,2,,,333514975.0,ns,90
run equality,,2,,,334828299.0,ns,91
run equality,,2,,,342495051.0,ns,92
run equality,,2,,,341051141.0,ns,93
run equality,,2,,,345338081.0,ns,94
run equality,,2,,,349984194.0,ns,95
run equality,,2,,,352490388.0,ns,96
run equality,,2,,,355014781.0,ns,97
run equality,,2,,,359929818.0,ns,98
run equality,,2,,,357630661.0,ns,99
run equality,,2,,,366762057.0,ns,100
