group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run fib,,3,,,2156242.0,ns,1
run fib,,3,,,4324985.0,ns,2
run fib,,3,,,7820867.0,ns,3
run fib,,3,,,8313330.0,ns,4
run fib,,3,,,11498677.0,ns,5
run fib,,3,,,12932305.0,ns,6
run fib,,3,,,14541801.0,ns,7
run fib,,3,,,15923821.0,ns,8
run fib,,3,,,17999211.0,ns,9
run fib,,3,,,20895370.0,ns,10
run fib,,3,,,22415049.0,ns,11
run fib,,3,,,23402598.0,ns,12
run fib,,3,,,25274763.0,ns,13
run fib,,3,,,27202663.0,ns,14
run fib,,3,,,30346307.0,ns,15
run fib,,3,,,31433168.0,ns,16
run fib,,3,,,33225574.0,ns,17
run fib,,3,,,34991788.0,ns,18
run fib,,3,,,37727848.0,ns,19
run fib,,3,,,39202054.0,ns,20
run fib,,3,,,40552878.0,ns,21
run fib,,3,,,42835051.0,ns,22
run fib,,3,,,44678871.0,ns,23
run fib,,3,,,46527170.0,ns,24
run fib,,3,,,48418471.0,ns,25
run fib,,3,,,51686452.0,ns,26
run fib,,3,,,52613296.0,ns,27
run fib,,3,,,54280840.0,ns,28
run fib,,3,,,56179238.0,ns,29
run fib,,3,,,58153156.0,ns,30
run fib,,3,,,60727607.0,ns,31
run fib,,3,,,62791835.0,ns,32
run fib,,3,,,65524709.0,ns,33
run fib,,3,,,67660867.0,ns,34
run fib,,3,,,67584503.0,ns,35
run fib,,3,,,69961392.0,ns,36
run fib,,3,,,72323540.0,ns,37
run fib,,3,,,73611368.0,ns,38
run fib,,3,,,76623037.0,ns,39
run fib,,3,,,78251590.0,ns,40
run fib,,3,,,79679137.0,ns,41
run fib,,3,,,81995478.0,ns,42
run fib,,3,,,83045107.0,ns,43
run fib,,3,,,85455943.0,ns,44
run fib,,3,,,87457997.0,ns,45
run fib,,3,,,89323300.0,ns,46
run fib,,3,,,93291074.0,ns,47
run fib,,3,,,93929108.0,ns,48
run fib,,3,,,95172720.0,ns,49
run fib,,3,,,97082907.0,ns,50
run fib,,3,,,99195942.0,ns,51
run fib,,3,,,100876212.0,ns,52
run fib,,3,,,103463664.0,ns,53
run fib,,3,,,105158725.0,ns,54
run fib,,3,,,109230985.0,ns,55
run fib,,3,,,108991217.0,ns,56
run fib,,3,,,112146630.0,ns,57
run fib,,3,,,113049102.0,ns,58
run fib,,3,,,115409878.0,ns,59
run fib,,3,,,116808125.0,ns,60
run fib,,3,,,118705250.0,ns,61
run fib,,3,,,120342283.0,ns,62
run fib,,3,,,122585959.0,ns,63
run fib,,3,,,124542063.0,ns,64
run fib,,3,,,128435353.0,ns,65
run fib,,3,,,128461684.0,ns,66
run fib,,3,,,129641281.0,ns,67
run fib,,3,,,133522577.0,ns,68
run fib,,3,,,133838241.0,ns,69
run fib,,3,,,135881096.0,ns,70
run fib,,3,,,138226836.0,ns,71
run fib,,3,,,143291705.0,ns,72
run fib,,3,,,146157052.0,ns,73
run fib,,3,,,143703875.0,ns,74
run fib,,3,,,145707190.0,ns,75
run fib,,3,,,147211219.0,ns,76
run fib,,3,,,149869296.0,ns,77
run fib,,3,,,151302513.0,ns,78
run fib,,3,,,153215448.0,ns,79
run fib,,3,,,157973113.0,ns,80
run fib,,3,,,157411809.0,ns,81
run fib,,3,,,159259048.0,ns,82
run fib,,3,,,161083353.0,ns,83
run fib,,3,,,163897110.0,ns,84
run fib,,3,,,165136998.0,ns,85
run fib,,3,,,168420202.0,ns,86
run fib,,3,,,168930640.0,ns,87
run fib,,3,,,175372783.0,ns,88
run fib,,3,,,172123925.0,ns,89
run fib,,3,,,174090276.0,ns,90
run fib,,3,,,178636267.0,ns,91
run fib,,3,,,186232798.0,ns,92
run fib,,3,,,179815846.0,ns,93
run fib,,3,,,182459827.0,ns,94
run fib,,3,,,185263988.0,ns,95
run fib,,3,,,186291889.0,ns,96
run fib,,3,,,188807788.0,ns,97
run fib,,3,,,191870083.0,ns,98
run fib,,3,,,192145825.0,ns,99
run fib,,3,,,197953007.0,ns,100
