group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run fib,,3,,,2652679.0,ns,1
run fib,,3,,,5763845.0,ns,2
run fib,,3,,,5961419.0,ns,3
run fib,,3,,,8558105.0,ns,4
run fib,,3,,,10122193.0,ns,5
run fib,,3,,,11918706.0,ns,6
run fib,,3,,,13762738.0,ns,7
run fib,,3,,,17875399.0,ns,8
run fib,,3,,,20431263.0,ns,9
run fib,,3,,,19796649.0,ns,10
run fib,,3,,,21445765.0,ns,11
run fib,,3,,,23341305.0,ns,12
run fib,,3,,,30355232.0,ns,13
run fib,,3,,,27724905.0,ns,14
run fib,,3,,,29348156.0,ns,15
run fib,,3,,,35958586.0,ns,16
run fib,,3,,,33891978.0,ns,17
run fib,,3,,,35190413.0,ns,18
run fib,,3,,,42914991.0,ns,19
run fib,,3,,,39172395.0,ns,20
run fib,,3,,,44698708.0,ns,21
run fib,,3,,,44631902.0,ns,22
run fib,,3,,,46861654.0,ns,23
run fib,,3,,,51718500.0,ns,24
run fib,,3,,,50055530.0,ns,25
run fib,,3,,,55130227.0,ns,26
run fib,,3,,,58288518.0,ns,27
run fib,,3,,,57670851.0,ns,28
run fib,,3,,,61737018.0,ns,29
run fib,,3,,,59176076.0,ns,30
run fib,,3,,,65946814.0,ns,31
run fib,,3,,,67308926.0,ns,32
run fib,,3,,,64571486.0,ns,33
run fib,,3,,,71483557.0,ns,34
run fib,,3,,,74226453.0,ns,35
run fib,,3,,,75358801.0,ns,36
run fib,,3,,,73250326.0,ns,37
run fib,,3,,,81483608.0,ns,38
run fib,,3,,,83979313.0,ns,39
run fib,,3,,,83436730.0,ns,40
run fib,,3,,,86055257.0,ns,41
run fib,,3,,,85765538.0,ns,42
run fib,,3,,,85105827.0,ns,43
run fib,,3,,,88511392.0,ns,44
run fib,,3,,,90533442.0,ns,45
run fib,,3,,,94349464.0,ns,46
run fib,,3,,,93679409.0,ns,47
run fib,,3,,,95666901.0,ns,48
run fib,,3,,,97668467.0,ns,49
run fib,,3,,,102633188.0,ns,50
run fib,,3,,,101619920.0,ns,51
run fib,,3,,,108821044.0,ns,52
run fib,,3,,,105204080.0,ns,53
run fib,,3,,,108940347.0,ns,54
run fib,,3,,,109377421.0,ns,55
run fib,,3,,,111171276.0,ns,56
run fib,,3,,,114774644.0,ns,57
run fib,,3,,,115999932.0,ns,58
run fib,,3,,,123248917.0,ns,59
run fib,,3,,,119624356.0,ns,60
run fib,,3,,,126704292.0,ns,61
run fib,,3,,,124816556.0,ns,62
run fib,,3,,,124928195.0,ns,63
run fib,,3,,,128137345.0,ns,64
run fib,,3,,,129311688.0,ns,65
run fib,,3,,,136827675.0,ns,66
run fib,,3,,,139220847.0,ns,67
run fib,,3,,,141735358.0,ns,68
run fib,,3,,,142405069.0,ns,69
run fib,,3,,,143185595.0,ns,70
run fib,,3,,,143055678.0,ns,71
run fib,,3,,,142708127.0,ns,72
run fib,,3,,,146461832.0,ns,73
run fib,,3,,,149045017.0,ns,74
run fib,,3,,,151177450.0,ns,75
run fib,,3,,,157142744.0,ns,76
run fib,,3,,,153744976.0,ns,77
run fib,,3,,,154509697.0,ns,78
run fib,,3,,,158764244.0,ns,79
run fib,,3,,,158560981.0,ns,80
run fib,,3,,,164032083.0,ns,81
run fib,,3,,,168717353.0,ns,82
run fib,,3,,,166844405.0,ns,83
run fib,,3,,,168505636.0,ns,84
run fib,,3,,,172137027.0,ns,85
run fib,,3,,,176138800.0,ns,86
run fib,,3,,,175952643.0,ns,87
run fib,,3,,,180363276.0,ns,88
run fib,,3,,,177310409.0,ns,89
run fib,,3,,,180261587.0,ns,90
run fib,,3,,,181290179.0,ns,91
run fib,,3,,,182113018.0,ns,92
run fib,,3,,,193271943.0,ns,93
run fib,,3,,,187624564.0,ns,94
run fib,,3,,,190367287.0,ns,95
run fib,,3,,,192889432.0,ns,96
run fib,,3,,,194635508.0,ns,97
run fib,,3,,,202873540.0,ns,98
run fib,,3,,,197117525.0,ns,99
run fib,,3,,,201783985.0,ns,100
