group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run fluent,,10,,,3559140.0,ns,1
run fluent,,10,,,6596403.0,ns,2
run fluent,,10,,,10324531.0,ns,3
run fluent,,10,,,17302756.0,ns,4
run fluent,,10,,,24541098.0,ns,5
run fluent,,10,,,23699502.0,ns,6
run fluent,,10,,,24517518.0,ns,7
run fluent,,10,,,30960240.0,ns,8
run fluent,,10,,,40112355.0,ns,9
run fluent,,10,,,37119505.0,ns,10
run fluent,,10,,,47198197.0,ns,11
run fluent,,10,,,43437453.0,ns,12
run fluent,,10,,,54793653.0,ns,13
run fluent,,10,,,51108539.0,ns,14
run fluent,,10,,,55680947.0,ns,15
run fluent,,10,,,62572963.0,ns,16
run fluent,,10,,,86478378.0,ns,17
run fluent,,10,,,70703359.0,ns,18
run fluent,,10,,,76742070.0,ns,19
run fluent,,10,,,72906641.0,ns,20
run fluent,,10,,,75055530.0,ns,21
run fluent,,10,,,83271831.0,ns,22
run fluent,,10,,,84038198.0,ns,23
run fluent,,10,,,85078994.0,ns,24
run fluent,,10,,,87647636.0,ns,25
run fluent,,10,,,93766585.0,ns,26
run fluent,,10,,,108266225.0,ns,27
run fluent,,10,,,126617120.0,ns,28
run fluent,,10,,,112742870.0,ns,29
run fluent,,10,,,120706165.0,ns,30
run fluent,,10,,,120115607.0,ns,31
run fluent,,10,,,127327575.0,ns,32
run fluent,,10,,,121868740.0,ns,33
run fluent,,10,,,131570257.0,ns,34
run fluent,,10,,,127604914.0,ns,35
run fluent,,10,,,149728043.0,ns,36
run fluent,,10,,,136588545.0,ns,37
run fluent,,10,,,139864860.0,ns,38
run fluent,,10,,,138327748.0,ns,39
run fluent,,10,,,145701202.0,ns,40
run fluent,,10,,,150605896.0,ns,41
run fluent,,10,,,152911673.0,ns,42
run fluent,,10,,,171791589.0,ns,43
run fluent,,10,,,168057391.0,ns,44
run fluent,,10,,,167236053.0,ns,45
run fluent,,10,,,174490139.0,ns,46
run fluent,,10,,,175147775.0,ns,47
run fluent,,10,,,196448826.0,ns,48
run fluent,,10,,,197713748.0,ns,49
run fluent,,10,,,192027718.0,ns,50
run fluent,,10,,,197018805.0,ns,51
run fluent,,10,,,214292979.0,ns,52
run fluent,,10,,,258896452.0,ns,53
run fluent,,10,,,217361146.0,ns,54
run fluent,,10,,,218037362.0,ns,55
run fluent,,10,,,213608652.0,ns,56
run fluent,,10,,,213827399.0,ns,57
run fluent,,10,,,236961434.0,ns,58
run fluent,,10,,,226309512.0,ns,59
run fluent,,10,,,223429096.0,ns,60
run fluent,,10,,,227400466.0,ns,61
run fluent,,10,,,272022815.0,ns,62
run fluent,,10,,,270788441.0,ns,63
run fluent,,10,,,354672316.0,ns,64
run fluent,,10,,,420405868.0,ns,65
run fluent,,10,,,293168472.0,ns,66
run fluent,,10,,,368971345.0,ns,67
run fluent,,10,,,390869128.0,ns,68
run fluent,,10,,,330699900.0,ns,69
run fluent,,10,,,271845454.0,ns,70
run fluent,,10,,,336575764.0,ns,71
run fluent,,10,,,393071404.0,ns,72
run fluent,,10,,,335141858.0,ns,73
run fluent,,10,,,285860273.0,ns,74
run fluent,,10,,,317215946.0,ns,75
run fluent,,10,,,259625470.0,ns,76
run fluent,,10,,,350032056.0,ns,77
run fluent,,10,,,375131119.0,ns,78
run fluent,,10,,,364082155.0,ns,79
run fluent,,10,,,279338669.0,ns,80
run fluent,,10,,,451242764.0,ns,81
run fluent,,10,,,488655877.0,ns,82
run fluent,,10,,,341514256.0,ns,83
run fluent,,10,,,322324863.0,ns,84
run fluent,,10,,,435118160.0,ns,85
run fluent,,10,,,355317496.0,ns,86
run fluent,,10,,,355737161.0,ns,87
run fluent,,10,,,329731845.0,ns,88
run fluent,,10,,,432273948.0,ns,89
run fluent,,10,,,337648629.0,ns,90
run fluent,,10,,,447630151.0,ns,91
run fluent,,10,,,427779272.0,ns,92
run fluent,,10,,,414666985.0,ns,93
run fluent,,10,,,353561245.0,ns,94
run fluent,,10,,,451935137.0,ns,95
run fluent,,10,,,447832755.0,ns,96
run fluent,,10,,,339823398.0,ns,97
run fluent,,10,,,354967584.0,ns,98
run fluent,,10,,,416751783.0,ns,99
run fluent,,10,,,370027391.0,ns,100
