group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run fluent,,10,,,4487067.0,ns,1
run fluent,,10,,,7381138.0,ns,2
run fluent,,10,,,9133895.0,ns,3
run fluent,,10,,,12093860.0,ns,4
run fluent,,10,,,15836052.0,ns,5
run fluent,,10,,,17051203.0,ns,6
run fluent,,10,,,19598642.0,ns,7
run fluent,,10,,,22665619.0,ns,8
run fluent,,10,,,25443203.0,ns,9
run fluent,,10,,,29715935.0,ns,10
run fluent,,10,,,30747176.0,ns,11
run fluent,,10,,,33795420.0,ns,12
run fluent,,10,,,38544830.0,ns,13
run fluent,,10,,,38856297.0,ns,14
run fluent,,10,,,44528930.0,ns,15
run fluent,,10,,,44861255.0,ns,16
run fluent,,10,,,51538018.0,ns,17
run fluent,,10,,,50714807.0,ns,18
run fluent,,10,,,56660776.0,ns,19
run fluent,,10,,,55876671.0,ns,20
run fluent,,10,,,60615072.0,ns,21
run fluent,,10,,,61007887.0,ns,22
run fluent,,10,,,65489466.0,ns,23
run fluent,,10,,,68522967.0,ns,24
run fluent,,10,,,69892901.0,ns,25
run fluent,,10,,,73817580.0,ns,26
run fluent,,10,,,78411300.0,ns,27
run fluent,,10,,,79795011.0,ns,28
run fluent,,10,,,82523804.0,ns,29
run fluent,,10,,,83737664.0,ns,30
run fluent,,10,,,87917683.0,ns,31
run fluent,,10,,,90301851.0,ns,32
run fluent,,10,,,96172991.0,ns,33
run fluent,,10,,,98174137.0,ns,34
run fluent,,10,,,98973044.0,ns,35
run fluent,,10,,,103299330.0,ns,36
run fluent,,10,,,105428342.0,ns,37
run fluent,,10,,,107689624.0,ns,38
run fluent,,10,,,111044190.0,ns,39
run fluent,,10,,,114366091.0,ns,40
run fluent,,10,,,119002427.0,ns,41
run fluent,,10,,,120428756.0,ns,42
run fluent,,10,,,121073910.0,ns,43
run fluent,,10,,,125126724.0,ns,44
run fluent,,10,,,130959399.0,ns,45
run fluent,,10,,,130511694.0,ns,46
run fluent,,10,,,133142051.0,ns,47
run fluent,,10,,,146154234.0,ns,48
run fluent,,10,,,142801268.0,ns,49
run fluent,,10,,,154218904.0,ns,50
run fluent,,10,,,144233045.0,ns,51
run fluent,,10,,,147330504.0,ns,52
run fluent,,10,,,149166213.0,ns,53
run fluent,,10,,,155265911.0,ns,54
run fluent,,10,,,154104128.0,ns,55
run fluent,,10,,,159125023.0,ns,56
run fluent,,10,,,159908994.0,ns,57
run fluent,,10,,,165998793.0,ns,58
run fluent,,10,,,169683716.0,ns,59
run fluent,,10,,,172934381.0,ns,60
run fluent,,10,,,174892712.0,ns,61
run fluent,,10,,,176000665.0,ns,62
run fluent,,10,,,182296586.0,ns,63
run fluent,,10,,,180234701.0,ns,64
run fluent,,10,,,182908810.0,ns,65
run fluent,,10,,,188852019.0,ns,66
run fluent,,10,,,189433989.0,ns,67
run fluent,,10,,,192151569.0,ns,68
run fluent,,10,,,197066077.0,ns,69
run fluent,,10,,,198769353.0,ns,70
run fluent,,10,,,201436525.0,ns,71
run fluent,,10,,,202330479.0,ns,72
run fluent,,10,,,207755560.0,ns,73
run fluent,,10,,,208436067.0,ns,74
run fluent,,10,,,210552559.0,ns,75
run fluent,,10,,,214684818.0,ns,76
run fluent,,10,,,228341966.0,ns,77
run fluent,,10,,,220229167.0,ns,78
run fluent,,10,,,225899775.0,ns,79
run fluent,,10,,,225849366.0,ns,80
run fluent,,10,,,231388913.0,ns,81
run fluent,,10,,,233881000.0,ns,82
run fluent,,10,,,232461888.0,ns,83
run fluent,,10,,,241439452.0,ns,84
run fluent,,10,,,240945164.0,ns,85
run fluent,,10,,,254510751.0,ns,86
run fluent,,10,,,246288662.0,ns,87
run fluent,,10,,,246800518.0,ns,88
run fluent,,10,,,251884726.0,ns,89
run fluent,,10,,,255970534.0,ns,90
run fluent,,10,,,256625235.0,ns,91
run fluent,,10,,,259858272.0,ns,92
run fluent,,10,,,262946968.0,ns,93
run fluent,,10,,,267881430.0,ns,94
run fluent,,10,,,270269911.0,ns,95
run fluent,,10,,,272343033.0,ns,96
run fluent,,10,,,278659539.0,ns,97
run fluent,,10,,,284158473.0,ns,98
run fluent,,10,,,280187448.0,ns,99
run fluent,,10,,,299585030.0,ns,100
