group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run instantiation,,5,,,2133445.0,ns,1
run instantiation,,5,,,4345954.0,ns,2
run instantiation,,5,,,8932830.0,ns,3
run instantiation,,5,,,12525835.0,ns,4
run instantiation,,5,,,13367878.0,ns,5
run instantiation,,5,,,16293430.0,ns,6
run instantiation,,5,,,17418334.0,ns,7
run instantiation,,5,,,18584717.0,ns,8
run instantiation,,5,,,19296981.0,ns,9
run instantiation,,5,,,22086014.0,ns,10
run instantiation,,5,,,29898861.0,ns,11
run instantiation,,5,,,27156763.0,ns,12
run instantiation,,5,,,27662087.0,ns,13
run instantiation,,5,,,31373285.0,ns,14
run instantiation,,5,,,38699270.0,ns,15
run instantiation,,5,,,34175113.0,ns,16
run instantiation,,5,,,43082995.0,ns,17
run instantiation,,5,,,39218551.0,ns,18
run instantiation,,5,,,42108485.0,ns,19
run instantiation,,5,,,48930377.0,ns,20
run instantiation,,5,,,48566298.0,ns,21
run instantiation,,5,,,54192359.0,ns,22
run instantiation,,5,,,50512335.0,ns,23
run instantiation,,5,,,56980528.0,ns,24
run instantiation,,5,,,58526567.0,ns,25
run instantiation,,5,,,57849500.0,ns,26
run instantiation,,5,,,64685216.0,ns,27
run instantiation,,5,,,61622387.0,ns,28
run instantiation,,5,,,67719929.0,ns,29
run instantiation,,5,,,71428207.0,ns,30
run instantiation,,5,,,67760607.0,ns,31
run instantiation,,5,,,74449502.0,ns,32
run instantiation,,5,,,77955067.0,ns,33
run instantiation,,5,,,79283933.0,ns,34
run instantiation,,5,,,79867693.0,ns,35
run instantiation,,5,,,82166907.0,ns,36
run instantiation,,5,,,86021194.0,ns,37
run instantiation,,5,,,88289389.0,ns,38
run instantiation,,5,,,91095173.0,ns,39
run instantiation,,5,,,92078631.0,ns,40
run instantiation,,5,,,94067249.0,ns,41
run instantiation,,5,,,96807548.0,ns,42
run instantiation,,5,,,94654422.0,ns,43
run instantiation,,5,,,97320301.0,ns,44
run instantiation,,5,,,99436374.0,ns,45
run instantiation,,5,,,102476814.0,ns,46
run instantiation,,5,,,106811897.0,ns,47
run instantiation,,5,,,106618332.0,ns,48
run instantiation,,5,,,107698044.0,ns,49
run instantiation,,5,,,110609809.0,ns,50
run instantiation,,5,,,112178793.0,ns,51
run instantiation,,5,,,117828656.0,ns,52
run instantiation,,5,,,119788320.0,ns,53
run instantiation,,5,,,121940288.0,ns,54
run instantiation,,5,,,121606487.0,ns,55
run instantiation,,5,,,122939373.0,ns,56
run instantiation,,5,,,123377038.0,ns,57
run instantiation,,5,,,128514876.0,ns,58
run instantiation,,5,,,127879186.0,ns,59
run instantiation,,5,,,129248549.0,ns,60
run instantiation,,5,,,133273675.0,ns,61
run instantiation,,5,,,137663006.0,ns,62
run instantiation,,5,,,139743481.0,ns,63
run instantiation,,5,,,143744620.0,ns,64
run instantiation,,5,,,144072622.0,ns,65
run instantiation,,5,,,146519227.0,ns,66
run instantiation,,5,,,153264527.0,ns,67
run instantiation,,5,,,149677441.0,ns,68
run instantiation,,5,,,153787402.0,ns,69
run instantiation,,5,,,156518916.0,ns,70
run instantiation,,5,,,156800171.0,ns,71
run instantiation,,5,,,163000061.0,ns,72
run instantiation,,5,,,163990252.0,ns,73
run instantiation,,5,,,166261911.0,ns,74
run instantiation,,5,,,167187637.0,ns,75
run instantiation,,5,,,173528069.0,ns,76
run instantiation,,5,,,169516538.0,ns,77
run instantiation,,5,,,172778037.0,ns,78
run instantiation,,5,,,181722285.0,ns,79
run instantiation,,5,,,176381500.0,ns,80
run instantiation,,5,,,178576034.0,ns,81
run instantiation,,5,,,183789074.0,ns,82
run instantiation,,5,,,188239599.0,ns,83
run instantiation,,5,,,217823149.0,ns,84
run instantiation,,5,,,188662000.0,ns,85
run instantiation,,5,,,190389974.0,ns,86
run instantiation,,5,,,192025758.0,ns,87
run instantiation,,5,,,194224933.0,ns,88
run instantiation,,5,,,194661017.0,ns,89
run instantiation,,5,,,199039318.0,ns,90
run instantiation,,5,,,207984932.0,ns,91
run instantiation,,5,,,212484730.0,ns,92
run instantiation,,5,,,203351635.0,ns,93
run instantiation,,5,,,206618045.0,ns,94
run instantiation,,5,,,213181231.0,ns,95
run instantiation,,5,,,216488207.0,ns,96
run instantiation,,5,,,214067686.0,ns,97
run instantiation,,5,,,224495099.0,ns,98
run instantiation,,5,,,218908654.0,ns,99
run instantiation,,5,,,222720731.0,ns,100
