group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run invocation,,4,,,3151996.0,ns,1
run invocation,,4,,,6191049.0,ns,2
run invocation,,4,,,12969475.0,ns,3
run invocation,,4,,,15709872.0,ns,4
run invocation,,4,,,17900045.0,ns,5
run invocation,,4,,,22606838.0,ns,6
run invocation,,4,,,23846769.0,ns,7
run invocation,,4,,,29264329.0,ns,8
run invocation,,4,,,33079509.0,ns,9
run invocation,,4,,,35021941.0,ns,10
run invocation,,4,,,45442137.0,ns,11
run invocation,,4,,,45595359.0,ns,12
run invocation,,4,,,45408722.0,ns,13
run invocation,,4,,,50611809.0,ns,14
run invocation,,4,,,53913235.0,ns,15
run invocation,,4,,,58941158.0,ns,16
run invocation,,4,,,66897540.0,ns,17
run invocation,,4,,,66323126.0,ns,18
run invocation,,4,,,68512037.0,ns,19
run invocation,,4,,,75171483.0,ns,20
run invocation,,4,,,76384862.0,ns,21
run invocation,,4,,,81574014.0,ns,22
run invocation,,4,,,83924604.0,ns,23
run invocation,,4,,,87178639.0,ns,24
run invocation,,4,,,105469030.0,ns,25
run invocation,,4,,,119459997.0,ns,26
run invocation,,4,,,122746655.0,ns,27
run invocation,,4,,,127137586.0,ns,28
run invocation,,4,,,127041823.0,ns,29
run invocation,,4,,,135616983.0,ns,30
run invocation,,4,,,136146056.0,ns,31
run invocation,,4,,,139089512.0,ns,32
run invocation,,4,,,146357425.0,ns,33
run invocation,,4,,,151733676.0,ns,34
run invocation,,4,,,182038567.0,ns,35
run invocation,,4,,,160068759.0,ns,36
run invocation,,4,,,173650463.0,ns,37
run invocation,,4,,,164024311.0,ns,38
run invocation,,4,,,175572151.0,ns,39
run invocation,,4,,,195396622.0,ns,40
run invocation,,4,,,185097988.0,ns,41
run invocation,,4,,,185601939.0,ns,42
run invocation,,4,,,197046451.0,ns,43
run invocation,,4,,,205175370.0,ns,44
run invocation,,4,,,198522517.0,ns,45
run invocation,,4,,,208813983.0,ns,46
run invocation,,4,,,218187746.0,ns,47
run invocation,,4,,,215300973.0,ns,48
run invocation,,4,,,227518747.0,ns,49
run invocation,,4,,,236731121.0,ns,50
run invocation,,4,,,229493941.0,ns,51
run invocation,,4,,,235278510.0,ns,52
run invocation,,4,,,239961476.0,ns,53
run invocation,,4,,,253695703.0,ns,54
run invocation,,4,,,249592236.0,ns,55
run invocation,,4,,,242819897.0,ns,56
run invocation,,4,,,247338929.0,ns,57
run invocation,,4,,,250863394.0,ns,58
run invocation,,4,,,262022046.0,ns,59
run invocation,,4,,,265044577.0,ns,60
run invocation,,4,,,269070902.0,ns,61
run invocation,,4,,,296850207.0,ns,62
run invocation,,4,,,281776297.0,ns,63
run invocation,,4,,,278757721.0,ns,64
run invocation,,4,,,293266315.0,ns,65
run invocation,,4,,,300018969.0,ns,66
run invocation,,4,,,298987205.0,ns,67
run invocation,,4,,,313069719.0,ns,68
run invocation,,4,,,299080651.0,ns,69
run invocation,,4,,,306053547.0,ns,70
run invocation,,4,,,320370628.0,ns,71
run invocation,,4,,,328623201.0,ns,72
run invocation,,4,,,334864448.0,ns,73
run invocation,,4,,,318514199.0,ns,74
run invocation,,4,,,323484136.0,ns,75
run invocation,,4,,,316860352.0,ns,76
run invocation,,4,,,333115006.0,ns,77
run invocation,,4,,,350524893.0,ns,78
run invocation,,4,,,353756869.0,ns,79
run invocation,,4,,,355092636.0,ns,80
run invocation,,4,,,360400566.0,ns,81
run invocation,,4,,,366965087.0,ns,82
run invocation,,4,,,376179543.0,ns,83
run invocation,,4,,,371958063.0,ns,84
run invocation,,4,,,369351081.0,ns,85
run invocation,,4,,,402509707.0,ns,86
run invocation,,4,,,399823495.0,ns,87
run invocation,,4,,,432416096.0,ns,88
run invocation,,4,,,398911712.0,ns,89
run invocation,,4,,,411283658.0,ns,90
run invocation,,4,,,413381212.0,ns,91
run invocation,,4,,,400472913.0,ns,92
run invocation,,4,,,435506115.0,ns,93
run invocation,,4,,,429044821.0,ns,94
run invocation,,4,,,517414466.0,ns,95
run invocation,,4,,,458519214.0,ns,96
run invocation,,4,,,465239930.0,ns,97
run invocation,,4,,,374114999.0,ns,98
run invocation,,4,,,400114126.0,ns,99
run invocation,,4,,,374089396.0,ns,100
