group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run invocation,,4,,,3052031.0,ns,1
run invocation,,4,,,6576124.0,ns,2
run invocation,,4,,,10456380.0,ns,3
run invocation,,4,,,10840689.0,ns,4
run invocation,,4,,,15143173.0,ns,5
run invocation,,4,,,17145268.0,ns,6
run invocation,,4,,,18812444.0,ns,7
run invocation,,4,,,21161798.0,ns,8
run invocation,,4,,,23742971.0,ns,9
run invocation,,4,,,26509042.0,ns,10
run invocation,,4,,,29030198.0,ns,11
run invocation,,4,,,31871374.0,ns,12
run invocation,,4,,,34154632.0,ns,13
run invocation,,4,,,36882187.0,ns,14
run invocation,,4,,,39816835.0,ns,15
run invocation,,4,,,42472324.0,ns,16
run invocation,,4,,,45480710.0,ns,17
run invocation,,4,,,47633646.0,ns,18
run invocation,,4,,,50343388.0,ns,19
run invocation,,4,,,52809206.0,ns,20
run invocation,,4,,,55771583.0,ns,21
run invocation,,4,,,57894525.0,ns,22
run invocation,,4,,,61105734.0,ns,23
run invocation,,4,,,63348568.0,ns,24
run invocation,,4,,,65684954.0,ns,25
run invocation,,4,,,68648645.0,ns,26
run invocation,,4,,,72246025.0,ns,27
run invocation,,4,,,74547662.0,ns,28
run invocation,,4,,,76368308.0,ns,29
run invocation,,4,,,79160972.0,ns,30
run invocation,,4,,,81787580.0,ns,31
run invocation,,4,,,84720211.0,ns,32
run invocation,,4,,,87011454.0,ns,33
run invocation,,4,,,90519780.0,ns,34
run invocation,,4,,,92546424.0,ns,35
run invocation,,4,,,94633935.0,ns,36
run invocation,,4,,,97993822.0,ns,37
run invocation,,4,,,100547617.0,ns,38
run invocation,,4,,,103957805.0,ns,39
run invocation,,4,,,105651349.0,ns,40
run invocation,,4,,,108740939.0,ns,41
run invocation,,4,,,112066659.0,ns,42
run invocation,,4,,,113776080.0,ns,43
run invocation,,4,,,115528526.0,ns,44
run invocation,,4,,,118251171.0,ns,45
run invocation,,4,,,121426912.0,ns,46
run invocation,,4,,,123939726.0,ns,47
run invocation,,4,,,125909392.0,ns,48
run invocation,,4,,,129014758.0,ns,49
run invocation,,4,,,131112805.0,ns,50
run invocation,,4,,,136328094.0,ns,51
run invocation,,4,,,136667244.0,ns,52
run invocation,,4,,,139819135.0,ns,53
run invocation,,4,,,142405879.0,ns,54
run invocation,,4,,,144911149.0,ns,55
run invocation,,4,,,147745751.0,ns,56
run invocation,,4,,,159036712.0,ns,57
run invocation,,4,,,157313951.0,ns,58
run invocation,,4,,,156302423.0,ns,59
run invocation,,4,,,160322004.0,ns,60
run invocation,,4,,,185588980.0,ns,61
run invocation,,4,,,192884576.0,ns,62
run invocation,,4,,,171261430.0,ns,63
run invocation,,4,,,171031112.0,ns,64
run invocation,,4,,,171457090.0,ns,65
run invocation,,4,,,174147435.0,ns,66
run invocation,,4,,,176340337.0,ns,67
run invocation,,4,,,180276006.0,ns,68
run invocation,,4,,,182359345.0,ns,69
run invocation,,4,,,184451411.0,ns,70
run invocation,,4,,,187500919.0,ns,71
run invocation,,4,,,190741923.0,ns,72
run invocation,,4,,,192301081.0,ns,73
run invocation,,4,,,195663253.0,ns,74
run invocation,,4,,,197898417.0,ns,75
run invocation,,4,,,200109308.0,ns,76
run invocation,,4,,,203091454.0,ns,77
run invocation,,4,,,207490195.0,ns,78
run invocation,,4,,,207854889.0,ns,79
run invocation,,4,,,210826242.0,ns,80
run invocation,,4,,,214092098.0,ns,81
run invocation,,4,,,215754440.0,ns,82
run invocation,,4,,,218252151.0,ns,83
run invocation,,4,,,222274593.0,ns,84
run invocation,,4,,,224518309.0,ns,85
run invocation,,4,,,226733112.0,ns,86
run invocation,,4,,,229891702.0,ns,87
run invocation,,4,,,234164203.0,ns,88
run invocation,,4,,,235196855.0,ns,89
run invocation,,4,,,236877067.0,ns,90
run invocation,,4,,,239034451.0,ns,91
run invocation,,4,,,242407208.0,ns,92
run invocation,,4,,,249553495.0,ns,93
run invocation,,4,,,249123250.0,ns,94
run invocation,,4,,,253414264.0,ns,95
run invocation,,4,,,256460524.0,ns,96
run invocation,,4,,,256033158.0,ns,97
run invocation,,4,,,258292243.0,ns,98
run invocation,,4,,,261258455.0,ns,99
run invocation,,4,,,263752787.0,ns,100
