group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run method_call,,6,,,3374284.0,ns,1
run method_call,,6,,,7537990.0,ns,2
run method_call,,6,,,9513490.0,ns,3
run method_call,,6,,,11822858.0,ns,4
run method_call,,6,,,16033967.0,ns,5
run method_call,,6,,,17675248.0,ns,6
run method_call,,6,,,20085048.0,ns,7
run method_call,,6,,,22422286.0,ns,8
run method_call,,6,,,25473660.0,ns,9
run method_call,,6,,,28438833.0,ns,10
run method_call,,6,,,30928122.0,ns,11
run method_call,,6,,,33575729.0,ns,12
run method_call,,6,,,36558337.0,ns,13
run method_call,,6,,,39239140.0,ns,14
run method_call,,6,,,42122946.0,ns,15
run method_call,,6,,,44545115.0,ns,16
run method_call,,6,,,47545837.0,ns,17
run method_call,,6,,,50471919.0,ns,18
run method_call,,6,,,53326222.0,ns,19
run method_call,,6,,,55805571.0,ns,20
run method_call,,6,,,60063349.0,ns,21
run method_call,,6,,,61765924.0,ns,22
run method_call,,6,,,65569254.0,ns,23
run method_call,,6,,,67251874.0,ns,24
run method_call,,6,,,70328167.0,ns,25
run method_call,,6,,,72513768.0,ns,26
run method_call,,6,,,75975092.0,ns,27
run method_call,,6,,,78566392.0,ns,28
run method_call,,6,,,80926751.0,ns,29
run method_call,,6,,,84067787.0,ns,30
run method_call,,6,,,87527532.0,ns,31
run method_call,,6,,,89326135.0,ns,32
run method_call,,6,,,92657423.0,ns,33
run method_call,,6,,,97036654.0,ns,34
run method_call,,6,,,105157304.0,ns,35
run method_call,,6,,,101220520.0,ns,36
run method_call,,6,,,104778337.0,ns,37
run method_call,,6,,,106599117.0,ns,38
run method_call,,6,,,109291303.0,ns,39
run method_call,,6,,,112257959.0,ns,40
run method_call,,6,,,115207108.0,ns,41
run method_call,,6,,,117752360.0,ns,42
run method_call,,6,,,120635714.0,ns,43
run method_call,,6,,,123052443.0,ns,44
run method_call,,6,,,125833850.0,ns,45
run method_call,,6,,,149668661.0,ns,46
run method_call,,6,,,158401216.0,ns,47
run method_call,,6,,,148179899.0,ns,48
run method_call,,6,,,136537840.0,ns,49
run method_call,,6,,,140107604.0,ns,50
run method_call,,6,,,143915096.0,ns,51
run method_call,,6,,,145158406.0,ns,52
run method_call,,6,,,148413307.0,ns,53
run method_call,,6,,,150554312.0,ns,54
run method_call,,6,,,154650653.0,ns,55
run method_call,,6,,,157003795.0,ns,56
run method_call,,6,,,159091838.0,ns,57
run method_call,,6,,,162403509.0,ns,58
run method_call,,6,,,165841801.0,ns,59
run method_call,,6,,,170246859.0,ns,60
run method_call,,6,,,172616540.0,ns,61
run method_call,,6,,,173843476.0,ns,62
run method_call,,6,,,176655169.0,ns,63
run method_call,,6,,,178543119.0,ns,64
run method_call,,6,,,181007550.0,ns,65
run method_call,,6,,,185041355.0,ns,66
run method_call,,6,,,188474312.0,ns,67
run method_call,,6,,,190126246.0,ns,68
run method_call,,6,,,193466448.0,ns,69
run method_call,,6,,,199358737.0,ns,70
run method_call,,6,,,197669491.0,ns,71
run method_call,,6,,,201891754.0,ns,72
run method_call,,6,,,204258985.0,ns,73
run method_call,,6,,,207015656.0,ns,74
run method_call,,6,,,210035665.0,ns,75
run method_call,,6,,,212213934.0,ns,76
run method_call,,6,,,215478958.0,ns,77
run method_call,,6,,,218690282.0,ns,78
run method_call,,6,,,220440365.0,ns,79
run method_call,,6,,,223889394.0,ns,80
run method_call,,6,,,226315400.0,ns,81
run method_call,,6,,,228617214.0,ns,82
run method_call,,6,,,232705499.0,ns,83
run method_call,,6,,,235059915.0,ns,84
run method_call,,6,,,237434497.0,ns,85
run method_call,,6,,,240260788.0,ns,86
run method_call,,6,,,242474777.0,ns,87
run method_call,,6,,,251804005.0,ns,88
run method_call,,6,,,248065771.0,ns,89
run method_call,,6,,,251668830.0,ns,90
run method_call,,6,,,254438149.0,ns,91
run method_call,,6,,,258321164.0,ns,92
run method_call,,6,,,262512876.0,ns,93
run method_call,,6,,,261845077.0,ns,94
run method_call,,6,,,267934201.0,ns,95
run method_call,,6,,,268495527.0,ns,96
run method_call,,6,,,272297288.0,ns,97
run method_call,,6,,,273820700.0,ns,98
run method_call,,6,,,277687243.0,ns,99
run method_call,,6,,,278997137.0,ns,100
