group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run properties,,7,,,4180180.0,ns,1
run properties,,7,,,10543262.0,ns,2
run properties,,7,,,11270272.0,ns,3
run properties,,7,,,18144869.0,ns,4
run properties,,7,,,19650713.0,ns,5
run properties,,7,,,22191237.0,ns,6
run properties,,7,,,25942165.0,ns,7
run properties,,7,,,29944223.0,ns,8
run properties,,7,,,32997673.0,ns,9
run properties,,7,,,37755440.0,ns,10
run properties,,7,,,40369471.0,ns,11
run properties,,7,,,43893852.0,ns,12
run properties,,7,,,47489042.0,ns,13
run properties,,7,,,50959168.0,ns,14
run properties,,7,,,54937407.0,ns,15
run properties,,7,,,57925855.0,ns,16
run properties,,7,,,63705108.0,ns,17
run properties,,7,,,65737470.0,ns,18
run properties,,7,,,68681293.0,ns,19
run properties,,7,,,72729669.0,ns,20
run properties,,7,,,77598549.0,ns,21
run properties,,7,,,80447986.0,ns,22
run properties,,7,,,86968773.0,ns,23
run properties,,7,,,87242846.0,ns,24
run properties,,7,,,91129597.0,ns,25
run properties,,7,,,94933013.0,ns,26
run properties,,7,,,99098136.0,ns,27
run properties,,7,,,103065998.0,ns,28
run properties,,7,,,105732687.0,ns,29
run properties,,7,,,108136556.0,ns,30
run properties,,7,,,114214857.0,ns,31
run properties,,7,,,116344348.0,ns,32
run properties,,7,,,121001934.0,ns,33
run properties,,7,,,123430088.0,ns,34
run properties,,7,,,130927564.0,ns,35
run properties,,7,,,129854243.0,ns,36
run properties,,7,,,137883285.0,ns,37
run properties,,7,,,139375163.0,ns,38
run properties,,7,,,143527152.0,ns,39
run properties,,7,,,147323606.0,ns,40
run properties,,7,,,150228819.0,ns,41
run properties,,7,,,154573587.0,ns,42
run properties,,7,,,156784760.0,ns,43
run properties,,7,,,160194738.0,ns,44
run properties,,7,,,165072785.0,ns,45
run properties,,7,,,166528870.0,ns,46
run properties,,7,,,169204725.0,ns,47
run properties,,7,,,176595461.0,ns,48
run properties,,7,,,179772667.0,ns,49
run properties,,7,,,180207578.0,ns,50
run properties,,7,,,185481533.0,ns,51
run properties,,7,,,193201588.0,ns,52
run properties,,7,,,193107442.0,ns,53
run properties,,7,,,197904406.0,ns,54
run properties,,7,,,202419446.0,ns,55
run properties,,7,,,203214323.0,ns,56
run properties,,7,,,206798922.0,ns,57
run properties,,7,,,214721831.0,ns,58
run properties,,7,,,214473075.0,ns,59
run properties,,7,,,222162020.0,ns,60
run properties,,7,,,224742706.0,ns,61
run properties,,7,,,226243806.0,ns,62
run properties,,7,,,232023498.0,ns,63
run properties,,7,,,234765374.0,ns,64
run properties,,7,,,236141444.0,ns,65
run properties,,7,,,241287557.0,ns,66
run properties,,7,,,244680201.0,ns,67
run properties,,7,,,250159952.0,ns,68
run properties,,7,,,249834909.0,ns,69
run properties,,7,,,264770568.0,ns,70
run properties,,7,,,257740034.0,ns,71
run properties,,7,,,263523295.0,ns,72
run properties,,7,,,265519411.0,ns,73
run properties,,7,,,271606477.0,ns,74
run properties,,7,,,273342234.0,ns,75
run properties,,7,,,277269740.0,ns,76
run properties,,7,,,284757148.0,ns,77
run properties,,7,,,293870690.0,ns,78
run properties,,7,,,290160489.0,ns,79
run properties,,7,,,292890782.0,ns,80
run properties,,7,,,296110252.0,ns,81
run properties,,7,,,301379318.0,ns,82
run properties,,7,,,303075945.0,ns,83
run properties,,7,,,311416169.0,ns,84
run properties,,7,,,313528976.0,ns,85
run properties,,7,,,315704885.0,ns,86
run properties,,7,,,321916352.0,ns,87
run properties,,7,,,322571136.0,ns,88
run properties,,7,,,330599556.0,ns,89
run properties,,7,,,330452189.0,ns,90
run properties,,7,,,333622901.0,ns,91
run properties,,7,,,335397234.0,ns,92
run properties,,7,,,339929777.0,ns,93
run properties,,7,,,348853781.0,ns,94
run properties,,7,,,350485721.0,ns,95
run properties,,7,,,351825284.0,ns,96
run properties,,7,,,355054629.0,ns,97
run properties,,7,,,357772005.0,ns,98
run properties,,7,,,368075010.0,ns,99
run properties,,7,,,366646494.0,ns,100
