group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run zoo,,9,,,3220480.0,ns,1
run zoo,,9,,,8332319.0,ns,2
run zoo,,9,,,8428741.0,ns,3
run zoo,,9,,,9113895.0,ns,4
run zoo,,9,,,11403012.0,ns,5
run zoo,,9,,,13460869.0,ns,6
run zoo,,9,,,15724937.0,ns,7
run zoo,,9,,,18224337.0,ns,8
run zoo,,9,,,20727626.0,ns,9
run zoo,,9,,,23401067.0,ns,10
run zoo,,9,,,23885991.0,ns,11
run zoo,,9,,,26589244.0,ns,12
run zoo,,9,,,30013438.0,ns,13
run zoo,,9,,,32464547.0,ns,14
run zoo,,9,,,33913741.0,ns,15
run zoo,,9,,,38342043.0,ns,16
run zoo,,9,,,45796160.0,ns,17
run zoo,,9,,,40434552.0,ns,18
run zoo,,9,,,45356435.0,ns,19
run zoo,,9,,,44652491.0,ns,20
run zoo,,9,,,49490664.0,ns,21
run zoo,,9,,,49475906.0,ns,22
run zoo,,9,,,52799568.0,ns,23
run zoo,,9,,,52714995.0,ns,24
run zoo,,9,,,57484714.0,ns,25
run zoo,,9,,,59577131.0,ns,26
run zoo,,9,,,59630368.0,ns,27
run zoo,,9,,,69028557.0,ns,28
run zoo,,9,,,65983756.0,ns,29
run zoo,,9,,,69777290.0,ns,30
run zoo,,9,,,71006867.0,ns,31
run zoo,,9,,,77612308.0,ns,32
run zoo,,9,,,74018262.0,ns,33
run zoo,,9,,,80895779.0,ns,34
run zoo,,9,,,83261022.0,ns,35
run zoo,,9,,,87248488.0,ns,36
run zoo,,9,,,87557469.0,ns,37
run zoo,,9,,,91562476.0,ns,38
run zoo,,9,,,93845614.0,ns,39
run zoo,,9,,,96592188.0,ns,40
run zoo,,9,,,96673440.0,ns,41
run zoo,,9,,,98162085.0,ns,42
run zoo,,9,,,98777004.0,ns,43
run zoo,,9,,,106472857.0,ns,44
run zoo,,9,,,100054128.0,ns,45
run zoo,,9,,,107002148.0,ns,46
run zoo,,9,,,108266331.0,ns,47
run zoo,,9,,,110039695.0,ns,48
run zoo,,9,,,117899035.0,ns,49
run zoo,,9,,,118147852.0,ns,50
run zoo,,9,,,116513740.0,ns,51
run zoo,,9,,,120848162.0,ns,52
run zoo,,9,,,121404206.0,ns,53
run zoo,,9,,,123943514.0,ns,54
run zoo,,9,,,123232992.0,ns,55
run zoo,,9,,,127478618.0,ns,56
run zoo,,9,,,130817571.0,ns,57
run zoo,,9,,,137795465.0,ns,58
run zoo,,9,,,140239966.0,ns,59
run zoo,,9,,,136797051.0,ns,60
run zoo,,9,,,138815834.0,ns,61
run zoo,,9,,,142886429.0,ns,62
run zoo,,9,,,143510234.0,ns,63
run zoo,,9,,,146223838.0,ns,64
run zoo,,9,,,156093412.0,ns,65
run zoo,,9,,,150189530.0,ns,66
run zoo,,9,,,151814031.0,ns,67
run zoo,,9,,,163873632.0,ns,68
run zoo,,9,,,161225401.0,ns,69
run zoo,,9,,,166472111.0,ns,70
run zoo,,9,,,173847408.0,ns,71
run zoo,,9,,,165084613.0,ns,72
run zoo,,9,,,164438794.0,ns,73
run zoo,,9,,,171690020.0,ns,74
run zoo,,9,,,174355100.0,ns,75
run zoo,,9,,,172751365.0,ns,76
run zoo,,9,,,180390494.0,ns,77
run zoo,,9,,,177898932.0,ns,78
run zoo,,9,,,178490129.0,ns,79
run zoo,,9,,,181632166.0,ns,80
run zoo,,9,,,183530394.0,ns,81
run zoo,,9,,,196110061.0,ns,82
run zoo,,9,,,200428931.0,ns,83
run zoo,,9,,,193616755.0,ns,84
run zoo,,9,,,252991118.0,ns,85
run zoo,,9,,,275709093.0,ns,86
run zoo,,9,,,210711004.0,ns,87
run zoo,,9,,,202015833.0,ns,88
run zoo,,9,,,205514767.0,ns,89
run zoo,,9,,,212205798.0,ns,90
run zoo,,9,,,213756382.0,ns,91
run zoo,,9,,,220564942.0,ns,92
run zoo,,9,,,218424400.0,ns,93
run zoo,,9,,,220834639.0,ns,94
run zoo,,9,,,229931199.0,ns,95
run zoo,,9,,,228636360.0,ns,96
run zoo,,9,,,221833848.0,ns,97
run zoo,,9,,,226389342.0,ns,98
run zoo,,9,,,232986953.0,ns,99
run zoo,,9,,,240567412.0,ns,100
