group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
zoo,,,,,3139583.0,ns,1
zoo,,,,,7712460.0,ns,2
zoo,,,,,9082502.0,ns,3
zoo,,,,,10524343.0,ns,4
zoo,,,,,14150577.0,ns,5
zoo,,,,,15722171.0,ns,6
zoo,,,,,21755506.0,ns,7
zoo,,,,,19899439.0,ns,8
zoo,,,,,21819343.0,ns,9
zoo,,,,,24058045.0,ns,10
zoo,,,,,30982664.0,ns,11
zoo,,,,,29716664.0,ns,12
zoo,,,,,32411596.0,ns,13
zoo,,,,,38679134.0,ns,14
zoo,,,,,36805709.0,ns,15
zoo,,,,,38391407.0,ns,16
zoo,,,,,46112363.0,ns,17
zoo,,,,,43403918.0,ns,18
zoo,,,,,51159911.0,ns,19
zoo,,,,,48338049.0,ns,20
zoo,,,,,55661518.0,ns,21
zoo,,,,,52992973.0,ns,22
zoo,,,,,63748584.0,ns,23
zoo,,,,,65683470.0,ns,24
zoo,,,,,67476042.0,ns,25
zoo,,,,,79703040.0,ns,26
zoo,,,,,78743660.0,ns,27
zoo,,,,,73271568.0,ns,28
zoo,,,,,72647633.0,ns,29
zoo,,,,,81388412.0,ns,30
zoo,,,,,90486676.0,ns,31
zoo,,,,,103033809.0,ns,32
zoo,,,,,100124064.0,ns,33
zoo,,,,,89845641.0,ns,34
zoo,,,,,95052768.0,ns,35
zoo,,,,,96198434.0,ns,36
zoo,,,,,97614016.0,ns,37
zoo,,,,,104193022.0,ns,38
zoo,,,,,105128501.0,ns,39
zoo,,,,,109611482.0,ns,40
zoo,,,,,108243090.0,ns,41
zoo,,,,,112396044.0,ns,42
zoo,,,,,114919312.0,ns,43
zoo,,,,,118609696.0,ns,44
zoo,,,,,127643321.0,ns,45
zoo,,,,,124545058.0,ns,46
zoo,,,,,125515977.0,ns,47
zoo,,,,,130811296.0,ns,48
zoo,,,,,133812015.0,ns,49
zoo,,,,,132831872.0,ns,50
zoo,,,,,135315930.0,ns,51
zoo,,,,,140641329.0,ns,52
zoo,,,,,141658071.0,ns,53
zoo,,,,,145568821.0,ns,54
zoo,,,,,146271065.0,ns,55
zoo,,,,,149530219.0,ns,56
zoo,,,,,157467148.0,ns,57
zoo,,,,,156659704.0,ns,58
zoo,,,,,203517953.0,ns,59
zoo,,,,,164408761.0,ns,60
zoo,,,,,169399583.0,ns,61
zoo,,,,,168469420.0,ns,62
zoo,,,,,167979538.0,ns,63
zoo,,,,,173051015.0,ns,64
zoo,,,,,180379280.0,ns,65
zoo,,,,,178355574.0,ns,66
zoo,,,,,179632018.0,ns,67
zoo,,,,,179662292.0,ns,68
zoo,,,,,187650933.0,ns,69
zoo,,,,,190451227.0,ns,70
zoo,,,,,187861920.0,ns,71
zoo,,,,,192533025.0,ns,72
zoo,,,,,194369360.0,ns,73
zoo,,,,,200547711.0,ns,74
zoo,,,,,204183811.0,ns,75
zoo,,,,,203182894.0,ns,76
zoo,,,,,207762359.0,ns,77
zoo,,,,,211265940.0,ns,78
zoo,,,,,211102072.0,ns,79
zoo,,,,,215304436.0,ns,80
zoo,,,,,218092709.0,ns,81
zoo,,,,,218562399.0,ns,82
zoo,,,,,220971878.0,ns,83
zoo,,,,,225473831.0,ns,84
zoo,,,,,240173234.0,ns,85
zoo,,,,,249748369.0,ns,86
zoo,,,,,253782652.0,ns,87
zoo,,,,,253463221.0,ns,88
zoo,,,,,245883788.0,ns,89
zoo,,,,,235012860.0,ns,90
zoo,,,,,233179637.0,ns,91
zoo,,,,,276812627.0,ns,92
zoo,,,,,308607178.0,ns,93
zoo,,,,,262247291.0,ns,94
zoo,,,,,254777348.0,ns,95
zoo,,,,,260645316.0,ns,96
zoo,,,,,258521671.0,ns,97
zoo,,,,,302823227.0,ns,98
zoo,,,,,269191140.0,ns,99
zoo,,,,,272920541.0,ns,100
