group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
binary_trees,,,,,7536857.0,ns,1
binary_trees,,,,,14276317.0,ns,2
binary_trees,,,,,18311832.0,ns,3
binary_trees,,,,,25406774.0,ns,4
binary_trees,,,,,32107981.0,ns,5
binary_trees,,,,,38036181.0,ns,6
binary_trees,,,,,44581138.0,ns,7
binary_trees,,,,,52930850.0,ns,8
binary_trees,,,,,57258779.0,ns,9
binary_trees,,,,,63934974.0,ns,10
binary_trees,,,,,69802164.0,ns,11
binary_trees,,,,,76115077.0,ns,12
binary_trees,,,,,82811102.0,ns,13
binary_trees,,,,,88559637.0,ns,14
binary_trees,,,,,95529929.0,ns,15
binary_trees,,,,,101777916.0,ns,16
binary_trees,,,,,108664096.0,ns,17
binary_trees,,,,,114525465.0,ns,18
binary_trees,,,,,122571890.0,ns,19
binary_trees,,,,,127557984.0,ns,20
binary_trees,,,,,132312310.0,ns,21
binary_trees,,,,,140523392.0,ns,22
binary_trees,,,,,146639416.0,ns,23
binary_trees,,,,,154240361.0,ns,24
binary_trees,,,,,158445509.0,ns,25
binary_trees,,,,,176607669.0,ns,26
binary_trees,,,,,171433375.0,ns,27
binary_trees,,,,,178347730.0,ns,28
binary_trees,,,,,185570875.0,ns,29
binary_trees,,,,,190420628.0,ns,30
binary_trees,,,,,197619899.0,ns,31
binary_trees,,,,,203601019.0,ns,32
binary_trees,,,,,209305826.0,ns,33
binary_trees,,,,,217233026.0,ns,34
binary_trees,,,,,223254461.0,ns,35
binary_trees,,,,,230575539.0,ns,36
binary_trees,,,,,235056262.0,ns,37
binary_trees,,,,,240939824.0,ns,38
binary_trees,,,,,250866316.0,ns,39
binary_trees,,,,,255404498.0,ns,40
binary_trees,,,,,262018294.0,ns,41
binary_trees,,,,,266758944.0,ns,42
binary_trees,,,,,276784945.0,ns,43
binary_trees,,,,,282065019.0,ns,44
binary_trees,,,,,284234556.0,ns,45
binary_trees,,,,,296083018.0,ns,46
binary_trees,,,,,322697680.0,ns,47
binary_trees,,,,,304662654.0,ns,48
binary_trees,,,,,311104417.0,ns,49
binary_trees,,,,,316910404.0,ns,50
binary_trees,,,,,324383425.0,ns,51
binary_trees,,,,,332567175.0,ns,52
binary_trees,,,,,339984538.0,ns,53
binary_trees,,,,,350893344.0,ns,54
binary_trees,,,,,350120347.0,ns,55
binary_trees,,,,,359888189.0,ns,56
binary_trees,,,,,364210750.0,ns,57
binary_trees,,,,,372767042.0,ns,58
binary_trees,,,,,374772541.0,ns,59
binary_trees,,,,,382131061.0,ns,60
binary_trees,,,,,388558472.0,ns,61
binary_trees,,,,,398001061.0,ns,62
binary_trees,,,,,401489262.0,ns,63
binary_trees,,,,,409637043.0,ns,64
binary_trees,,,,,412896857.0,ns,65
binary_trees,,,,,425077659.0,ns,66
binary_trees,,,,,428835297.0,ns,67
binary_trees,,,,,435346516.0,ns,68
binary_trees,,,,,441125914.0,ns,69
binary_trees,,,,,447023262.0,ns,70
binary_trees,,,,,455453516.0,ns,71
binary_trees,,,,,459692668.0,ns,72
binary_trees,,,,,466356150.0,ns,73
binary_trees,,,,,473855861.0,ns,74
binary_trees,,,,,483574031.0,ns,75
binary_trees,,,,,483726930.0,ns,76
binary_trees,,,,,491874775.0,ns,77
binary_trees,,,,,500263829.0,ns,78
binary_trees,,,,,506199841.0,ns,79
binary_trees,,,,,513861810.0,ns,80
binary_trees,,,,,518856232.0,ns,81
binary_trees,,,,,525577905.0,ns,82
binary_trees,,,,,531076120.0,ns,83
binary_trees,,,,,535863167.0,ns,84
binary_trees,,,,,545186237.0,ns,85
binary_trees,,,,,552941563.0,ns,86
binary_trees,,,,,560141737.0,ns,87
binary_trees,,,,,562795215.0,ns,88
binary_trees,,,,,571047729.0,ns,89
binary_trees,,,,,581433735.0,ns,90
binary_trees,,,,,584051182.0,ns,91
binary_trees,,,,,586221010.0,ns,92
binary_trees,,,,,597299746.0,ns,93
binary_trees,,,,,612249759.0,ns,94
binary_trees,,,,,609972725.0,ns,95
binary_trees,,,,,612906836.0,ns,96
binary_trees,,,,,620306410.0,ns,97
binary_trees,,,,,629453973.0,ns,98
binary_trees,,,,,630558404.0,ns,99
binary_trees,,,,,639238784.0,ns,100
