group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
binary_trees,,,,,3909507.0,ns,1
binary_trees,,,,,7008905.0,ns,2
binary_trees,,,,,7558539.0,ns,3
binary_trees,,,,,11518145.0,ns,4
binary_trees,,,,,12440810.0,ns,5
binary_trees,,,,,14754540.0,ns,6
binary_trees,,,,,16850097.0,ns,7
binary_trees,,,,,19286247.0,ns,8
binary_trees,,,,,24065301.0,ns,9
binary_trees,,,,,24230189.0,ns,10
binary_trees,,,,,26336559.0,ns,11
binary_trees,,,,,28949334.0,ns,12
binary_trees,,,,,33499274.0,ns,13
binary_trees,,,,,34016893.0,ns,14
binary_trees,,,,,38880305.0,ns,15
binary_trees,,,,,40465253.0,ns,16
binary_trees,,,,,40785114.0,ns,17
binary_trees,,,,,45082607.0,ns,18
binary_trees,,,,,46105726.0,ns,19
binary_trees,,,,,50033331.0,ns,20
binary_trees,,,,,51607852.0,ns,21
binary_trees,,,,,55499997.0,ns,22
binary_trees,,,,,55726218.0,ns,23
binary_trees,,,,,60842024.0,ns,24
binary_trees,,,,,64009044.0,ns,25
binary_trees,,,,,63087377.0,ns,26
binary_trees,,,,,67474871.0,ns,27
binary_trees,,,,,68902186.0,ns,28
binary_trees,,,,,70327012.0,ns,29
binary_trees,,,,,74972772.0,ns,30
binary_trees,,,,,77379331.0,ns,31
binary_trees,,,,,79733372.0,ns,32
binary_trees,,,,,79259310.0,ns,33
binary_trees,,,,,84447438.0,ns,34
binary_trees,,,,,87820378.0,ns,35
binary_trees,,,,,89183002.0,ns,36
binary_trees,,,,,91511423.0,ns,37
binary_trees,,,,,95152899.0,ns,38
binary_trees,,,,,96842267.0,ns,39
binary_trees,,,,,98514433.0,ns,40
binary_trees,,,,,101917275.0,ns,41
binary_trees,,,,,103525327.0,ns,42
binary_trees,,,,,106540761.0,ns,43
binary_trees,,,,,108033052.0,ns,44
binary_trees,,,,,110777912.0,ns,45
binary_trees,,,,,113045661.0,ns,46
binary_trees,,,,,115669294.0,ns,47
binary_trees,,,,,125911997.0,ns,48
binary_trees,,,,,124802868.0,ns,49
binary_trees,,,,,126540509.0,ns,50
binary_trees,,,,,129631698.0,ns,51
binary_trees,,,,,137423380.0,ns,52
binary_trees,,,,,136057856.0,ns,53
binary_trees,,,,,131817940.0,ns,54
binary_trees,,,,,139332081.0,ns,55
binary_trees,,,,,139651109.0,ns,56
binary_trees,,,,,147701160.0,ns,57
binary_trees,,,,,145502629.0,ns,58
binary_trees,,,,,153765113.0,ns,59
binary_trees,,,,,155231525.0,ns,60
binary_trees,,,,,157994615.0,ns,61
binary_trees,,,,,153020760.0,ns,62
binary_trees,,,,,155500863.0,ns,63
binary_trees,,,,,156790247.0,ns,64
binary_trees,,,,,160215500.0,ns,65
binary_trees,,,,,171184683.0,ns,66
binary_trees,,,,,169470971.0,ns,67
binary_trees,,,,,181856471.0,ns,68
binary_trees,,,,,170072269.0,ns,69
binary_trees,,,,,170933814.0,ns,70
binary_trees,,,,,175649070.0,ns,71
binary_trees,,,,,177896249.0,ns,72
binary_trees,,,,,193603132.0,ns,73
binary_trees,,,,,205715339.0,ns,74
binary_trees,,,,,192994177.0,ns,75
binary_trees,,,,,194831374.0,ns,76
binary_trees,,,,,243848311.0,ns,77
binary_trees,,,,,197317773.0,ns,78
binary_trees,,,,,197405681.0,ns,79
binary_trees,,,,,198468544.0,ns,80
binary_trees,,,,,203156725.0,ns,81
binary_trees,,,,,210263217.0,ns,82
binary_trees,,,,,213238434.0,ns,83
binary_trees,,,,,221563641.0,ns,84
binary_trees,,,,,216607360.0,ns,85
binary_trees,,,,,219260600.0,ns,86
binary_trees,,,,,221722918.0,ns,87
binary_trees,,,,,225659518.0,ns,88
binary_trees,,,,,230747813.0,ns,89
binary_trees,,,,,228283900.0,ns,90
binary_trees,,,,,231586307.0,ns,91
binary_trees,,,,,237343713.0,ns,92
binary_trees,,,,,240222716.0,ns,93
binary_trees,,,,,237330278.0,ns,94
binary_trees,,,,,246160149.0,ns,95
binary_trees,,,,,243047150.0,ns,96
binary_trees,,,,,251650298.0,ns,97
binary_trees,,,,,247933173.0,ns,98
binary_trees,,,,,258774235.0,ns,99
binary_trees,,,,,255074894.0,ns,100
