group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile binary_trees,,201,,,1020135.0,ns,14
compile binary_trees,,201,,,3331264.0,ns,28
compile binary_trees,,201,,,5055031.0,ns,42
compile binary_trees,,201,,,4024123.0,ns,56
compile binary_trees,,201,,,5370328.0,ns,70
compile binary_trees,,201,,,6160632.0,ns,84
compile binary_trees,,201,,,6994304.0,ns,98
compile binary_trees,,201,,,7918432.0,ns,112
compile binary_trees,,201,,,9578675.0,ns,126
compile binary_trees,,201,,,11239114.0,ns,140
compile binary_trees,,201,,,10811202.0,ns,154
compile binary_trees,,201,,,11639390.0,ns,168
compile binary_trees,,201,,,12585550.0,ns,182
compile binary_trees,,201,,,13455325.0,ns,196
compile binary_trees,,201,,,14490920.0,ns,210
compile binary_trees,,201,,,15390407.0,ns,224
compile binary_trees,,201,,,18656437.0,ns,238
compile binary_trees,,201,,,17841256.0,ns,252
compile binary_trees,,201,,,18480608.0,ns,266
compile binary_trees,,201,,,19573880.0,ns,280
compile binary_trees,,201,,,20353414.0,ns,294
compile binary_trees,,201,,,23820217.0,ns,308
compile binary_trees,,201,,,22684871.0,ns,322
compile binary_trees,,201,,,23342800.0,ns,336
compile binary_trees,,201,,,24243970.0,ns,350
compile binary_trees,,201,,,27144605.0,ns,364
compile binary_trees,,201,,,26909092.0,ns,378
compile binary_trees,,201,,,27457030.0,ns,392
compile binary_trees,,201,,,28097170.0,ns,406
compile binary_trees,,201,,,32853165.0,ns,420
compile binary_trees,,201,,,30213685.0,ns,434
compile binary_trees,,201,,,31070539.0,ns,448
compile binary_trees,,201,,,37356450.0,ns,462
compile binary_trees,,201,,,36384234.0,ns,476
compile binary_trees,,201,,,34966270.0,ns,490
compile binary_trees,,201,,,37489623.0,ns,504
compile binary_trees,,201,,,35877798.0,ns,518
compile binary_trees,,201,,,36721397.0,ns,532
compile binary_trees,,201,,,40174063.0,ns,546
compile binary_trees,,201,,,39150289.0,ns,560
compile binary_trees,,201,,,41927965.0,ns,574
compile binary_trees,,201,,,40722060.0,ns,588
compile binary_trees,,201,,,41510741.0,ns,602
compile binary_trees,,201,,,44727253.0,ns,616
compile binary_trees,,201,,,43630991.0,ns,630
compile binary_trees,,201,,,46682637.0,ns,644
compile binary_trees,,201,,,45503676.0,ns,658
compile binary_trees,,201,,,48531099.0,ns,672
compile binary_trees,,201,,,47660717.0,ns,686
compile binary_trees,,201,,,50324752.0,ns,700
compile binary_trees,,201,,,49921206.0,ns,714
compile binary_trees,,201,,,52785718.0,ns,728
compile binary_trees,,201,,,51791650.0,ns,742
compile binary_trees,,201,,,55818495.0,ns,756
compile binary_trees,,201,,,62599850.0,ns,770
compile binary_trees,,201,,,58501415.0,ns,784
compile binary_trees,,201,,,57701520.0,ns,798
compile binary_trees,,201,,,57089806.0,ns,812
compile binary_trees,,201,,,60719111.0,ns,826
compile binary_trees,,201,,,58523217.0,ns,840
compile binary_trees,,201,,,65515398.0,ns,854
compile binary_trees,,201,,,62015192.0,ns,868
compile binary_trees,,201,,,61580360.0,ns,882
compile binary_trees,,201,,,64063797.0,ns,896
compile binary_trees,,201,,,63051184.0,ns,910
compile binary_trees,,201,,,66317068.0,ns,924
compile binary_trees,,201,,,67203017.0,ns,938
compile binary_trees,,201,,,65897948.0,ns,952
compile binary_trees,,201,,,70186812.0,ns,966
compile binary_trees,,201,,,71427747.0,ns,980
compile binary_trees,,201,,,71125880.0,ns,994
compile binary_trees,,201,,,71774484.0,ns,1008
compile binary_trees,,201,,,73026406.0,ns,1022
compile binary_trees,,201,,,73723302.0,ns,1036
compile binary_trees,,201,,,72613154.0,ns,1050
compile binary_trees,,201,,,77761429.0,ns,1064
compile binary_trees,,201,,,77272707.0,ns,1078
compile binary_trees,,201,,,84485318.0,ns,1092
compile binary_trees,,201,,,83203301.0,ns,1106
compile binary_trees,,201,,,78033410.0,ns,1120
compile binary_trees,,201,,,84888198.0,ns,1134
compile binary_trees,,201,,,81859038.0,ns,1148
compile binary_trees,,201,,,82467996.0,ns,1162
compile binary_trees,,201,,,86783040.0,ns,1176
compile binary_trees,,201,,,85105661.0,ns,1190
compile binary_trees,,201,,,83451523.0,ns,1204
compile binary_trees,,201,,,86487729.0,ns,1218
compile binary_trees,,201,,,87573238.0,ns,1232
compile binary_trees,,201,,,88711327.0,ns,1246
compile binary_trees,,201,,,89746027.0,ns,1260
compile binary_trees,,201,,,90421710.0,ns,1274
compile binary_trees,,201,,,91144307.0,ns,1288
compile binary_trees,,201,,,92517571.0,ns,1302
compile binary_trees,,201,,,92281589.0,ns,1316
compile binary_trees,,201,,,98063351.0,ns,1330
compile binary_trees,,201,,,97738002.0,ns,1344
compile binary_trees,,201,,,95985415.0,ns,1358
compile binary_trees,,201,,,96915018.0,ns,1372
compile binary_trees,,201,,,98376413.0,ns,1386
compile binary_trees,,201,,,99185607.0,ns,1400
