group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile binary_trees,,201,,,1110908.0,ns,14
compile binary_trees,,201,,,3440562.0,ns,28
compile binary_trees,,201,,,4312734.0,ns,42
compile binary_trees,,201,,,4653749.0,ns,56
compile binary_trees,,201,,,5412562.0,ns,70
compile binary_trees,,201,,,6059619.0,ns,84
compile binary_trees,,201,,,7107835.0,ns,98
compile binary_trees,,201,,,8157049.0,ns,112
compile binary_trees,,201,,,9177527.0,ns,126
compile binary_trees,,201,,,10110656.0,ns,140
compile binary_trees,,201,,,10975737.0,ns,154
compile binary_trees,,201,,,11933230.0,ns,168
compile binary_trees,,201,,,12857288.0,ns,182
compile binary_trees,,201,,,13840014.0,ns,196
compile binary_trees,,201,,,14816416.0,ns,210
compile binary_trees,,201,,,15798961.0,ns,224
compile binary_trees,,201,,,16783897.0,ns,238
compile binary_trees,,201,,,17830720.0,ns,252
compile binary_trees,,201,,,18818145.0,ns,266
compile binary_trees,,201,,,19995032.0,ns,280
compile binary_trees,,201,,,20831424.0,ns,294
compile binary_trees,,201,,,21721872.0,ns,308
compile binary_trees,,201,,,22811330.0,ns,322
compile binary_trees,,201,,,23861764.0,ns,336
compile binary_trees,,201,,,25297857.0,ns,350
compile binary_trees,,201,,,26156098.0,ns,364
compile binary_trees,,201,,,26960306.0,ns,378
compile binary_trees,,201,,,28075362.0,ns,392
compile binary_trees,,201,,,28776544.0,ns,406
compile binary_trees,,201,,,31766588.0,ns,420
compile binary_trees,,201,,,31039189.0,ns,434
compile binary_trees,,201,,,32081156.0,ns,448
compile binary_trees,,201,,,32755705.0,ns,462
compile binary_trees,,201,,,33913379.0,ns,476
compile binary_trees,,201,,,34874922.0,ns,490
compile binary_trees,,201,,,37414435.0,ns,504
compile binary_trees,,201,,,36879844.0,ns,518
compile binary_trees,,201,,,37734257.0,ns,532
compile binary_trees,,201,,,40232414.0,ns,546
compile binary_trees,,201,,,40410844.0,ns,560
compile binary_trees,,201,,,40798700.0,ns,574
compile binary_trees,,201,,,46696655.0,ns,588
compile binary_trees,,201,,,89727863.0,ns,602
compile binary_trees,,201,,,49802006.0,ns,616
compile binary_trees,,201,,,44654676.0,ns,630
compile binary_trees,,201,,,45589755.0,ns,644
compile binary_trees,,201,,,46660133.0,ns,658
compile binary_trees,,201,,,47781384.0,ns,672
compile binary_trees,,201,,,48670598.0,ns,686
compile binary_trees,,201,,,49861925.0,ns,700
compile binary_trees,,201,,,50756293.0,ns,714
compile binary_trees,,201,,,52262106.0,ns,728
compile binary_trees,,201,,,52586616.0,ns,742
compile binary_trees,,201,,,54345309.0,ns,756
compile binary_trees,,201,,,54611216.0,ns,770
compile binary_trees,,201,,,55640601.0,ns,784
compile binary_trees,,201,,,57916786.0,ns,798
compile binary_trees,,201,,,57369241.0,ns,812
compile binary_trees,,201,,,58940719.0,ns,826
compile binary_trees,,201,,,59909529.0,ns,840
compile binary_trees,,201,,,61893613.0,ns,854
compile binary_trees,,201,,,61919558.0,ns,868
compile binary_trees,,201,,,62501092.0,ns,882
compile binary_trees,,201,,,67732960.0,ns,896
compile binary_trees,,201,,,64627169.0,ns,910
compile binary_trees,,201,,,65562674.0,ns,924
compile binary_trees,,201,,,68397415.0,ns,938
compile binary_trees,,201,,,68003728.0,ns,952
compile binary_trees,,201,,,68682174.0,ns,966
compile binary_trees,,201,,,69644858.0,ns,980
compile binary_trees,,201,,,70603942.0,ns,994
compile binary_trees,,201,,,71451349.0,ns,1008
compile binary_trees,,201,,,75317648.0,ns,1022
compile binary_trees,,201,,,73754258.0,ns,1036
compile binary_trees,,201,,,74810916.0,ns,1050
compile binary_trees,,201,,,77504623.0,ns,1064
compile binary_trees,,201,,,77029593.0,ns,1078
compile binary_trees,,201,,,77222121.0,ns,1092
compile binary_trees,,201,,,78512170.0,ns,1106
compile binary_trees,,201,,,79548709.0,ns,1120
compile binary_trees,,201,,,81741068.0,ns,1134
compile binary_trees,,201,,,82697946.0,ns,1148
compile binary_trees,,201,,,82339365.0,ns,1162
compile binary_trees,,201,,,83456146.0,ns,1176
compile binary_trees,,201,,,87361535.0,ns,1190
compile binary_trees,,201,,,86772140.0,ns,1204
compile binary_trees,,201,,,86200809.0,ns,1218
compile binary_trees,,201,,,123460972.0,ns,1232
compile binary_trees,,201,,,88484890.0,ns,1246
compile binary_trees,,201,,,89407986.0,ns,1260
compile binary_trees,,201,,,95253351.0,ns,1274
compile binary_trees,,201,,,92529059.0,ns,1288
compile binary_trees,,201,,,92462478.0,ns,1302
compile binary_trees,,201,,,93792680.0,ns,1316
compile binary_trees,,201,,,94263116.0,ns,1330
compile binary_trees,,201,,,95178966.0,ns,1344
compile binary_trees,,201,,,98189093.0,ns,1358
compile binary_trees,,201,,,97301251.0,ns,1372
compile binary_trees,,201,,,99816454.0,ns,1386
compile binary_trees,,201,,,99777756.0,ns,1400
