group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile equality,,202,,,1255826.0,ns,25
compile equality,,202,,,3351600.0,ns,50
compile equality,,202,,,4434403.0,ns,75
compile equality,,202,,,4139828.0,ns,100
compile equality,,202,,,5853499.0,ns,125
compile equality,,202,,,6144980.0,ns,150
compile equality,,202,,,7058770.0,ns,175
compile equality,,202,,,8082742.0,ns,200
compile equality,,202,,,8914425.0,ns,225
compile equality,,202,,,9913313.0,ns,250
compile equality,,202,,,10871739.0,ns,275
compile equality,,202,,,11843105.0,ns,300
compile equality,,202,,,13526988.0,ns,325
compile equality,,202,,,15343178.0,ns,350
compile equality,,202,,,15024469.0,ns,375
compile equality,,202,,,16186373.0,ns,400
compile equality,,202,,,16679882.0,ns,425
compile equality,,202,,,17677176.0,ns,450
compile equality,,202,,,19042534.0,ns,475
compile equality,,202,,,24031748.0,ns,500
compile equality,,202,,,20764490.0,ns,525
compile equality,,202,,,21586203.0,ns,550
compile equality,,202,,,22599031.0,ns,575
compile equality,,202,,,25715172.0,ns,600
compile equality,,202,,,28561696.0,ns,625
compile equality,,202,,,26793955.0,ns,650
compile equality,,202,,,26691987.0,ns,675
compile equality,,202,,,30061613.0,ns,700
compile equality,,202,,,28642463.0,ns,725
compile equality,,202,,,29419474.0,ns,750
compile equality,,202,,,32611555.0,ns,775
compile equality,,202,,,31779040.0,ns,800
compile equality,,202,,,32592587.0,ns,825
compile equality,,202,,,35621677.0,ns,850
compile equality,,202,,,34573753.0,ns,875
compile equality,,202,,,35297101.0,ns,900
compile equality,,202,,,38941073.0,ns,925
compile equality,,202,,,37709200.0,ns,950
compile equality,,202,,,39332251.0,ns,975
compile equality,,202,,,41443281.0,ns,1000
compile equality,,202,,,40393100.0,ns,1025
compile equality,,202,,,43908886.0,ns,1050
compile equality,,202,,,42714736.0,ns,1075
compile equality,,202,,,45579675.0,ns,1100
compile equality,,202,,,44653928.0,ns,1125
compile equality,,202,,,46106776.0,ns,1150
compile equality,,202,,,48844316.0,ns,1175
compile equality,,202,,,47603559.0,ns,1200
compile equality,,202,,,50974717.0,ns,1225
compile equality,,202,,,49734084.0,ns,1250
compile equality,,202,,,55076693.0,ns,1275
compile equality,,202,,,56851334.0,ns,1300
compile equality,,202,,,52559569.0,ns,1325
compile equality,,202,,,57956692.0,ns,1350
compile equality,,202,,,54617073.0,ns,1375
compile equality,,202,,,60501950.0,ns,1400
compile equality,,202,,,56069411.0,ns,1425
compile equality,,202,,,63989500.0,ns,1450
compile equality,,202,,,62646098.0,ns,1475
compile equality,,202,,,60027597.0,ns,1500
compile equality,,202,,,65641350.0,ns,1525
compile equality,,202,,,65561222.0,ns,1550
compile equality,,202,,,63180663.0,ns,1575
compile equality,,202,,,68887402.0,ns,1600
compile equality,,202,,,66339345.0,ns,1625
compile equality,,202,,,70176355.0,ns,1650
compile equality,,202,,,71347966.0,ns,1675
compile equality,,202,,,72414858.0,ns,1700
compile equality,,202,,,68887988.0,ns,1725
compile equality,,202,,,72546921.0,ns,1750
compile equality,,202,,,72571017.0,ns,1775
compile equality,,202,,,71975719.0,ns,1800
compile equality,,202,,,76366100.0,ns,1825
compile equality,,202,,,78203176.0,ns,1850
compile equality,,202,,,78968804.0,ns,1875
compile equality,,202,,,79985463.0,ns,1900
compile equality,,202,,,76572705.0,ns,1925
compile equality,,202,,,82880228.0,ns,1950
compile equality,,202,,,84465289.0,ns,1975
compile equality,,202,,,83929333.0,ns,2000
compile equality,,202,,,85891166.0,ns,2025
compile equality,,202,,,86582930.0,ns,2050
compile equality,,202,,,82471882.0,ns,2075
compile equality,,202,,,87720031.0,ns,2100
compile equality,,202,,,89614857.0,ns,2125
compile equality,,202,,,87463950.0,ns,2150
compile equality,,202,,,88946596.0,ns,2175
compile equality,,202,,,90271755.0,ns,2200
compile equality,,202,,,89799955.0,ns,2225
compile equality,,202,,,92553382.0,ns,2250
compile equality,,202,,,91949319.0,ns,2275
compile equality,,202,,,91429381.0,ns,2300
compile equality,,202,,,95113993.0,ns,2325
compile equality,,202,,,95023811.0,ns,2350
compile equality,,202,,,95709829.0,ns,2375
compile equality,,202,,,96841434.0,ns,2400
compile equality,,202,,,99105174.0,ns,2425
compile equality,,202,,,99313326.0,ns,2450
compile equality,,202,,,100071362.0,ns,2475
compile equality,,202,,,101981520.0,ns,2500
