group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile equality,,202,,,1086131.0,ns,24
compile equality,,202,,,3323086.0,ns,48
compile equality,,202,,,4414624.0,ns,72
compile equality,,202,,,4166909.0,ns,96
compile equality,,202,,,5919376.0,ns,120
compile equality,,202,,,10167498.0,ns,144
compile equality,,202,,,9074486.0,ns,168
compile equality,,202,,,7961382.0,ns,192
compile equality,,202,,,8685539.0,ns,216
compile equality,,202,,,9662512.0,ns,240
compile equality,,202,,,10600166.0,ns,264
compile equality,,202,,,11520371.0,ns,288
compile equality,,202,,,12806388.0,ns,312
compile equality,,202,,,13629693.0,ns,336
compile equality,,202,,,16103536.0,ns,360
compile equality,,202,,,15977104.0,ns,384
compile equality,,202,,,16669136.0,ns,408
compile equality,,202,,,17438545.0,ns,432
compile equality,,202,,,18290146.0,ns,456
compile equality,,202,,,19849405.0,ns,480
compile equality,,202,,,22230866.0,ns,504
compile equality,,202,,,21849751.0,ns,528
compile equality,,202,,,22418119.0,ns,552
compile equality,,202,,,23405621.0,ns,576
compile equality,,202,,,25989673.0,ns,600
compile equality,,202,,,25419108.0,ns,624
compile equality,,202,,,26150120.0,ns,648
compile equality,,202,,,26949151.0,ns,672
compile equality,,202,,,29999278.0,ns,696
compile equality,,202,,,29124320.0,ns,720
compile equality,,202,,,30044963.0,ns,744
compile equality,,202,,,32865553.0,ns,768
compile equality,,202,,,32382275.0,ns,792
compile equality,,202,,,32785415.0,ns,816
compile equality,,202,,,37482903.0,ns,840
compile equality,,202,,,35076011.0,ns,864
compile equality,,202,,,35913712.0,ns,888
compile equality,,202,,,39505323.0,ns,912
compile equality,,202,,,37788313.0,ns,936
compile equality,,202,,,38749373.0,ns,960
compile equality,,202,,,41821396.0,ns,984
compile equality,,202,,,40763864.0,ns,1008
compile equality,,202,,,43390881.0,ns,1032
compile equality,,202,,,42657897.0,ns,1056
compile equality,,202,,,45007785.0,ns,1080
compile equality,,202,,,46330859.0,ns,1104
compile equality,,202,,,46469459.0,ns,1128
compile equality,,202,,,48118010.0,ns,1152
compile equality,,202,,,47513006.0,ns,1176
compile equality,,202,,,50268854.0,ns,1200
compile equality,,202,,,51096475.0,ns,1224
compile equality,,202,,,53215762.0,ns,1248
compile equality,,202,,,53994632.0,ns,1272
compile equality,,202,,,55041774.0,ns,1296
compile equality,,202,,,54248955.0,ns,1320
compile equality,,202,,,54518640.0,ns,1344
compile equality,,202,,,60516454.0,ns,1368
compile equality,,202,,,56248132.0,ns,1392
compile equality,,202,,,61475414.0,ns,1416
compile equality,,202,,,61682639.0,ns,1440
compile equality,,202,,,59566002.0,ns,1464
compile equality,,202,,,64660504.0,ns,1488
compile equality,,202,,,60881684.0,ns,1512
compile equality,,202,,,69751956.0,ns,1536
compile equality,,202,,,67632345.0,ns,1560
compile equality,,202,,,64127985.0,ns,1584
compile equality,,202,,,69358042.0,ns,1608
compile equality,,202,,,67698681.0,ns,1632
compile equality,,202,,,66541864.0,ns,1656
compile equality,,202,,,69886247.0,ns,1680
compile equality,,202,,,70527051.0,ns,1704
compile equality,,202,,,69932761.0,ns,1728
compile equality,,202,,,73175736.0,ns,1752
compile equality,,202,,,73273598.0,ns,1776
compile equality,,202,,,73897369.0,ns,1800
compile equality,,202,,,73644868.0,ns,1824
compile equality,,202,,,76406746.0,ns,1848
compile equality,,202,,,77305279.0,ns,1872
compile equality,,202,,,81601552.0,ns,1896
compile equality,,202,,,80569171.0,ns,1920
compile equality,,202,,,79298264.0,ns,1944
compile equality,,202,,,81408707.0,ns,1968
compile equality,,202,,,82497398.0,ns,1992
compile equality,,202,,,83990293.0,ns,2016
compile equality,,202,,,85297608.0,ns,2040
compile equality,,202,,,83608152.0,ns,2064
compile equality,,202,,,85843887.0,ns,2088
compile equality,,202,,,88867394.0,ns,2112
compile equality,,202,,,91361476.0,ns,2136
compile equality,,202,,,89942502.0,ns,2160
compile equality,,202,,,91996300.0,ns,2184
compile equality,,202,,,90231556.0,ns,2208
compile equality,,202,,,92259016.0,ns,2232
compile equality,,202,,,93828824.0,ns,2256
compile equality,,202,,,93980878.0,ns,2280
compile equality,,202,,,96396554.0,ns,2304
compile equality,,202,,,95750308.0,ns,2328
compile equality,,202,,,96462003.0,ns,2352
compile equality,,202,,,97955867.0,ns,2376
compile equality,,202,,,98989504.0,ns,2400
