group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile fib,,203,,,1056396.0,ns,81
compile fib,,203,,,2145381.0,ns,162
compile fib,,203,,,3969631.0,ns,243
compile fib,,203,,,4108001.0,ns,324
compile fib,,203,,,5391858.0,ns,405
compile fib,,203,,,6136413.0,ns,486
compile fib,,203,,,6761211.0,ns,567
compile fib,,203,,,8361053.0,ns,648
compile fib,,203,,,8559595.0,ns,729
compile fib,,203,,,9585904.0,ns,810
compile fib,,203,,,12295453.0,ns,891
compile fib,,203,,,11835808.0,ns,972
compile fib,,203,,,12455166.0,ns,1053
compile fib,,203,,,13231248.0,ns,1134
compile fib,,203,,,14143103.0,ns,1215
compile fib,,203,,,15132776.0,ns,1296
compile fib,,203,,,16112583.0,ns,1377
compile fib,,203,,,22061754.0,ns,1458
compile fib,,203,,,18301598.0,ns,1539
compile fib,,203,,,19054271.0,ns,1620
compile fib,,203,,,19816543.0,ns,1701
compile fib,,203,,,21054203.0,ns,1782
compile fib,,203,,,27035580.0,ns,1863
compile fib,,203,,,23027750.0,ns,1944
compile fib,,203,,,23562414.0,ns,2025
compile fib,,203,,,24692117.0,ns,2106
compile fib,,203,,,30750648.0,ns,2187
compile fib,,203,,,26736747.0,ns,2268
compile fib,,203,,,27329556.0,ns,2349
compile fib,,203,,,29809423.0,ns,2430
compile fib,,203,,,33185508.0,ns,2511
compile fib,,203,,,30395937.0,ns,2592
compile fib,,203,,,31333992.0,ns,2673
compile fib,,203,,,37567690.0,ns,2754
compile fib,,203,,,33265512.0,ns,2835
compile fib,,203,,,34687910.0,ns,2916
compile fib,,203,,,40071431.0,ns,2997
compile fib,,203,,,36663896.0,ns,3078
compile fib,,203,,,39198513.0,ns,3159
compile fib,,203,,,38326794.0,ns,3240
compile fib,,203,,,38768249.0,ns,3321
compile fib,,203,,,44341706.0,ns,3402
compile fib,,203,,,40665450.0,ns,3483
compile fib,,203,,,43843518.0,ns,3564
compile fib,,203,,,42577007.0,ns,3645
compile fib,,203,,,45481905.0,ns,3726
compile fib,,203,,,44817943.0,ns,3807
compile fib,,203,,,45599143.0,ns,3888
compile fib,,203,,,48583266.0,ns,3969
compile fib,,203,,,47120621.0,ns,4050
compile fib,,203,,,50770063.0,ns,4131
compile fib,,203,,,49417533.0,ns,4212
compile fib,,203,,,52659509.0,ns,4293
compile fib,,203,,,51146775.0,ns,4374
compile fib,,203,,,54624636.0,ns,4455
compile fib,,203,,,55107346.0,ns,4536
compile fib,,203,,,54464059.0,ns,4617
compile fib,,203,,,57511522.0,ns,4698
compile fib,,203,,,56046759.0,ns,4779
compile fib,,203,,,59251482.0,ns,4860
compile fib,,203,,,60875185.0,ns,4941
compile fib,,203,,,64075056.0,ns,5022
compile fib,,203,,,62155839.0,ns,5103
compile fib,,203,,,60748330.0,ns,5184
compile fib,,203,,,63740819.0,ns,5265
compile fib,,203,,,63369630.0,ns,5346
compile fib,,203,,,64906342.0,ns,5427
compile fib,,203,,,66892827.0,ns,5508
compile fib,,203,,,67068755.0,ns,5589
compile fib,,203,,,67765851.0,ns,5670
compile fib,,203,,,69689439.0,ns,5751
compile fib,,203,,,69424313.0,ns,5832
compile fib,,203,,,70653446.0,ns,5913
compile fib,,203,,,72789971.0,ns,5994
compile fib,,203,,,73333827.0,ns,6075
compile fib,,203,,,72461935.0,ns,6156
compile fib,,203,,,76330004.0,ns,6237
compile fib,,203,,,76734288.0,ns,6318
compile fib,,203,,,77236589.0,ns,6399
compile fib,,203,,,76288756.0,ns,6480
compile fib,,203,,,78381180.0,ns,6561
compile fib,,203,,,80304133.0,ns,6642
compile fib,,203,,,80842260.0,ns,6723
compile fib,,203,,,81919240.0,ns,6804
compile fib,,203,,,81863898.0,ns,6885
compile fib,,203,,,83841164.0,ns,6966
compile fib,,203,,,84982819.0,ns,7047
compile fib,,203,,,85840911.0,ns,7128
compile fib,,203,,,87080208.0,ns,7209
compile fib,,203,,,87392157.0,ns,7290
compile fib,,203,,,89172889.0,ns,7371
compile fib,,203,,,87669224.0,ns,7452
compile fib,,203,,,89697395.0,ns,7533
compile fib,,203,,,91562648.0,ns,7614
compile fib,,203,,,92013429.0,ns,7695
compile fib,,203,,,93438020.0,ns,7776
compile fib,,203,,,94333692.0,ns,7857
compile fib,,203,,,97319918.0,ns,7938
compile fib,,203,,,96511793.0,ns,8019
compile fib,,203,,,97137930.0,ns,8100
