group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile invocation,,204,,,1082483.0,ns,8
compile invocation,,204,,,2366440.0,ns,16
compile invocation,,204,,,4244899.0,ns,24
compile invocation,,204,,,4395143.0,ns,32
compile invocation,,204,,,5431509.0,ns,40
compile invocation,,204,,,6896420.0,ns,48
compile invocation,,204,,,12827998.0,ns,56
compile invocation,,204,,,8539316.0,ns,64
compile invocation,,204,,,9283104.0,ns,72
compile invocation,,204,,,10088235.0,ns,80
compile invocation,,204,,,11176674.0,ns,88
compile invocation,,204,,,12781599.0,ns,96
compile invocation,,204,,,13088142.0,ns,104
compile invocation,,204,,,14375591.0,ns,112
compile invocation,,204,,,20753602.0,ns,120
compile invocation,,204,,,16875880.0,ns,128
compile invocation,,204,,,17092111.0,ns,136
compile invocation,,204,,,22143103.0,ns,144
compile invocation,,204,,,19722144.0,ns,152
compile invocation,,204,,,26625125.0,ns,160
compile invocation,,204,,,22352200.0,ns,168
compile invocation,,204,,,22858302.0,ns,176
compile invocation,,204,,,23759400.0,ns,184
compile invocation,,204,,,26160903.0,ns,192
compile invocation,,204,,,26198908.0,ns,200
compile invocation,,204,,,26298094.0,ns,208
compile invocation,,204,,,27766132.0,ns,216
compile invocation,,204,,,31250295.0,ns,224
compile invocation,,204,,,29636608.0,ns,232
compile invocation,,204,,,30500390.0,ns,240
compile invocation,,204,,,33579250.0,ns,248
compile invocation,,204,,,33879214.0,ns,256
compile invocation,,204,,,34374985.0,ns,264
compile invocation,,204,,,36704641.0,ns,272
compile invocation,,204,,,36692991.0,ns,280
compile invocation,,204,,,36853937.0,ns,288
compile invocation,,204,,,40305177.0,ns,296
compile invocation,,204,,,38915198.0,ns,304
compile invocation,,204,,,44531479.0,ns,312
compile invocation,,204,,,40617440.0,ns,320
compile invocation,,204,,,42153460.0,ns,328
compile invocation,,204,,,45820533.0,ns,336
compile invocation,,204,,,44100265.0,ns,344
compile invocation,,204,,,48103798.0,ns,352
compile invocation,,204,,,45572559.0,ns,360
compile invocation,,204,,,49341939.0,ns,368
compile invocation,,204,,,49703148.0,ns,376
compile invocation,,204,,,51543913.0,ns,384
compile invocation,,204,,,49877922.0,ns,392
compile invocation,,204,,,53107530.0,ns,400
compile invocation,,204,,,52693034.0,ns,408
compile invocation,,204,,,55945346.0,ns,416
compile invocation,,204,,,53683145.0,ns,424
compile invocation,,204,,,56703458.0,ns,432
compile invocation,,204,,,56425440.0,ns,440
compile invocation,,204,,,58308261.0,ns,448
compile invocation,,204,,,60011903.0,ns,456
compile invocation,,204,,,59397132.0,ns,464
compile invocation,,204,,,63845898.0,ns,472
compile invocation,,204,,,63451818.0,ns,480
compile invocation,,204,,,62151319.0,ns,488
compile invocation,,204,,,66617241.0,ns,496
compile invocation,,204,,,65158340.0,ns,504
compile invocation,,204,,,67622861.0,ns,512
compile invocation,,204,,,68757500.0,ns,520
compile invocation,,204,,,69236550.0,ns,528
compile invocation,,204,,,69140221.0,ns,536
compile invocation,,204,,,71641911.0,ns,544
compile invocation,,204,,,71685183.0,ns,552
compile invocation,,204,,,71904984.0,ns,560
compile invocation,,204,,,73892021.0,ns,568
compile invocation,,204,,,76183796.0,ns,576
compile invocation,,204,,,78138450.0,ns,584
compile invocation,,204,,,76690634.0,ns,592
compile invocation,,204,,,83124892.0,ns,600
compile invocation,,204,,,83287245.0,ns,608
compile invocation,,204,,,85690497.0,ns,616
compile invocation,,204,,,88558433.0,ns,624
compile invocation,,204,,,86974562.0,ns,632
compile invocation,,204,,,83196309.0,ns,640
compile invocation,,204,,,89803836.0,ns,648
compile invocation,,204,,,89777446.0,ns,656
compile invocation,,204,,,91693361.0,ns,664
compile invocation,,204,,,91727393.0,ns,672
compile invocation,,204,,,94198351.0,ns,680
compile invocation,,204,,,93676644.0,ns,688
compile invocation,,204,,,91501485.0,ns,696
compile invocation,,204,,,92519661.0,ns,704
compile invocation,,204,,,96331863.0,ns,712
compile invocation,,204,,,94450114.0,ns,720
compile invocation,,204,,,95524382.0,ns,728
compile invocation,,204,,,99900042.0,ns,736
compile invocation,,204,,,100923937.0,ns,744
compile invocation,,204,,,101655257.0,ns,752
compile invocation,,204,,,103520114.0,ns,760
compile invocation,,204,,,100117304.0,ns,768
compile invocation,,204,,,101806192.0,ns,776
compile invocation,,204,,,101873588.0,ns,784
compile invocation,,204,,,105174575.0,ns,792
compile invocation,,204,,,104542767.0,ns,800
