group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile invocation,,204,,,1067960.0,ns,8
compile invocation,,204,,,2462218.0,ns,16
compile invocation,,204,,,3847403.0,ns,24
compile invocation,,204,,,4326814.0,ns,32
compile invocation,,204,,,5163400.0,ns,40
compile invocation,,204,,,7331616.0,ns,48
compile invocation,,204,,,7417135.0,ns,56
compile invocation,,204,,,8450965.0,ns,64
compile invocation,,204,,,9269559.0,ns,72
compile invocation,,204,,,10485964.0,ns,80
compile invocation,,204,,,11351298.0,ns,88
compile invocation,,204,,,12259750.0,ns,96
compile invocation,,204,,,13266597.0,ns,104
compile invocation,,204,,,14325631.0,ns,112
compile invocation,,204,,,15354966.0,ns,120
compile invocation,,204,,,16366411.0,ns,128
compile invocation,,204,,,17329875.0,ns,136
compile invocation,,204,,,18617559.0,ns,144
compile invocation,,204,,,19727660.0,ns,152
compile invocation,,204,,,20907688.0,ns,160
compile invocation,,204,,,21472442.0,ns,168
compile invocation,,204,,,23002313.0,ns,176
compile invocation,,204,,,24127367.0,ns,184
compile invocation,,204,,,45360173.0,ns,192
compile invocation,,204,,,42195559.0,ns,200
compile invocation,,204,,,26704120.0,ns,208
compile invocation,,204,,,27494355.0,ns,216
compile invocation,,204,,,28567160.0,ns,224
compile invocation,,204,,,29654150.0,ns,232
compile invocation,,204,,,30592738.0,ns,240
compile invocation,,204,,,31578708.0,ns,248
compile invocation,,204,,,32766861.0,ns,256
compile invocation,,204,,,35168953.0,ns,264
compile invocation,,204,,,34676076.0,ns,272
compile invocation,,204,,,35754280.0,ns,280
compile invocation,,204,,,36715999.0,ns,288
compile invocation,,204,,,37933419.0,ns,296
compile invocation,,204,,,39041050.0,ns,304
compile invocation,,204,,,39854359.0,ns,312
compile invocation,,204,,,40841638.0,ns,320
compile invocation,,204,,,43009248.0,ns,328
compile invocation,,204,,,43540560.0,ns,336
compile invocation,,204,,,44329819.0,ns,344
compile invocation,,204,,,46232000.0,ns,352
compile invocation,,204,,,46516540.0,ns,360
compile invocation,,204,,,46938674.0,ns,368
compile invocation,,204,,,48219846.0,ns,376
compile invocation,,204,,,49044893.0,ns,384
compile invocation,,204,,,50129601.0,ns,392
compile invocation,,204,,,51130214.0,ns,400
compile invocation,,204,,,52577162.0,ns,408
compile invocation,,204,,,53036891.0,ns,416
compile invocation,,204,,,54390990.0,ns,424
compile invocation,,204,,,56021631.0,ns,432
compile invocation,,204,,,57801127.0,ns,440
compile invocation,,204,,,57423410.0,ns,448
compile invocation,,204,,,58452199.0,ns,456
compile invocation,,204,,,59676412.0,ns,464
compile invocation,,204,,,60405507.0,ns,472
compile invocation,,204,,,61557164.0,ns,480
compile invocation,,204,,,62669554.0,ns,488
compile invocation,,204,,,63602112.0,ns,496
compile invocation,,204,,,65470695.0,ns,504
compile invocation,,204,,,65842150.0,ns,512
compile invocation,,204,,,66957086.0,ns,520
compile invocation,,204,,,68476357.0,ns,528
compile invocation,,204,,,68746813.0,ns,536
compile invocation,,204,,,69814049.0,ns,544
compile invocation,,204,,,70373293.0,ns,552
compile invocation,,204,,,75975221.0,ns,560
compile invocation,,204,,,72670045.0,ns,568
compile invocation,,204,,,74465580.0,ns,576
compile invocation,,204,,,74759828.0,ns,584
compile invocation,,204,,,75680412.0,ns,592
compile invocation,,204,,,76912419.0,ns,600
compile invocation,,204,,,77999312.0,ns,608
compile invocation,,204,,,79178112.0,ns,616
compile invocation,,204,,,80019468.0,ns,624
compile invocation,,204,,,81231268.0,ns,632
compile invocation,,204,,,88168129.0,ns,640
compile invocation,,204,,,83261160.0,ns,648
compile invocation,,204,,,83719275.0,ns,656
compile invocation,,204,,,85237254.0,ns,664
compile invocation,,204,,,85975124.0,ns,672
compile invocation,,204,,,87116596.0,ns,680
compile invocation,,204,,,89866109.0,ns,688
compile invocation,,204,,,122174495.0,ns,696
compile invocation,,204,,,126060592.0,ns,704
compile invocation,,204,,,91423944.0,ns,712
compile invocation,,204,,,93076710.0,ns,720
compile invocation,,204,,,93527280.0,ns,728
compile invocation,,204,,,95641502.0,ns,736
compile invocation,,204,,,95428840.0,ns,744
compile invocation,,204,,,129646638.0,ns,752
compile invocation,,204,,,132817406.0,ns,760
compile invocation,,204,,,98742502.0,ns,768
compile invocation,,204,,,99142022.0,ns,776
compile invocation,,204,,,102315681.0,ns,784
compile invocation,,204,,,101391167.0,ns,792
compile invocation,,204,,,102663158.0,ns,800
