group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile method_call,,206,,,1035538.0,ns,8
compile method_call,,206,,,1939607.0,ns,16
compile method_call,,206,,,2804902.0,ns,24
compile method_call,,206,,,3349443.0,ns,32
compile method_call,,206,,,4530337.0,ns,40
compile method_call,,206,,,5724699.0,ns,48
compile method_call,,206,,,8024215.0,ns,56
compile method_call,,206,,,7800833.0,ns,64
compile method_call,,206,,,8493743.0,ns,72
compile method_call,,206,,,16252876.0,ns,80
compile method_call,,206,,,10008882.0,ns,88
compile method_call,,206,,,11314843.0,ns,96
compile method_call,,206,,,11819020.0,ns,104
compile method_call,,206,,,12601882.0,ns,112
compile method_call,,206,,,13341877.0,ns,120
compile method_call,,206,,,14312440.0,ns,128
compile method_call,,206,,,16251781.0,ns,136
compile method_call,,206,,,17795690.0,ns,144
compile method_call,,206,,,16554054.0,ns,152
compile method_call,,206,,,17761913.0,ns,160
compile method_call,,206,,,19179162.0,ns,168
compile method_call,,206,,,19438242.0,ns,176
compile method_call,,206,,,24314588.0,ns,184
compile method_call,,206,,,21548580.0,ns,192
compile method_call,,206,,,22146154.0,ns,200
compile method_call,,206,,,23537147.0,ns,208
compile method_call,,206,,,25010858.0,ns,216
compile method_call,,206,,,26846514.0,ns,224
compile method_call,,206,,,25358155.0,ns,232
compile method_call,,206,,,26394921.0,ns,240
compile method_call,,206,,,30246777.0,ns,248
compile method_call,,206,,,28938500.0,ns,256
compile method_call,,206,,,29182437.0,ns,264
compile method_call,,206,,,31025294.0,ns,272
compile method_call,,206,,,34173569.0,ns,280
compile method_call,,206,,,35700331.0,ns,288
compile method_call,,206,,,42358243.0,ns,296
compile method_call,,206,,,34515815.0,ns,304
compile method_call,,206,,,34404341.0,ns,312
compile method_call,,206,,,38344745.0,ns,320
compile method_call,,206,,,36546732.0,ns,328
compile method_call,,206,,,36818005.0,ns,336
compile method_call,,206,,,46421592.0,ns,344
compile method_call,,206,,,38840314.0,ns,352
compile method_call,,206,,,47584220.0,ns,360
compile method_call,,206,,,40907814.0,ns,368
compile method_call,,206,,,46482421.0,ns,376
compile method_call,,206,,,43225516.0,ns,384
compile method_call,,206,,,44882062.0,ns,392
compile method_call,,206,,,48616139.0,ns,400
compile method_call,,206,,,45165585.0,ns,408
compile method_call,,206,,,48925914.0,ns,416
compile method_call,,206,,,47550509.0,ns,424
compile method_call,,206,,,57065402.0,ns,432
compile method_call,,206,,,49347952.0,ns,440
compile method_call,,206,,,53412052.0,ns,448
compile method_call,,206,,,52656642.0,ns,456
compile method_call,,206,,,54301082.0,ns,464
compile method_call,,206,,,61135201.0,ns,472
compile method_call,,206,,,53244815.0,ns,480
compile method_call,,206,,,62535906.0,ns,488
compile method_call,,206,,,55447977.0,ns,496
compile method_call,,206,,,59166842.0,ns,504
compile method_call,,206,,,59526779.0,ns,512
compile method_call,,206,,,63011056.0,ns,520
compile method_call,,206,,,60300647.0,ns,528
compile method_call,,206,,,59802452.0,ns,536
compile method_call,,206,,,64377200.0,ns,544
compile method_call,,206,,,70953233.0,ns,552
compile method_call,,206,,,66960832.0,ns,560
compile method_call,,206,,,79840971.0,ns,568
compile method_call,,206,,,66495039.0,ns,576
compile method_call,,206,,,64837753.0,ns,584
compile method_call,,206,,,74050588.0,ns,592
compile method_call,,206,,,74788187.0,ns,600
compile method_call,,206,,,69647031.0,ns,608
compile method_call,,206,,,68601450.0,ns,616
compile method_call,,206,,,78111481.0,ns,624
compile method_call,,206,,,73503293.0,ns,632
compile method_call,,206,,,73631731.0,ns,640
compile method_call,,206,,,73292499.0,ns,648
compile method_call,,206,,,81788616.0,ns,656
compile method_call,,206,,,79154558.0,ns,664
compile method_call,,206,,,77022381.0,ns,672
compile method_call,,206,,,77723591.0,ns,680
compile method_call,,206,,,79052082.0,ns,688
compile method_call,,206,,,91003569.0,ns,696
compile method_call,,206,,,80095855.0,ns,704
compile method_call,,206,,,86483522.0,ns,712
compile method_call,,206,,,81554778.0,ns,720
compile method_call,,206,,,80598035.0,ns,728
compile method_call,,206,,,84782335.0,ns,736
compile method_call,,206,,,87004153.0,ns,744
compile method_call,,206,,,89385979.0,ns,752
compile method_call,,206,,,89453323.0,ns,760
compile method_call,,206,,,95525665.0,ns,768
compile method_call,,206,,,95003693.0,ns,776
compile method_call,,206,,,88601811.0,ns,784
compile method_call,,206,,,96767038.0,ns,792
compile method_call,,206,,,94188975.0,ns,800
