group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compile zoo,,209,,,1022843.0,ns,15
compile zoo,,209,,,2942378.0,ns,30
compile zoo,,209,,,4222020.0,ns,45
compile zoo,,209,,,3503490.0,ns,60
compile zoo,,209,,,4438705.0,ns,75
compile zoo,,209,,,5182917.0,ns,90
compile zoo,,209,,,6377451.0,ns,105
compile zoo,,209,,,7121748.0,ns,120
compile zoo,,209,,,7952946.0,ns,135
compile zoo,,209,,,10287747.0,ns,150
compile zoo,,209,,,12423062.0,ns,165
compile zoo,,209,,,14664505.0,ns,180
compile zoo,,209,,,11708557.0,ns,195
compile zoo,,209,,,12364515.0,ns,210
compile zoo,,209,,,13176946.0,ns,225
compile zoo,,209,,,14138291.0,ns,240
compile zoo,,209,,,14935043.0,ns,255
compile zoo,,209,,,16839259.0,ns,270
compile zoo,,209,,,22101776.0,ns,285
compile zoo,,209,,,17458933.0,ns,300
compile zoo,,209,,,18716182.0,ns,315
compile zoo,,209,,,19388639.0,ns,330
compile zoo,,209,,,20241405.0,ns,345
compile zoo,,209,,,22280423.0,ns,360
compile zoo,,209,,,22059406.0,ns,375
compile zoo,,209,,,22869439.0,ns,390
compile zoo,,209,,,23899654.0,ns,405
compile zoo,,209,,,27026517.0,ns,420
compile zoo,,209,,,25767206.0,ns,435
compile zoo,,209,,,26475534.0,ns,450
compile zoo,,209,,,27410106.0,ns,465
compile zoo,,209,,,35176732.0,ns,480
compile zoo,,209,,,32761096.0,ns,495
compile zoo,,209,,,29855566.0,ns,510
compile zoo,,209,,,37478921.0,ns,525
compile zoo,,209,,,31380049.0,ns,540
compile zoo,,209,,,32277931.0,ns,555
compile zoo,,209,,,40039988.0,ns,570
compile zoo,,209,,,34079810.0,ns,585
compile zoo,,209,,,36148512.0,ns,600
compile zoo,,209,,,36844515.0,ns,615
compile zoo,,209,,,36778512.0,ns,630
compile zoo,,209,,,39821097.0,ns,645
compile zoo,,209,,,38843759.0,ns,660
compile zoo,,209,,,40068593.0,ns,675
compile zoo,,209,,,42997150.0,ns,690
compile zoo,,209,,,41083050.0,ns,705
compile zoo,,209,,,44904608.0,ns,720
compile zoo,,209,,,43315352.0,ns,735
compile zoo,,209,,,50602150.0,ns,750
compile zoo,,209,,,44496862.0,ns,765
compile zoo,,209,,,48383538.0,ns,780
compile zoo,,209,,,46645165.0,ns,795
compile zoo,,209,,,49117196.0,ns,810
compile zoo,,209,,,48696833.0,ns,825
compile zoo,,209,,,50544175.0,ns,840
compile zoo,,209,,,64202667.0,ns,855
compile zoo,,209,,,53584793.0,ns,870
compile zoo,,209,,,52307407.0,ns,885
compile zoo,,209,,,53974493.0,ns,900
compile zoo,,209,,,53922941.0,ns,915
compile zoo,,209,,,55464659.0,ns,930
compile zoo,,209,,,54756936.0,ns,945
compile zoo,,209,,,59442963.0,ns,960
compile zoo,,209,,,63862296.0,ns,975
compile zoo,,209,,,58182050.0,ns,990
compile zoo,,209,,,60571317.0,ns,1005
compile zoo,,209,,,60442762.0,ns,1020
compile zoo,,209,,,62755860.0,ns,1035
compile zoo,,209,,,63418359.0,ns,1050
compile zoo,,209,,,62890584.0,ns,1065
compile zoo,,209,,,64592232.0,ns,1080
compile zoo,,209,,,70666064.0,ns,1095
compile zoo,,209,,,70751298.0,ns,1110
compile zoo,,209,,,71315889.0,ns,1125
compile zoo,,209,,,66811541.0,ns,1140
compile zoo,,209,,,67032555.0,ns,1155
compile zoo,,209,,,74049379.0,ns,1170
compile zoo,,209,,,70158371.0,ns,1185
compile zoo,,209,,,69348534.0,ns,1200
compile zoo,,209,,,72315387.0,ns,1215
compile zoo,,209,,,74975528.0,ns,1230
compile zoo,,209,,,73948072.0,ns,1245
compile zoo,,209,,,73967629.0,ns,1260
compile zoo,,209,,,80679394.0,ns,1275
compile zoo,,209,,,80952025.0,ns,1290
compile zoo,,209,,,80055025.0,ns,1305
compile zoo,,209,,,84287771.0,ns,1320
compile zoo,,209,,,78646870.0,ns,1335
compile zoo,,209,,,80532904.0,ns,1350
compile zoo,,209,,,81774739.0,ns,1365
compile zoo,,209,,,82474862.0,ns,1380
compile zoo,,209,,,88122843.0,ns,1395
compile zoo,,209,,,82706295.0,ns,1410
compile zoo,,209,,,84118555.0,ns,1425
compile zoo,,209,,,86171755.0,ns,1440
compile zoo,,209,,,91341072.0,ns,1455
compile zoo,,209,,,88170290.0,ns,1470
compile zoo,,209,,,94038135.0,ns,1485
compile zoo,,209,,,89928251.0,ns,1500
