group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
equality,,,,,10490461.0,ns,1
equality,,,,,18940584.0,ns,2
equality,,,,,27241867.0,ns,3
equality,,,,,37047274.0,ns,4
equality,,,,,44027340.0,ns,5
equality,,,,,53903827.0,ns,6
equality,,,,,62248598.0,ns,7
equality,,,,,73206544.0,ns,8
equality,,,,,80021325.0,ns,9
equality,,,,,90007803.0,ns,10
equality,,,,,97955880.0,ns,11
equality,,,,,108282018.0,ns,12
equality,,,,,116519719.0,ns,13
equality,,,,,123828797.0,ns,14
equality,,,,,134529778.0,ns,15
equality,,,,,141263873.0,ns,16
equality,,,,,151623894.0,ns,17
equality,,,,,165865637.0,ns,18
equality,,,,,177635381.0,ns,19
equality,,,,,179669673.0,ns,20
equality,,,,,189811167.0,ns,21
equality,,,,,197644809.0,ns,22
equality,,,,,206054335.0,ns,23
equality,,,,,215104738.0,ns,24
equality,,,,,222763423.0,ns,25
equality,,,,,231792975.0,ns,26
equality,,,,,244920804.0,ns,27
equality,,,,,251097477.0,ns,28
equality,,,,,260425767.0,ns,29
equality,,,,,266668703.0,ns,30
equality,,,,,279271629.0,ns,31
equality,,,,,317917339.0,ns,32
equality,,,,,295300556.0,ns,33
equality,,,,,304330853.0,ns,34
equality,,,,,314643548.0,ns,35
equality,,,,,320452318.0,ns,36
equality,,,,,332139822.0,ns,37
equality,,,,,340716277.0,ns,38
equality,,,,,348150405.0,ns,39
equality,,,,,371830846.0,ns,40
equality,,,,,374916451.0,ns,41
equality,,,,,376406643.0,ns,42
equality,,,,,390431652.0,ns,43
equality,,,,,393336723.0,ns,44
equality,,,,,402757599.0,ns,45
equality,,,,,414184861.0,ns,46
equality,,,,,417076993.0,ns,47
equality,,,,,430344855.0,ns,48
equality,,,,,446662109.0,ns,49
equality,,,,,453348667.0,ns,50
equality,,,,,461409142.0,ns,51
equality,,,,,467380383.0,ns,52
equality,,,,,473039126.0,ns,53
equality,,,,,484531568.0,ns,54
equality,,,,,519877583.0,ns,55
equality,,,,,500473224.0,ns,56
equality,,,,,510830689.0,ns,57
equality,,,,,524130335.0,ns,58
equality,,,,,535637303.0,ns,59
equality,,,,,537708401.0,ns,60
equality,,,,,550406354.0,ns,61
equality,,,,,559898701.0,ns,62
equality,,,,,563858370.0,ns,63
equality,,,,,575822919.0,ns,64
equality,,,,,580452679.0,ns,65
equality,,,,,597385419.0,ns,66
equality,,,,,603586500.0,ns,67
equality,,,,,605430902.0,ns,68
equality,,,,,618741137.0,ns,69
equality,,,,,627470333.0,ns,70
equality,,,,,639770838.0,ns,71
equality,,,,,651147796.0,ns,72
equality,,,,,653329223.0,ns,73
equality,,,,,664555474.0,ns,74
equality,,,,,684847761.0,ns,75
equality,,,,,682650797.0,ns,76
equality,,,,,688289125.0,ns,77
equality,,,,,700942950.0,ns,78
equality,,,,,709742624.0,ns,79
equality,,,,,718885522.0,ns,80
equality,,,,,726036931.0,ns,81
equality,,,,,736525985.0,ns,82
equality,,,,,743167891.0,ns,83
equality,,,,,760569586.0,ns,84
equality,,,,,759877081.0,ns,85
equality,,,,,770366123.0,ns,86
equality,,,,,777910285.0,ns,87
equality,,,,,791867305.0,ns,88
equality,,,,,802864514.0,ns,89
equality,,,,,806149772.0,ns,90
equality,,,,,839553494.0,ns,91
equality,,,,,827633694.0,ns,92
equality,,,,,833917863.0,ns,93
equality,,,,,848433525.0,ns,94
equality,,,,,863351884.0,ns,95
equality,,,,,864006074.0,ns,96
equality,,,,,873147339.0,ns,97
equality,,,,,886882228.0,ns,98
equality,,,,,886352815.0,ns,99
equality,,,,,895280910.0,ns,100
