group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
equality,,,,,4647180.0,ns,1
equality,,,,,7954509.0,ns,2
equality,,,,,11651800.0,ns,3
equality,,,,,13693872.0,ns,4
equality,,,,,16840916.0,ns,5
equality,,,,,20225461.0,ns,6
equality,,,,,23412091.0,ns,7
equality,,,,,30978364.0,ns,8
equality,,,,,30227161.0,ns,9
equality,,,,,33101511.0,ns,10
equality,,,,,41249125.0,ns,11
equality,,,,,40466308.0,ns,12
equality,,,,,47472546.0,ns,13
equality,,,,,47792179.0,ns,14
equality,,,,,54820691.0,ns,15
equality,,,,,53667839.0,ns,16
equality,,,,,61181438.0,ns,17
equality,,,,,59814698.0,ns,18
equality,,,,,65133746.0,ns,19
equality,,,,,67874069.0,ns,20
equality,,,,,70169190.0,ns,21
equality,,,,,75001464.0,ns,22
equality,,,,,79481673.0,ns,23
equality,,,,,84434035.0,ns,24
equality,,,,,87071239.0,ns,25
equality,,,,,87035564.0,ns,26
equality,,,,,93767856.0,ns,27
equality,,,,,95704734.0,ns,28
equality,,,,,100912371.0,ns,29
equality,,,,,103996512.0,ns,30
equality,,,,,106163510.0,ns,31
equality,,,,,110553464.0,ns,32
equality,,,,,115384876.0,ns,33
equality,,,,,117597580.0,ns,34
equality,,,,,121839523.0,ns,35
equality,,,,,123810147.0,ns,36
equality,,,,,131422226.0,ns,37
equality,,,,,133070727.0,ns,38
equality,,,,,131826403.0,ns,39
equality,,,,,135360623.0,ns,40
equality,,,,,138800664.0,ns,41
equality,,,,,141873265.0,ns,42
equality,,,,,146531654.0,ns,43
equality,,,,,149259917.0,ns,44
equality,,,,,152931135.0,ns,45
equality,,,,,154763731.0,ns,46
equality,,,,,163151873.0,ns,47
equality,,,,,163125431.0,ns,48
equality,,,,,165434971.0,ns,49
equality,,,,,171888216.0,ns,50
equality,,,,,178127634.0,ns,51
equality,,,,,177484061.0,ns,52
equality,,,,,184349906.0,ns,53
equality,,,,,188256252.0,ns,54
equality,,,,,192714606.0,ns,55
equality,,,,,194776812.0,ns,56
equality,,,,,200147982.0,ns,57
equality,,,,,202584597.0,ns,58
equality,,,,,205658362.0,ns,59
equality,,,,,212944068.0,ns,60
equality,,,,,211744016.0,ns,61
equality,,,,,216092591.0,ns,62
equality,,,,,223149158.0,ns,63
equality,,,,,226748778.0,ns,64
equality,,,,,224981464.0,ns,65
equality,,,,,229702360.0,ns,66
equality,,,,,236356653.0,ns,67
equality,,,,,234764725.0,ns,68
equality,,,,,239159418.0,ns,69
equality,,,,,249204129.0,ns,70
equality,,,,,246864301.0,ns,71
equality,,,,,252162735.0,ns,72
equality,,,,,253708954.0,ns,73
equality,,,,,260980086.0,ns,74
equality,,,,,257946745.0,ns,75
equality,,,,,267696476.0,ns,76
equality,,,,,272812674.0,ns,77
equality,,,,,277188539.0,ns,78
equality,,,,,275211420.0,ns,79
equality,,,,,283231066.0,ns,80
equality,,,,,285569111.0,ns,81
equality,,,,,284916534.0,ns,82
equality,,,,,284754725.0,ns,83
equality,,,,,288665646.0,ns,84
equality,,,,,293641755.0,ns,85
equality,,,,,296347708.0,ns,86
equality,,,,,304109151.0,ns,87
equality,,,,,305783291.0,ns,88
equality,,,,,305574422.0,ns,89
equality,,,,,311758954.0,ns,90
equality,,,,,312041430.0,ns,91
equality,,,,,320326608.0,ns,92
equality,,,,,325911215.0,ns,93
equality,,,,,326517931.0,ns,94
equality,,,,,326492988.0,ns,95
equality,,,,,333387970.0,ns,96
equality,,,,,334722937.0,ns,97
equality,,,,,336913140.0,ns,98
equality,,,,,344109528.0,ns,99
equality,,,,,342387408.0,ns,100
