group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib,,,,,4923227.0,ns,1
fib,,,,,10832478.0,ns,2
fib,,,,,19596321.0,ns,3
fib,,,,,19720766.0,ns,4
fib,,,,,24833312.0,ns,5
fib,,,,,29466253.0,ns,6
fib,,,,,38714283.0,ns,7
fib,,,,,41066139.0,ns,8
fib,,,,,48391925.0,ns,9
fib,,,,,49277782.0,ns,10
fib,,,,,59591555.0,ns,11
fib,,,,,59732858.0,ns,12
fib,,,,,69460979.0,ns,13
fib,,,,,75301004.0,ns,14
fib,,,,,75161930.0,ns,15
fib,,,,,82789343.0,ns,16
fib,,,,,87120747.0,ns,17
fib,,,,,93117306.0,ns,18
fib,,,,,97748655.0,ns,19
fib,,,,,100485777.0,ns,20
fib,,,,,110245958.0,ns,21
fib,,,,,111635149.0,ns,22
fib,,,,,118729095.0,ns,23
fib,,,,,127945408.0,ns,24
fib,,,,,129376887.0,ns,25
fib,,,,,136179237.0,ns,26
fib,,,,,145149264.0,ns,27
fib,,,,,142247897.0,ns,28
fib,,,,,153698308.0,ns,29
fib,,,,,154650400.0,ns,30
fib,,,,,162732933.0,ns,31
fib,,,,,164751950.0,ns,32
fib,,,,,172846020.0,ns,33
fib,,,,,175937441.0,ns,34
fib,,,,,179868374.0,ns,35
fib,,,,,179996526.0,ns,36
fib,,,,,184591893.0,ns,37
fib,,,,,189617066.0,ns,38
fib,,,,,199607546.0,ns,39
fib,,,,,202480436.0,ns,40
fib,,,,,203949058.0,ns,41
fib,,,,,211560897.0,ns,42
fib,,,,,217860448.0,ns,43
fib,,,,,223182092.0,ns,44
fib,,,,,227264275.0,ns,45
fib,,,,,230453305.0,ns,46
fib,,,,,236065837.0,ns,47
fib,,,,,240469684.0,ns,48
fib,,,,,251529432.0,ns,49
fib,,,,,261021304.0,ns,50
fib,,,,,258288796.0,ns,51
fib,,,,,260596783.0,ns,52
fib,,,,,272483552.0,ns,53
fib,,,,,275360980.0,ns,54
fib,,,,,274495437.0,ns,55
fib,,,,,280983708.0,ns,56
fib,,,,,286310706.0,ns,57
fib,,,,,288167256.0,ns,58
fib,,,,,295903576.0,ns,59
fib,,,,,300821669.0,ns,60
fib,,,,,330761708.0,ns,61
fib,,,,,319216330.0,ns,62
fib,,,,,337008247.0,ns,63
fib,,,,,341366644.0,ns,64
fib,,,,,335334886.0,ns,65
fib,,,,,342901960.0,ns,66
fib,,,,,341592416.0,ns,67
fib,,,,,340326068.0,ns,68
fib,,,,,346038347.0,ns,69
fib,,,,,351989150.0,ns,70
fib,,,,,353099750.0,ns,71
fib,,,,,362736685.0,ns,72
fib,,,,,363443212.0,ns,73
fib,,,,,373900457.0,ns,74
fib,,,,,381893207.0,ns,75
fib,,,,,381243139.0,ns,76
fib,,,,,385474474.0,ns,77
fib,,,,,390779950.0,ns,78
fib,,,,,397737754.0,ns,79
fib,,,,,406447323.0,ns,80
fib,,,,,406724032.0,ns,81
fib,,,,,414878451.0,ns,82
fib,,,,,419153271.0,ns,83
fib,,,,,423850807.0,ns,84
fib,,,,,430256702.0,ns,85
fib,,,,,437908415.0,ns,86
fib,,,,,441839289.0,ns,87
fib,,,,,446473883.0,ns,88
fib,,,,,454028392.0,ns,89
fib,,,,,455589003.0,ns,90
fib,,,,,460091219.0,ns,91
fib,,,,,469714221.0,ns,92
fib,,,,,482818220.0,ns,93
fib,,,,,476724745.0,ns,94
fib,,,,,483108978.0,ns,95
fib,,,,,487784474.0,ns,96
fib,,,,,488634325.0,ns,97
fib,,,,,493437426.0,ns,98
fib,,,,,494174926.0,ns,99
fib,,,,,511005875.0,ns,100
