group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib,,,,,2295212.0,ns,1
fib,,,,,6313676.0,ns,2
fib,,,,,8440292.0,ns,3
fib,,,,,9146557.0,ns,4
fib,,,,,10911744.0,ns,5
fib,,,,,13001972.0,ns,6
fib,,,,,14993621.0,ns,7
fib,,,,,17037920.0,ns,8
fib,,,,,19240171.0,ns,9
fib,,,,,22850971.0,ns,10
fib,,,,,23595149.0,ns,11
fib,,,,,27446271.0,ns,12
fib,,,,,27876029.0,ns,13
fib,,,,,31219145.0,ns,14
fib,,,,,32141848.0,ns,15
fib,,,,,33861460.0,ns,16
fib,,,,,39938433.0,ns,17
fib,,,,,38674748.0,ns,18
fib,,,,,43912294.0,ns,19
fib,,,,,42867767.0,ns,20
fib,,,,,45949524.0,ns,21
fib,,,,,48963664.0,ns,22
fib,,,,,50263798.0,ns,23
fib,,,,,55102749.0,ns,24
fib,,,,,56340287.0,ns,25
fib,,,,,55743324.0,ns,26
fib,,,,,60990583.0,ns,27
fib,,,,,59594363.0,ns,28
fib,,,,,65579200.0,ns,29
fib,,,,,67233329.0,ns,30
fib,,,,,66357623.0,ns,31
fib,,,,,71750456.0,ns,32
fib,,,,,74238327.0,ns,33
fib,,,,,73019011.0,ns,34
fib,,,,,77852463.0,ns,35
fib,,,,,80074403.0,ns,36
fib,,,,,82213030.0,ns,37
fib,,,,,85252812.0,ns,38
fib,,,,,85778160.0,ns,39
fib,,,,,86193515.0,ns,40
fib,,,,,90539426.0,ns,41
fib,,,,,93449606.0,ns,42
fib,,,,,98354347.0,ns,43
fib,,,,,98120948.0,ns,44
fib,,,,,97260324.0,ns,45
fib,,,,,100948165.0,ns,46
fib,,,,,102744296.0,ns,47
fib,,,,,104594879.0,ns,48
fib,,,,,106173420.0,ns,49
fib,,,,,107639684.0,ns,50
fib,,,,,109816122.0,ns,51
fib,,,,,113324159.0,ns,52
fib,,,,,117728701.0,ns,53
fib,,,,,118887323.0,ns,54
fib,,,,,121003963.0,ns,55
fib,,,,,122518513.0,ns,56
fib,,,,,129972864.0,ns,57
fib,,,,,127601636.0,ns,58
fib,,,,,128959233.0,ns,59
fib,,,,,134277830.0,ns,60
fib,,,,,135599540.0,ns,61
fib,,,,,136369058.0,ns,62
fib,,,,,141376056.0,ns,63
fib,,,,,140876415.0,ns,64
fib,,,,,142838741.0,ns,65
fib,,,,,148593963.0,ns,66
fib,,,,,146153656.0,ns,67
fib,,,,,155170586.0,ns,68
fib,,,,,149981399.0,ns,69
fib,,,,,157053204.0,ns,70
fib,,,,,156408223.0,ns,71
fib,,,,,159959980.0,ns,72
fib,,,,,162503908.0,ns,73
fib,,,,,162035256.0,ns,74
fib,,,,,166688623.0,ns,75
fib,,,,,171645536.0,ns,76
fib,,,,,167875843.0,ns,77
fib,,,,,173780060.0,ns,78
fib,,,,,174968081.0,ns,79
fib,,,,,177447617.0,ns,80
fib,,,,,176579113.0,ns,81
fib,,,,,181732488.0,ns,82
fib,,,,,184961962.0,ns,83
fib,,,,,185891064.0,ns,84
fib,,,,,188194744.0,ns,85
fib,,,,,189556994.0,ns,86
fib,,,,,189870091.0,ns,87
fib,,,,,194294820.0,ns,88
fib,,,,,196762528.0,ns,89
fib,,,,,199281443.0,ns,90
fib,,,,,200867991.0,ns,91
fib,,,,,203347411.0,ns,92
fib,,,,,206027285.0,ns,93
fib,,,,,207465912.0,ns,94
fib,,,,,211327143.0,ns,95
fib,,,,,213347841.0,ns,96
fib,,,,,216339222.0,ns,97
fib,,,,,215922429.0,ns,98
fib,,,,,218217797.0,ns,99
fib,,,,,220329634.0,ns,100
