group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
instantiation,,,,,2776711.0,ns,1
instantiation,,,,,5919966.0,ns,2
instantiation,,,,,7947381.0,ns,3
instantiation,,,,,10845642.0,ns,4
instantiation,,,,,12752190.0,ns,5
instantiation,,,,,15144121.0,ns,6
instantiation,,,,,19524359.0,ns,7
instantiation,,,,,20318277.0,ns,8
instantiation,,,,,22514867.0,ns,9
instantiation,,,,,24728917.0,ns,10
instantiation,,,,,28767906.0,ns,11
instantiation,,,,,30355338.0,ns,12
instantiation,,,,,32755670.0,ns,13
instantiation,,,,,36012818.0,ns,14
instantiation,,,,,38539096.0,ns,15
instantiation,,,,,39717456.0,ns,16
instantiation,,,,,43685728.0,ns,17
instantiation,,,,,45076765.0,ns,18
instantiation,,,,,48686094.0,ns,19
instantiation,,,,,50694248.0,ns,20
instantiation,,,,,53817622.0,ns,21
instantiation,,,,,55126797.0,ns,22
instantiation,,,,,59291056.0,ns,23
instantiation,,,,,60061733.0,ns,24
instantiation,,,,,64119419.0,ns,25
instantiation,,,,,66802948.0,ns,26
instantiation,,,,,67256030.0,ns,27
instantiation,,,,,71393434.0,ns,28
instantiation,,,,,73852498.0,ns,29
instantiation,,,,,75323334.0,ns,30
instantiation,,,,,78515333.0,ns,31
instantiation,,,,,81595323.0,ns,32
instantiation,,,,,83621862.0,ns,33
instantiation,,,,,86099094.0,ns,34
instantiation,,,,,89117126.0,ns,35
instantiation,,,,,91396032.0,ns,36
instantiation,,,,,95966358.0,ns,37
instantiation,,,,,96085017.0,ns,38
instantiation,,,,,98788336.0,ns,39
instantiation,,,,,101315904.0,ns,40
instantiation,,,,,104643287.0,ns,41
instantiation,,,,,106469800.0,ns,42
instantiation,,,,,108779081.0,ns,43
instantiation,,,,,112538772.0,ns,44
instantiation,,,,,113707084.0,ns,45
instantiation,,,,,116263440.0,ns,46
instantiation,,,,,118704076.0,ns,47
instantiation,,,,,121491960.0,ns,48
instantiation,,,,,126010298.0,ns,49
instantiation,,,,,126614963.0,ns,50
instantiation,,,,,127574049.0,ns,51
instantiation,,,,,131041492.0,ns,52
instantiation,,,,,134150461.0,ns,53
instantiation,,,,,136963780.0,ns,54
instantiation,,,,,141416543.0,ns,55
instantiation,,,,,141119861.0,ns,56
instantiation,,,,,146118043.0,ns,57
instantiation,,,,,149759288.0,ns,58
instantiation,,,,,152692228.0,ns,59
instantiation,,,,,154188109.0,ns,60
instantiation,,,,,158237888.0,ns,61
instantiation,,,,,158467221.0,ns,62
instantiation,,,,,163345811.0,ns,63
instantiation,,,,,163004308.0,ns,64
instantiation,,,,,168864643.0,ns,65
instantiation,,,,,171981668.0,ns,66
instantiation,,,,,173883693.0,ns,67
instantiation,,,,,173511754.0,ns,68
instantiation,,,,,179261868.0,ns,69
instantiation,,,,,182472106.0,ns,70
instantiation,,,,,182894785.0,ns,71
instantiation,,,,,187630419.0,ns,72
instantiation,,,,,185558513.0,ns,73
instantiation,,,,,190932793.0,ns,74
instantiation,,,,,194240282.0,ns,75
instantiation,,,,,195929052.0,ns,76
instantiation,,,,,199306333.0,ns,77
instantiation,,,,,202370623.0,ns,78
instantiation,,,,,204089240.0,ns,79
instantiation,,,,,205842138.0,ns,80
instantiation,,,,,207703556.0,ns,81
instantiation,,,,,206649429.0,ns,82
instantiation,,,,,211218541.0,ns,83
instantiation,,,,,213965362.0,ns,84
instantiation,,,,,214493836.0,ns,85
instantiation,,,,,217020437.0,ns,86
instantiation,,,,,220605132.0,ns,87
instantiation,,,,,221696518.0,ns,88
instantiation,,,,,225484219.0,ns,89
instantiation,,,,,228975734.0,ns,90
instantiation,,,,,227948376.0,ns,91
instantiation,,,,,236955428.0,ns,92
instantiation,,,,,237750478.0,ns,93
instantiation,,,,,240619549.0,ns,94
instantiation,,,,,247115732.0,ns,95
instantiation,,,,,250535640.0,ns,96
instantiation,,,,,251729613.0,ns,97
instantiation,,,,,247184177.0,ns,98
instantiation,,,,,249175929.0,ns,99
instantiation,,,,,256327848.0,ns,100
