group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
invocation,,,,,8185004.0,ns,1
invocation,,,,,13467970.0,ns,2
invocation,,,,,19158224.0,ns,3
invocation,,,,,27343384.0,ns,4
invocation,,,,,31787993.0,ns,5
invocation,,,,,37677734.0,ns,6
invocation,,,,,46018823.0,ns,7
invocation,,,,,50493221.0,ns,8
invocation,,,,,62032847.0,ns,9
invocation,,,,,67191252.0,ns,10
invocation,,,,,77557847.0,ns,11
invocation,,,,,82220745.0,ns,12
invocation,,,,,85054708.0,ns,13
invocation,,,,,90954070.0,ns,14
invocation,,,,,97042901.0,ns,15
invocation,,,,,102454762.0,ns,16
invocation,,,,,109254007.0,ns,17
invocation,,,,,116111416.0,ns,18
invocation,,,,,121139610.0,ns,19
invocation,,,,,129162047.0,ns,20
invocation,,,,,134505431.0,ns,21
invocation,,,,,141654306.0,ns,22
invocation,,,,,153505517.0,ns,23
invocation,,,,,154196388.0,ns,24
invocation,,,,,161139169.0,ns,25
invocation,,,,,167122179.0,ns,26
invocation,,,,,172243252.0,ns,27
invocation,,,,,183149408.0,ns,28
invocation,,,,,186668355.0,ns,29
invocation,,,,,192264077.0,ns,30
invocation,,,,,198442077.0,ns,31
invocation,,,,,205690395.0,ns,32
invocation,,,,,220770149.0,ns,33
invocation,,,,,223912679.0,ns,34
invocation,,,,,235349404.0,ns,35
invocation,,,,,236975369.0,ns,36
invocation,,,,,236704299.0,ns,37
invocation,,,,,246930192.0,ns,38
invocation,,,,,248843073.0,ns,39
invocation,,,,,267839045.0,ns,40
invocation,,,,,266054338.0,ns,41
invocation,,,,,267956241.0,ns,42
invocation,,,,,276436606.0,ns,43
invocation,,,,,283205512.0,ns,44
invocation,,,,,293637627.0,ns,45
invocation,,,,,295488023.0,ns,46
invocation,,,,,300605306.0,ns,47
invocation,,,,,309795856.0,ns,48
invocation,,,,,326886616.0,ns,49
invocation,,,,,330284241.0,ns,50
invocation,,,,,342023166.0,ns,51
invocation,,,,,343448084.0,ns,52
invocation,,,,,347418198.0,ns,53
invocation,,,,,359143635.0,ns,54
invocation,,,,,355012127.0,ns,55
invocation,,,,,357757925.0,ns,56
invocation,,,,,391857313.0,ns,57
invocation,,,,,392551088.0,ns,58
invocation,,,,,382531340.0,ns,59
invocation,,,,,390092810.0,ns,60
invocation,,,,,389168494.0,ns,61
invocation,,,,,401457093.0,ns,62
invocation,,,,,404014012.0,ns,63
invocation,,,,,412548120.0,ns,64
invocation,,,,,431953601.0,ns,65
invocation,,,,,422370491.0,ns,66
invocation,,,,,429484516.0,ns,67
invocation,,,,,437073830.0,ns,68
invocation,,,,,445991879.0,ns,69
invocation,,,,,463767115.0,ns,70
invocation,,,,,455528367.0,ns,71
invocation,,,,,462364830.0,ns,72
invocation,,,,,467392789.0,ns,73
invocation,,,,,478137843.0,ns,74
invocation,,,,,484836616.0,ns,75
invocation,,,,,494090834.0,ns,76
invocation,,,,,494123029.0,ns,77
invocation,,,,,513079955.0,ns,78
invocation,,,,,506154585.0,ns,79
invocation,,,,,514569402.0,ns,80
invocation,,,,,520352664.0,ns,81
invocation,,,,,527854203.0,ns,82
invocation,,,,,534821455.0,ns,83
invocation,,,,,551077203.0,ns,84
invocation,,,,,570878673.0,ns,85
invocation,,,,,562123110.0,ns,86
invocation,,,,,559167556.0,ns,87
invocation,,,,,564555458.0,ns,88
invocation,,,,,571886167.0,ns,89
invocation,,,,,577239091.0,ns,90
invocation,,,,,594438911.0,ns,91
invocation,,,,,605778166.0,ns,92
invocation,,,,,600177119.0,ns,93
invocation,,,,,604745410.0,ns,94
invocation,,,,,609407663.0,ns,95
invocation,,,,,615630384.0,ns,96
invocation,,,,,625589763.0,ns,97
invocation,,,,,627539384.0,ns,98
invocation,,,,,638479013.0,ns,99
invocation,,,,,644342085.0,ns,100
