group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
invocation,,,,,9580352.0,ns,1
invocation,,,,,16623716.0,ns,2
invocation,,,,,22605709.0,ns,3
invocation,,,,,30546630.0,ns,4
invocation,,,,,36421081.0,ns,5
invocation,,,,,43471815.0,ns,6
invocation,,,,,51748791.0,ns,7
invocation,,,,,58441845.0,ns,8
invocation,,,,,66181000.0,ns,9
invocation,,,,,72993501.0,ns,10
invocation,,,,,80487878.0,ns,11
invocation,,,,,87695869.0,ns,12
invocation,,,,,96019375.0,ns,13
invocation,,,,,104826140.0,ns,14
invocation,,,,,109289435.0,ns,15
invocation,,,,,117553177.0,ns,16
invocation,,,,,123616717.0,ns,17
invocation,,,,,131529041.0,ns,18
invocation,,,,,139188232.0,ns,19
invocation,,,,,146436272.0,ns,20
invocation,,,,,155355158.0,ns,21
invocation,,,,,161676414.0,ns,22
invocation,,,,,169721852.0,ns,23
invocation,,,,,174893879.0,ns,24
invocation,,,,,182275244.0,ns,25
invocation,,,,,191416962.0,ns,26
invocation,,,,,200386340.0,ns,27
invocation,,,,,205206885.0,ns,28
invocation,,,,,212048800.0,ns,29
invocation,,,,,220123616.0,ns,30
invocation,,,,,228323951.0,ns,31
invocation,,,,,239547763.0,ns,32
invocation,,,,,245108316.0,ns,33
invocation,,,,,249945442.0,ns,34
invocation,,,,,255385351.0,ns,35
invocation,,,,,264742232.0,ns,36
invocation,,,,,270874806.0,ns,37
invocation,,,,,278127106.0,ns,38
invocation,,,,,288794400.0,ns,39
invocation,,,,,292883608.0,ns,40
invocation,,,,,300220282.0,ns,41
invocation,,,,,306319208.0,ns,42
invocation,,,,,316306057.0,ns,43
invocation,,,,,322242065.0,ns,44
invocation,,,,,329147929.0,ns,45
invocation,,,,,342194683.0,ns,46
invocation,,,,,343818536.0,ns,47
invocation,,,,,352774420.0,ns,48
invocation,,,,,363708896.0,ns,49
invocation,,,,,367775802.0,ns,50
invocation,,,,,376683531.0,ns,51
invocation,,,,,382814496.0,ns,52
invocation,,,,,389473234.0,ns,53
invocation,,,,,399589563.0,ns,54
invocation,,,,,404671557.0,ns,55
invocation,,,,,415322955.0,ns,56
invocation,,,,,418995049.0,ns,57
invocation,,,,,425335716.0,ns,58
invocation,,,,,437415686.0,ns,59
invocation,,,,,442391606.0,ns,60
invocation,,,,,449231080.0,ns,61
invocation,,,,,458682634.0,ns,62
invocation,,,,,464815753.0,ns,63
invocation,,,,,470497791.0,ns,64
invocation,,,,,481039290.0,ns,65
invocation,,,,,486449674.0,ns,66
invocation,,,,,493936115.0,ns,67
invocation,,,,,501095452.0,ns,68
invocation,,,,,507572485.0,ns,69
invocation,,,,,514041487.0,ns,70
invocation,,,,,522823288.0,ns,71
invocation,,,,,534433726.0,ns,72
invocation,,,,,544168940.0,ns,73
invocation,,,,,549146469.0,ns,74
invocation,,,,,552887022.0,ns,75
invocation,,,,,559114865.0,ns,76
invocation,,,,,569302352.0,ns,77
invocation,,,,,576080215.0,ns,78
invocation,,,,,579998588.0,ns,79
invocation,,,,,591486880.0,ns,80
invocation,,,,,596915254.0,ns,81
invocation,,,,,602875349.0,ns,82
invocation,,,,,611128470.0,ns,83
invocation,,,,,623525800.0,ns,84
invocation,,,,,628479172.0,ns,85
invocation,,,,,635147742.0,ns,86
invocation,,,,,642776341.0,ns,87
invocation,,,,,648625706.0,ns,88
invocation,,,,,656099843.0,ns,89
invocation,,,,,661522550.0,ns,90
invocation,,,,,672869498.0,ns,91
invocation,,,,,679372467.0,ns,92
invocation,,,,,685588900.0,ns,93
invocation,,,,,697959965.0,ns,94
invocation,,,,,697146783.0,ns,95
invocation,,,,,711616534.0,ns,96
invocation,,,,,715850912.0,ns,97
invocation,,,,,723212595.0,ns,98
invocation,,,,,727659423.0,ns,99
invocation,,,,,734710588.0,ns,100
