group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
method_call,,,,,10349915.0,ns,1
method_call,,,,,15145215.0,ns,2
method_call,,,,,21524500.0,ns,3
method_call,,,,,27083753.0,ns,4
method_call,,,,,37540245.0,ns,5
method_call,,,,,41412179.0,ns,6
method_call,,,,,50626779.0,ns,7
method_call,,,,,55297879.0,ns,8
method_call,,,,,64896719.0,ns,9
method_call,,,,,68121008.0,ns,10
method_call,,,,,76708729.0,ns,11
method_call,,,,,83468575.0,ns,12
method_call,,,,,90667750.0,ns,13
method_call,,,,,96957761.0,ns,14
method_call,,,,,104728043.0,ns,15
method_call,,,,,110616718.0,ns,16
method_call,,,,,118083617.0,ns,17
method_call,,,,,123744705.0,ns,18
method_call,,,,,132668931.0,ns,19
method_call,,,,,137914051.0,ns,20
method_call,,,,,144897624.0,ns,21
method_call,,,,,153032623.0,ns,22
method_call,,,,,158757582.0,ns,23
method_call,,,,,167148852.0,ns,24
method_call,,,,,173591360.0,ns,25
method_call,,,,,181446252.0,ns,26
method_call,,,,,186523414.0,ns,27
method_call,,,,,192853647.0,ns,28
method_call,,,,,203074378.0,ns,29
method_call,,,,,211280079.0,ns,30
method_call,,,,,213521165.0,ns,31
method_call,,,,,220234396.0,ns,32
method_call,,,,,228997672.0,ns,33
method_call,,,,,237367672.0,ns,34
method_call,,,,,247630066.0,ns,35
method_call,,,,,248208085.0,ns,36
method_call,,,,,256057861.0,ns,37
method_call,,,,,270265310.0,ns,38
method_call,,,,,274386593.0,ns,39
method_call,,,,,279371516.0,ns,40
method_call,,,,,284871974.0,ns,41
method_call,,,,,317862490.0,ns,42
method_call,,,,,304212102.0,ns,43
method_call,,,,,314065772.0,ns,44
method_call,,,,,330181030.0,ns,45
method_call,,,,,324533071.0,ns,46
method_call,,,,,325332369.0,ns,47
method_call,,,,,338363009.0,ns,48
method_call,,,,,344769314.0,ns,49
method_call,,,,,345682740.0,ns,50
method_call,,,,,364586769.0,ns,51
method_call,,,,,358784123.0,ns,52
method_call,,,,,371537199.0,ns,53
method_call,,,,,383711613.0,ns,54
method_call,,,,,381134612.0,ns,55
method_call,,,,,401290618.0,ns,56
method_call,,,,,406821453.0,ns,57
method_call,,,,,401677436.0,ns,58
method_call,,,,,412097179.0,ns,59
method_call,,,,,415979360.0,ns,60
method_call,,,,,428820199.0,ns,61
method_call,,,,,430757661.0,ns,62
method_call,,,,,440058644.0,ns,63
method_call,,,,,445011228.0,ns,64
method_call,,,,,455462599.0,ns,65
method_call,,,,,464234639.0,ns,66
method_call,,,,,465755300.0,ns,67
method_call,,,,,495869841.0,ns,68
method_call,,,,,493492147.0,ns,69
method_call,,,,,487631507.0,ns,70
method_call,,,,,491462957.0,ns,71
method_call,,,,,501855664.0,ns,72
method_call,,,,,507577401.0,ns,73
method_call,,,,,531284411.0,ns,74
method_call,,,,,525930084.0,ns,75
method_call,,,,,528984160.0,ns,76
method_call,,,,,540475797.0,ns,77
method_call,,,,,542098545.0,ns,78
method_call,,,,,549474539.0,ns,79
method_call,,,,,557743185.0,ns,80
method_call,,,,,574000412.0,ns,81
method_call,,,,,589296138.0,ns,82
method_call,,,,,577268821.0,ns,83
method_call,,,,,586121717.0,ns,84
method_call,,,,,595704927.0,ns,85
method_call,,,,,598857241.0,ns,86
method_call,,,,,605880074.0,ns,87
method_call,,,,,657304876.0,ns,88
method_call,,,,,623528818.0,ns,89
method_call,,,,,644105245.0,ns,90
method_call,,,,,630943323.0,ns,91
method_call,,,,,639896110.0,ns,92
method_call,,,,,653033428.0,ns,93
method_call,,,,,723387228.0,ns,94
method_call,,,,,668739142.0,ns,95
method_call,,,,,676977460.0,ns,96
method_call,,,,,682687240.0,ns,97
method_call,,,,,684674755.0,ns,98
method_call,,,,,687832471.0,ns,99
method_call,,,,,699171278.0,ns,100
