group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
properties,,,,,11871659.0,ns,1
properties,,,,,19310035.0,ns,2
properties,,,,,27629712.0,ns,3
properties,,,,,36767560.0,ns,4
properties,,,,,46251370.0,ns,5
properties,,,,,55973545.0,ns,6
properties,,,,,65907509.0,ns,7
properties,,,,,74575168.0,ns,8
properties,,,,,82927589.0,ns,9
properties,,,,,91506952.0,ns,10
properties,,,,,101072774.0,ns,11
properties,,,,,111319363.0,ns,12
properties,,,,,119285330.0,ns,13
properties,,,,,130438755.0,ns,14
properties,,,,,138261588.0,ns,15
properties,,,,,148502717.0,ns,16
properties,,,,,158371866.0,ns,17
properties,,,,,165926646.0,ns,18
properties,,,,,174345477.0,ns,19
properties,,,,,183452359.0,ns,20
properties,,,,,194136130.0,ns,21
properties,,,,,204242212.0,ns,22
properties,,,,,221379471.0,ns,23
properties,,,,,221010921.0,ns,24
properties,,,,,230411784.0,ns,25
properties,,,,,240987705.0,ns,26
properties,,,,,249303328.0,ns,27
properties,,,,,257054957.0,ns,28
properties,,,,,267102414.0,ns,29
properties,,,,,279470727.0,ns,30
properties,,,,,286713982.0,ns,31
properties,,,,,292744595.0,ns,32
properties,,,,,303729310.0,ns,33
properties,,,,,320003618.0,ns,34
properties,,,,,322276298.0,ns,35
properties,,,,,333607902.0,ns,36
properties,,,,,345075907.0,ns,37
properties,,,,,352938367.0,ns,38
properties,,,,,364734162.0,ns,39
properties,,,,,386165108.0,ns,40
properties,,,,,392991383.0,ns,41
properties,,,,,392790450.0,ns,42
properties,,,,,405179117.0,ns,43
properties,,,,,410011142.0,ns,44
properties,,,,,416000949.0,ns,45
properties,,,,,425690557.0,ns,46
properties,,,,,433275987.0,ns,47
properties,,,,,440337771.0,ns,48
properties,,,,,453702365.0,ns,49
properties,,,,,461838749.0,ns,50
properties,,,,,470388447.0,ns,51
properties,,,,,474627269.0,ns,52
properties,,,,,487906575.0,ns,53
properties,,,,,495280400.0,ns,54
properties,,,,,506419664.0,ns,55
properties,,,,,520979564.0,ns,56
properties,,,,,525631348.0,ns,57
properties,,,,,532772946.0,ns,58
properties,,,,,544116089.0,ns,59
properties,,,,,549721897.0,ns,60
properties,,,,,565649136.0,ns,61
properties,,,,,569956297.0,ns,62
properties,,,,,579903497.0,ns,63
properties,,,,,589311371.0,ns,64
properties,,,,,597108859.0,ns,65
properties,,,,,616663508.0,ns,66
properties,,,,,613961897.0,ns,67
properties,,,,,625157349.0,ns,68
properties,,,,,635955495.0,ns,69
properties,,,,,640094004.0,ns,70
properties,,,,,660897182.0,ns,71
properties,,,,,664092689.0,ns,72
properties,,,,,668802694.0,ns,73
properties,,,,,679881645.0,ns,74
properties,,,,,697007901.0,ns,75
properties,,,,,705159323.0,ns,76
properties,,,,,709230047.0,ns,77
properties,,,,,722354709.0,ns,78
properties,,,,,748190725.0,ns,79
properties,,,,,742542368.0,ns,80
properties,,,,,746171463.0,ns,81
properties,,,,,755811546.0,ns,82
properties,,,,,764276929.0,ns,83
properties,,,,,845300642.0,ns,84
properties,,,,,784291506.0,ns,85
properties,,,,,792714978.0,ns,86
properties,,,,,811141804.0,ns,87
properties,,,,,811476503.0,ns,88
properties,,,,,822030935.0,ns,89
properties,,,,,828102659.0,ns,90
properties,,,,,845926194.0,ns,91
properties,,,,,851283350.0,ns,92
properties,,,,,865367911.0,ns,93
properties,,,,,867536365.0,ns,94
properties,,,,,883458952.0,ns,95
properties,,,,,883497900.0,ns,96
properties,,,,,896160120.0,ns,97
properties,,,,,909589602.0,ns,98
properties,,,,,912177763.0,ns,99
properties,,,,,923745436.0,ns,100
