group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
properties,,,,,7902331.0,ns,1
properties,,,,,17324191.0,ns,2
properties,,,,,25899159.0,ns,3
properties,,,,,31913097.0,ns,4
properties,,,,,39481524.0,ns,5
properties,,,,,49144648.0,ns,6
properties,,,,,55087995.0,ns,7
properties,,,,,63785688.0,ns,8
properties,,,,,72207381.0,ns,9
properties,,,,,81467579.0,ns,10
properties,,,,,86659399.0,ns,11
properties,,,,,99577936.0,ns,12
properties,,,,,105984139.0,ns,13
properties,,,,,118987371.0,ns,14
properties,,,,,121844355.0,ns,15
properties,,,,,130744427.0,ns,16
properties,,,,,143264415.0,ns,17
properties,,,,,145693434.0,ns,18
properties,,,,,158654287.0,ns,19
properties,,,,,160923771.0,ns,20
properties,,,,,174194858.0,ns,21
properties,,,,,181446771.0,ns,22
properties,,,,,191020238.0,ns,23
properties,,,,,195398997.0,ns,24
properties,,,,,206994388.0,ns,25
properties,,,,,212504564.0,ns,26
properties,,,,,221457274.0,ns,27
properties,,,,,228195424.0,ns,28
properties,,,,,239797486.0,ns,29
properties,,,,,247388513.0,ns,30
properties,,,,,254733295.0,ns,31
properties,,,,,260904256.0,ns,32
properties,,,,,274284924.0,ns,33
properties,,,,,280093043.0,ns,34
properties,,,,,286331731.0,ns,35
properties,,,,,288581862.0,ns,36
properties,,,,,295100127.0,ns,37
properties,,,,,304993503.0,ns,38
properties,,,,,325473132.0,ns,39
properties,,,,,355859082.0,ns,40
properties,,,,,457747420.0,ns,41
properties,,,,,454579955.0,ns,42
properties,,,,,554412560.0,ns,43
properties,,,,,356342754.0,ns,44
properties,,,,,385357747.0,ns,45
properties,,,,,368958937.0,ns,46
properties,,,,,375214391.0,ns,47
properties,,,,,382653321.0,ns,48
properties,,,,,398414532.0,ns,49
properties,,,,,397488702.0,ns,50
properties,,,,,404773103.0,ns,51
properties,,,,,412843084.0,ns,52
properties,,,,,420994115.0,ns,53
properties,,,,,448562539.0,ns,54
properties,,,,,450370253.0,ns,55
properties,,,,,465830339.0,ns,56
properties,,,,,509355724.0,ns,57
properties,,,,,492337215.0,ns,58
properties,,,,,468432664.0,ns,59
properties,,,,,476679302.0,ns,60
properties,,,,,485498107.0,ns,61
properties,,,,,496645439.0,ns,62
properties,,,,,504211246.0,ns,63
properties,,,,,529894574.0,ns,64
properties,,,,,552704913.0,ns,65
properties,,,,,541185592.0,ns,66
properties,,,,,591797263.0,ns,67
properties,,,,,613455676.0,ns,68
properties,,,,,572049649.0,ns,69
properties,,,,,580352942.0,ns,70
properties,,,,,586479090.0,ns,71
properties,,,,,620594080.0,ns,72
properties,,,,,653636425.0,ns,73
properties,,,,,614784497.0,ns,74
properties,,,,,644958440.0,ns,75
properties,,,,,693760627.0,ns,76
properties,,,,,681146724.0,ns,77
properties,,,,,676774036.0,ns,78
properties,,,,,753198822.0,ns,79
properties,,,,,856446832.0,ns,80
properties,,,,,692157202.0,ns,81
properties,,,,,701331133.0,ns,82
properties,,,,,731432729.0,ns,83
properties,,,,,737859092.0,ns,84
properties,,,,,742996071.0,ns,85
properties,,,,,758724843.0,ns,86
properties,,,,,854040507.0,ns,87
properties,,,,,744453157.0,ns,88
properties,,,,,720491860.0,ns,89
properties,,,,,717623749.0,ns,90
properties,,,,,724112591.0,ns,91
properties,,,,,742058722.0,ns,92
properties,,,,,767026907.0,ns,93
properties,,,,,912954793.0,ns,94
properties,,,,,840128354.0,ns,95
properties,,,,,790430973.0,ns,96
properties,,,,,799756862.0,ns,97
properties,,,,,805865277.0,ns,98
properties,,,,,816490900.0,ns,99
properties,,,,,825961109.0,ns,100
