group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run binary_trees,,1,,,2923626.0,ns,1
run binary_trees,,1,,,7889648.0,ns,2
run binary_trees,,1,,,9163281.0,ns,3
run binary_trees,,1,,,14456622.0,ns,4
run binary_trees,,1,,,15505403.0,ns,5
run binary_trees,,1,,,18880963.0,ns,6
run binary_trees,,1,,,19939784.0,ns,7
run binary_trees,,1,,,25112646.0,ns,8
run binary_trees,,1,,,25556573.0,ns,9
run binary_trees,,1,,,27951248.0,ns,10
run binary_trees,,1,,,30723179.0,ns,11
run binary_trees,,1,,,33992776.0,ns,12
run binary_trees,,1,,,37939095.0,ns,13
run binary_trees,,1,,,38495652.0,ns,14
run binary_trees,,1,,,41222153.0,ns,15
run binary_trees,,1,,,45382759.0,ns,16
run binary_trees,,1,,,50279497.0,ns,17
run binary_trees,,1,,,49986218.0,ns,18
run binary_trees,,1,,,53176615.0,ns,19
run binary_trees,,1,,,55037782.0,ns,20
run binary_trees,,1,,,58221549.0,ns,21
run binary_trees,,1,,,64592202.0,ns,22
run binary_trees,,1,,,65406135.0,ns,23
run binary_trees,,1,,,81447522.0,ns,24
run binary_trees,,1,,,72297422.0,ns,25
run binary_trees,,1,,,72795051.0,ns,26
run binary_trees,,1,,,77258719.0,ns,27
run binary_trees,,1,,,78741312.0,ns,28
run binary_trees,,1,,,81005301.0,ns,29
run binary_trees,,1,,,88139054.0,ns,30
run binary_trees,,1,,,85873246.0,ns,31
run binary_trees,,1,,,87913304.0,ns,32
run binary_trees,,1,,,91192276.0,ns,33
run binary_trees,,1,,,94714019.0,ns,34
run binary_trees,,1,,,97781786.0,ns,35
run binary_trees,,1,,,101944732.0,ns,36
run binary_trees,,1,,,103040944.0,ns,37
run binary_trees,,1,,,105082071.0,ns,38
run binary_trees,,1,,,110428659.0,ns,39
run binary_trees,,1,,,114071303.0,ns,40
run binary_trees,,1,,,117996471.0,ns,41
run binary_trees,,1,,,121539356.0,ns,42
run binary_trees,,1,,,121756371.0,ns,43
run binary_trees,,1,,,123940799.0,ns,44
run binary_trees,,1,,,124743669.0,ns,45
run binary_trees,,1,,,134359264.0,ns,46
run binary_trees,,1,,,133155762.0,ns,47
run binary_trees,,1,,,138441761.0,ns,48
run binary_trees,,1,,,136448644.0,ns,49
run binary_trees,,1,,,141393658.0,ns,50
run binary_trees,,1,,,149581626.0,ns,51
run binary_trees,,1,,,155308764.0,ns,52
run binary_trees,,1,,,149276557.0,ns,53
run binary_trees,,1,,,152768387.0,ns,54
run binary_trees,,1,,,160957423.0,ns,55
run binary_trees,,1,,,175449787.0,ns,56
run binary_trees,,1,,,167433979.0,ns,57
run binary_trees,,1,,,166327572.0,ns,58
run binary_trees,,1,,,169540182.0,ns,59
run binary_trees,,1,,,166784880.0,ns,60
run binary_trees,,1,,,174297476.0,ns,61
run binary_trees,,1,,,183771114.0,ns,62
run binary_trees,,1,,,176070907.0,ns,63
run binary_trees,,1,,,179420565.0,ns,64
run binary_trees,,1,,,185354557.0,ns,65
run binary_trees,,1,,,184486513.0,ns,66
run binary_trees,,1,,,193145582.0,ns,67
run binary_trees,,1,,,224456129.0,ns,68
run binary_trees,,1,,,210515813.0,ns,69
run binary_trees,,1,,,200354118.0,ns,70
run binary_trees,,1,,,202239810.0,ns,71
run binary_trees,,1,,,202359409.0,ns,72
run binary_trees,,1,,,207958617.0,ns,73
run binary_trees,,1,,,211587516.0,ns,74
run binary_trees,,1,,,210365123.0,ns,75
run binary_trees,,1,,,215530270.0,ns,76
run binary_trees,,1,,,220482150.0,ns,77
run binary_trees,,1,,,218861870.0,ns,78
run binary_trees,,1,,,219775783.0,ns,79
run binary_trees,,1,,,227843735.0,ns,80
run binary_trees,,1,,,226768601.0,ns,81
run binary_trees,,1,,,234014278.0,ns,82
run binary_trees,,1,,,249776492.0,ns,83
run binary_trees,,1,,,234893752.0,ns,84
run binary_trees,,1,,,240737605.0,ns,85
run binary_trees,,1,,,246038178.0,ns,86
run binary_trees,,1,,,247680013.0,ns,87
run binary_trees,,1,,,242982877.0,ns,88
run binary_trees,,1,,,253582347.0,ns,89
run binary_trees,,1,,,257594061.0,ns,90
run binary_trees,,1,,,255902055.0,ns,91
run binary_trees,,1,,,258877591.0,ns,92
run binary_trees,,1,,,257898410.0,ns,93
run binary_trees,,1,,,269341767.0,ns,94
run binary_trees,,1,,,292982895.0,ns,95
run binary_trees,,1,,,272321777.0,ns,96
run binary_trees,,1,,,274291088.0,ns,97
run binary_trees,,1,,,278708296.0,ns,98
run binary_trees,,1,,,276811821.0,ns,99
run binary_trees,,1,,,277866708.0,ns,100
