group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run binary_trees,,1,,,2247343.0,ns,1
run binary_trees,,1,,,6114811.0,ns,2
run binary_trees,,1,,,8108999.0,ns,3
run binary_trees,,1,,,9610602.0,ns,4
run binary_trees,,1,,,15128065.0,ns,5
run binary_trees,,1,,,16454648.0,ns,6
run binary_trees,,1,,,18060299.0,ns,7
run binary_trees,,1,,,20660433.0,ns,8
run binary_trees,,1,,,20337448.0,ns,9
run binary_trees,,1,,,23148377.0,ns,10
run binary_trees,,1,,,25979884.0,ns,11
run binary_trees,,1,,,31506539.0,ns,12
run binary_trees,,1,,,29138934.0,ns,13
run binary_trees,,1,,,33426818.0,ns,14
run binary_trees,,1,,,38209211.0,ns,15
run binary_trees,,1,,,36454678.0,ns,16
run binary_trees,,1,,,42404140.0,ns,17
run binary_trees,,1,,,42494375.0,ns,18
run binary_trees,,1,,,44871237.0,ns,19
run binary_trees,,1,,,49978281.0,ns,20
run binary_trees,,1,,,51422790.0,ns,21
run binary_trees,,1,,,53309641.0,ns,22
run binary_trees,,1,,,54650688.0,ns,23
run binary_trees,,1,,,57817306.0,ns,24
run binary_trees,,1,,,61775318.0,ns,25
run binary_trees,,1,,,59005962.0,ns,26
run binary_trees,,1,,,66238570.0,ns,27
run binary_trees,,1,,,68556641.0,ns,28
run binary_trees,,1,,,67685586.0,ns,29
run binary_trees,,1,,,72500766.0,ns,30
run binary_trees,,1,,,75594778.0,ns,31
run binary_trees,,1,,,76691471.0,ns,32
run binary_trees,,1,,,76285886.0,ns,33
run binary_trees,,1,,,82431696.0,ns,34
run binary_trees,,1,,,85532029.0,ns,35
run binary_trees,,1,,,88898457.0,ns,36
run binary_trees,,1,,,89745875.0,ns,37
run binary_trees,,1,,,91099779.0,ns,38
run binary_trees,,1,,,93031276.0,ns,39
run binary_trees,,1,,,92200506.0,ns,40
run binary_trees,,1,,,97668210.0,ns,41
run binary_trees,,1,,,98268610.0,ns,42
run binary_trees,,1,,,102403855.0,ns,43
run binary_trees,,1,,,105581180.0,ns,44
run binary_trees,,1,,,107305333.0,ns,45
run binary_trees,,1,,,111420136.0,ns,46
run binary_trees,,1,,,109527812.0,ns,47
run binary_trees,,1,,,112521363.0,ns,48
run binary_trees,,1,,,113912156.0,ns,49
run binary_trees,,1,,,117086374.0,ns,50
run binary_trees,,1,,,118514077.0,ns,51
run binary_trees,,1,,,127199564.0,ns,52
run binary_trees,,1,,,125928290.0,ns,53
run binary_trees,,1,,,131262267.0,ns,54
run binary_trees,,1,,,131143199.0,ns,55
run binary_trees,,1,,,134006276.0,ns,56
run binary_trees,,1,,,134572663.0,ns,57
run binary_trees,,1,,,138915487.0,ns,58
run binary_trees,,1,,,138991899.0,ns,59
run binary_trees,,1,,,141068788.0,ns,60
run binary_trees,,1,,,154695706.0,ns,61
run binary_trees,,1,,,145791496.0,ns,62
run binary_trees,,1,,,151895587.0,ns,63
run binary_trees,,1,,,149176671.0,ns,64
run binary_trees,,1,,,157636179.0,ns,65
run binary_trees,,1,,,151821223.0,ns,66
run binary_trees,,1,,,159526224.0,ns,67
run binary_trees,,1,,,165523171.0,ns,68
run binary_trees,,1,,,187011960.0,ns,69
run binary_trees,,1,,,170350676.0,ns,70
run binary_trees,,1,,,171229121.0,ns,71
run binary_trees,,1,,,170007804.0,ns,72
run binary_trees,,1,,,170830332.0,ns,73
run binary_trees,,1,,,181038130.0,ns,74
run binary_trees,,1,,,176911566.0,ns,75
run binary_trees,,1,,,176487961.0,ns,76
run binary_trees,,1,,,178277417.0,ns,77
run binary_trees,,1,,,180284984.0,ns,78
run binary_trees,,1,,,185037982.0,ns,79
run binary_trees,,1,,,189225817.0,ns,80
run binary_trees,,1,,,192256852.0,ns,81
run binary_trees,,1,,,194872467.0,ns,82
run binary_trees,,1,,,195676023.0,ns,83
run binary_trees,,1,,,200295684.0,ns,84
run binary_trees,,1,,,203723653.0,ns,85
run binary_trees,,1,,,203652986.0,ns,86
run binary_trees,,1,,,203727593.0,ns,87
run binary_trees,,1,,,206539660.0,ns,88
run binary_trees,,1,,,211729533.0,ns,89
run binary_trees,,1,,,210923918.0,ns,90
run binary_trees,,1,,,210306989.0,ns,91
run binary_trees,,1,,,216842765.0,ns,92
run binary_trees,,1,,,216596266.0,ns,93
run binary_trees,,1,,,222405714.0,ns,94
run binary_trees,,1,,,222358646.0,ns,95
run binary_trees,,1,,,222302107.0,ns,96
run binary_trees,,1,,,231268133.0,ns,97
run binary_trees,,1,,,237718385.0,ns,98
run binary_trees,,1,,,234642502.0,ns,99
run binary_trees,,1,,,236174255.0,ns,100
