group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run fib,,3,,,2066968.0,ns,1
run fib,,3,,,5118693.0,ns,2
run fib,,3,,,5831705.0,ns,3
run fib,,3,,,7848966.0,ns,4
run fib,,3,,,10761959.0,ns,5
run fib,,3,,,11719839.0,ns,6
run fib,,3,,,13491836.0,ns,7
run fib,,3,,,17960322.0,ns,8
run fib,,3,,,17487577.0,ns,9
run fib,,3,,,19155642.0,ns,10
run fib,,3,,,21102147.0,ns,11
run fib,,3,,,22932454.0,ns,12
run fib,,3,,,26686620.0,ns,13
run fib,,3,,,27125671.0,ns,14
run fib,,3,,,28683101.0,ns,15
run fib,,3,,,31171354.0,ns,16
run fib,,3,,,34302695.0,ns,17
run fib,,3,,,35226686.0,ns,18
run fib,,3,,,37461970.0,ns,19
run fib,,3,,,38276237.0,ns,20
run fib,,3,,,40760878.0,ns,21
run fib,,3,,,44636180.0,ns,22
run fib,,3,,,43956270.0,ns,23
run fib,,3,,,46967052.0,ns,24
run fib,,3,,,47712995.0,ns,25
run fib,,3,,,51699356.0,ns,26
run fib,,3,,,53276349.0,ns,27
run fib,,3,,,55538483.0,ns,28
run fib,,3,,,55377398.0,ns,29
run fib,,3,,,59088568.0,ns,30
run fib,,3,,,60469753.0,ns,31
run fib,,3,,,61839189.0,ns,32
run fib,,3,,,64896955.0,ns,33
run fib,,3,,,64808567.0,ns,34
run fib,,3,,,68921771.0,ns,35
run fib,,3,,,72409708.0,ns,36
run fib,,3,,,72451693.0,ns,37
run fib,,3,,,73090340.0,ns,38
run fib,,3,,,77788490.0,ns,39
run fib,,3,,,78379933.0,ns,40
run fib,,3,,,81011749.0,ns,41
run fib,,3,,,82397272.0,ns,42
run fib,,3,,,83602693.0,ns,43
run fib,,3,,,85443629.0,ns,44
run fib,,3,,,87979918.0,ns,45
run fib,,3,,,89905206.0,ns,46
run fib,,3,,,91174533.0,ns,47
run fib,,3,,,93977364.0,ns,48
run fib,,3,,,94996617.0,ns,49
run fib,,3,,,99046485.0,ns,50
run fib,,3,,,99077660.0,ns,51
run fib,,3,,,101193773.0,ns,52
run fib,,3,,,104876996.0,ns,53
run fib,,3,,,105046308.0,ns,54
run fib,,3,,,106312125.0,ns,55
run fib,,3,,,108447798.0,ns,56
run fib,,3,,,110230033.0,ns,57
run fib,,3,,,112888296.0,ns,58
run fib,,3,,,114885855.0,ns,59
run fib,,3,,,117176174.0,ns,60
run fib,,3,,,119506407.0,ns,61
run fib,,3,,,122333154.0,ns,62
run fib,,3,,,121367092.0,ns,63
run fib,,3,,,124502524.0,ns,64
run fib,,3,,,126788028.0,ns,65
run fib,,3,,,128119145.0,ns,66
run fib,,3,,,129792859.0,ns,67
run fib,,3,,,133506672.0,ns,68
run fib,,3,,,136404244.0,ns,69
run fib,,3,,,137672140.0,ns,70
run fib,,3,,,138983523.0,ns,71
run fib,,3,,,139513546.0,ns,72
run fib,,3,,,146850830.0,ns,73
run fib,,3,,,147292131.0,ns,74
run fib,,3,,,158653638.0,ns,75
run fib,,3,,,148099828.0,ns,76
run fib,,3,,,151250401.0,ns,77
run fib,,3,,,152027404.0,ns,78
run fib,,3,,,153495993.0,ns,79
run fib,,3,,,155328260.0,ns,80
run fib,,3,,,161398047.0,ns,81
run fib,,3,,,161034706.0,ns,82
run fib,,3,,,166995879.0,ns,83
run fib,,3,,,170275564.0,ns,84
run fib,,3,,,165002435.0,ns,85
run fib,,3,,,169535350.0,ns,86
run fib,,3,,,171645833.0,ns,87
run fib,,3,,,170368088.0,ns,88
run fib,,3,,,174659719.0,ns,89
run fib,,3,,,177234656.0,ns,90
run fib,,3,,,175448770.0,ns,91
run fib,,3,,,178546170.0,ns,92
run fib,,3,,,182280403.0,ns,93
run fib,,3,,,184094769.0,ns,94
run fib,,3,,,185874109.0,ns,95
run fib,,3,,,195489974.0,ns,96
run fib,,3,,,190340386.0,ns,97
run fib,,3,,,194853252.0,ns,98
run fib,,3,,,195893583.0,ns,99
run fib,,3,,,196600827.0,ns,100
