group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run fib,,3,,,2121470.0,ns,1
run fib,,3,,,4757933.0,ns,2
run fib,,3,,,7370532.0,ns,3
run fib,,3,,,8317328.0,ns,4
run fib,,3,,,10904039.0,ns,5
run fib,,3,,,16865961.0,ns,6
run fib,,3,,,14953431.0,ns,7
run fib,,3,,,16078893.0,ns,8
run fib,,3,,,17755859.0,ns,9
run fib,,3,,,19527538.0,ns,10
run fib,,3,,,23149847.0,ns,11
run fib,,3,,,24960123.0,ns,12
run fib,,3,,,25635629.0,ns,13
run fib,,3,,,27395699.0,ns,14
run fib,,3,,,31318902.0,ns,15
run fib,,3,,,31756074.0,ns,16
run fib,,3,,,32968285.0,ns,17
run fib,,3,,,37045659.0,ns,18
run fib,,3,,,37331626.0,ns,19
run fib,,3,,,38875478.0,ns,20
run fib,,3,,,44837645.0,ns,21
run fib,,3,,,43453546.0,ns,22
run fib,,3,,,46848654.0,ns,23
run fib,,3,,,47767207.0,ns,24
run fib,,3,,,51428645.0,ns,25
run fib,,3,,,51225423.0,ns,26
run fib,,3,,,54786795.0,ns,27
run fib,,3,,,55041297.0,ns,28
run fib,,3,,,59539424.0,ns,29
run fib,,3,,,59782187.0,ns,30
run fib,,3,,,61417707.0,ns,31
run fib,,3,,,64224880.0,ns,32
run fib,,3,,,64922312.0,ns,33
run fib,,3,,,68800245.0,ns,34
run fib,,3,,,71308918.0,ns,35
run fib,,3,,,72618274.0,ns,36
run fib,,3,,,72991099.0,ns,37
run fib,,3,,,79469054.0,ns,38
run fib,,3,,,78623551.0,ns,39
run fib,,3,,,81012083.0,ns,40
run fib,,3,,,81660383.0,ns,41
run fib,,3,,,86491988.0,ns,42
run fib,,3,,,86698689.0,ns,43
run fib,,3,,,88696191.0,ns,44
run fib,,3,,,90644031.0,ns,45
run fib,,3,,,91976555.0,ns,46
run fib,,3,,,94607035.0,ns,47
run fib,,3,,,96206832.0,ns,48
run fib,,3,,,99301424.0,ns,49
run fib,,3,,,100986993.0,ns,50
run fib,,3,,,103925903.0,ns,51
run fib,,3,,,104611985.0,ns,52
run fib,,3,,,106490617.0,ns,53
run fib,,3,,,108726570.0,ns,54
run fib,,3,,,114012101.0,ns,55
run fib,,3,,,116851706.0,ns,56
run fib,,3,,,114757836.0,ns,57
run fib,,3,,,121926750.0,ns,58
run fib,,3,,,118849694.0,ns,59
run fib,,3,,,121514598.0,ns,60
run fib,,3,,,123899271.0,ns,61
run fib,,3,,,126151124.0,ns,62
run fib,,3,,,126806287.0,ns,63
run fib,,3,,,132776203.0,ns,64
run fib,,3,,,134229773.0,ns,65
run fib,,3,,,134890549.0,ns,66
run fib,,3,,,134517817.0,ns,67
run fib,,3,,,139861748.0,ns,68
run fib,,3,,,138779362.0,ns,69
run fib,,3,,,142580449.0,ns,70
run fib,,3,,,147040123.0,ns,71
run fib,,3,,,145200101.0,ns,72
run fib,,3,,,151064259.0,ns,73
run fib,,3,,,147812458.0,ns,74
run fib,,3,,,154736730.0,ns,75
run fib,,3,,,152295681.0,ns,76
run fib,,3,,,156608775.0,ns,77
run fib,,3,,,161337720.0,ns,78
run fib,,3,,,164634363.0,ns,79
run fib,,3,,,165165183.0,ns,80
run fib,,3,,,161661902.0,ns,81
run fib,,3,,,166937146.0,ns,82
run fib,,3,,,169165118.0,ns,83
run fib,,3,,,168551144.0,ns,84
run fib,,3,,,173723661.0,ns,85
run fib,,3,,,175844563.0,ns,86
run fib,,3,,,176024398.0,ns,87
run fib,,3,,,177767857.0,ns,88
run fib,,3,,,181264002.0,ns,89
run fib,,3,,,186687727.0,ns,90
run fib,,3,,,186211486.0,ns,91
run fib,,3,,,185808186.0,ns,92
run fib,,3,,,189887132.0,ns,93
run fib,,3,,,191035036.0,ns,94
run fib,,3,,,199071916.0,ns,95
run fib,,3,,,201496619.0,ns,96
run fib,,3,,,208361510.0,ns,97
run fib,,3,,,207446487.0,ns,98
run fib,,3,,,204313739.0,ns,99
run fib,,3,,,210720705.0,ns,100
