group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run instantiation,,5,,,2125254.0,ns,1
run instantiation,,5,,,6260239.0,ns,2
run instantiation,,5,,,7407144.0,ns,3
run instantiation,,5,,,9906354.0,ns,4
run instantiation,,5,,,11423335.0,ns,5
run instantiation,,5,,,13893306.0,ns,6
run instantiation,,5,,,17881662.0,ns,7
run instantiation,,5,,,19180730.0,ns,8
run instantiation,,5,,,20179460.0,ns,9
run instantiation,,5,,,22171392.0,ns,10
run instantiation,,5,,,24290367.0,ns,11
run instantiation,,5,,,29650303.0,ns,12
run instantiation,,5,,,28731132.0,ns,13
run instantiation,,5,,,31681764.0,ns,14
run instantiation,,5,,,37994253.0,ns,15
run instantiation,,5,,,35629829.0,ns,16
run instantiation,,5,,,37105307.0,ns,17
run instantiation,,5,,,46035450.0,ns,18
run instantiation,,5,,,41479760.0,ns,19
run instantiation,,5,,,49049684.0,ns,20
run instantiation,,5,,,46354721.0,ns,21
run instantiation,,5,,,54108138.0,ns,22
run instantiation,,5,,,50490411.0,ns,23
run instantiation,,5,,,58201893.0,ns,24
run instantiation,,5,,,54622631.0,ns,25
run instantiation,,5,,,61679105.0,ns,26
run instantiation,,5,,,60988510.0,ns,27
run instantiation,,5,,,61216096.0,ns,28
run instantiation,,5,,,65376327.0,ns,29
run instantiation,,5,,,67297837.0,ns,30
run instantiation,,5,,,68700493.0,ns,31
run instantiation,,5,,,72126973.0,ns,32
run instantiation,,5,,,77218682.0,ns,33
run instantiation,,5,,,75379986.0,ns,34
run instantiation,,5,,,79738756.0,ns,35
run instantiation,,5,,,81278921.0,ns,36
run instantiation,,5,,,130434551.0,ns,37
run instantiation,,5,,,101754366.0,ns,38
run instantiation,,5,,,88589033.0,ns,39
run instantiation,,5,,,89757451.0,ns,40
run instantiation,,5,,,96092242.0,ns,41
run instantiation,,5,,,97651518.0,ns,42
run instantiation,,5,,,97929534.0,ns,43
run instantiation,,5,,,101226060.0,ns,44
run instantiation,,5,,,101513373.0,ns,45
run instantiation,,5,,,107038340.0,ns,46
run instantiation,,5,,,104755649.0,ns,47
run instantiation,,5,,,107384386.0,ns,48
run instantiation,,5,,,108858373.0,ns,49
run instantiation,,5,,,112000834.0,ns,50
run instantiation,,5,,,117735313.0,ns,51
run instantiation,,5,,,117676724.0,ns,52
run instantiation,,5,,,117801326.0,ns,53
run instantiation,,5,,,121459585.0,ns,54
run instantiation,,5,,,123166236.0,ns,55
run instantiation,,5,,,127849333.0,ns,56
run instantiation,,5,,,126990990.0,ns,57
run instantiation,,5,,,129573571.0,ns,58
run instantiation,,5,,,130587280.0,ns,59
run instantiation,,5,,,135906454.0,ns,60
run instantiation,,5,,,135977958.0,ns,61
run instantiation,,5,,,140447026.0,ns,62
run instantiation,,5,,,141261655.0,ns,63
run instantiation,,5,,,141663721.0,ns,64
run instantiation,,5,,,147824909.0,ns,65
run instantiation,,5,,,146511768.0,ns,66
run instantiation,,5,,,151675809.0,ns,67
run instantiation,,5,,,150145060.0,ns,68
run instantiation,,5,,,155591266.0,ns,69
run instantiation,,5,,,155186423.0,ns,70
run instantiation,,5,,,158554116.0,ns,71
run instantiation,,5,,,160822798.0,ns,72
run instantiation,,5,,,162217113.0,ns,73
run instantiation,,5,,,166411298.0,ns,74
run instantiation,,5,,,164790299.0,ns,75
run instantiation,,5,,,173007641.0,ns,76
run instantiation,,5,,,173546168.0,ns,77
run instantiation,,5,,,177488363.0,ns,78
run instantiation,,5,,,174674045.0,ns,79
run instantiation,,5,,,183501442.0,ns,80
run instantiation,,5,,,180954826.0,ns,81
run instantiation,,5,,,184211011.0,ns,82
run instantiation,,5,,,185990798.0,ns,83
run instantiation,,5,,,186613998.0,ns,84
run instantiation,,5,,,189936162.0,ns,85
run instantiation,,5,,,193817159.0,ns,86
run instantiation,,5,,,194853928.0,ns,87
run instantiation,,5,,,193493811.0,ns,88
run instantiation,,5,,,201783082.0,ns,89
run instantiation,,5,,,201876767.0,ns,90
run instantiation,,5,,,199381813.0,ns,91
run instantiation,,5,,,206718522.0,ns,92
run instantiation,,5,,,206741858.0,ns,93
run instantiation,,5,,,206730980.0,ns,94
run instantiation,,5,,,210853089.0,ns,95
run instantiation,,5,,,213163420.0,ns,96
run instantiation,,5,,,215460140.0,ns,97
run instantiation,,5,,,217913153.0,ns,98
run instantiation,,5,,,217483151.0,ns,99
run instantiation,,5,,,227718264.0,ns,100
