group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run instantiation,,5,,,2614411.0,ns,1
run instantiation,,5,,,6348131.0,ns,2
run instantiation,,5,,,7062480.0,ns,3
run instantiation,,5,,,10057404.0,ns,4
run instantiation,,5,,,14120473.0,ns,5
run instantiation,,5,,,15131795.0,ns,6
run instantiation,,5,,,15955622.0,ns,7
run instantiation,,5,,,18010062.0,ns,8
run instantiation,,5,,,20059486.0,ns,9
run instantiation,,5,,,26161339.0,ns,10
run instantiation,,5,,,26661663.0,ns,11
run instantiation,,5,,,26920888.0,ns,12
run instantiation,,5,,,29610943.0,ns,13
run instantiation,,5,,,36558775.0,ns,14
run instantiation,,5,,,33324927.0,ns,15
run instantiation,,5,,,35345608.0,ns,16
run instantiation,,5,,,43594096.0,ns,17
run instantiation,,5,,,40792458.0,ns,18
run instantiation,,5,,,48011549.0,ns,19
run instantiation,,5,,,44598123.0,ns,20
run instantiation,,5,,,52285115.0,ns,21
run instantiation,,5,,,49551186.0,ns,22
run instantiation,,5,,,56888477.0,ns,23
run instantiation,,5,,,53617779.0,ns,24
run instantiation,,5,,,58710429.0,ns,25
run instantiation,,5,,,59923899.0,ns,26
run instantiation,,5,,,61323519.0,ns,27
run instantiation,,5,,,64646443.0,ns,28
run instantiation,,5,,,64842947.0,ns,29
run instantiation,,5,,,71456291.0,ns,30
run instantiation,,5,,,71361393.0,ns,31
run instantiation,,5,,,73288286.0,ns,32
run instantiation,,5,,,74467389.0,ns,33
run instantiation,,5,,,77792942.0,ns,34
run instantiation,,5,,,81382967.0,ns,35
run instantiation,,5,,,86018607.0,ns,36
run instantiation,,5,,,85192312.0,ns,37
run instantiation,,5,,,84587044.0,ns,38
run instantiation,,5,,,92976625.0,ns,39
run instantiation,,5,,,94323319.0,ns,40
run instantiation,,5,,,97745741.0,ns,41
run instantiation,,5,,,100316038.0,ns,42
run instantiation,,5,,,102182187.0,ns,43
run instantiation,,5,,,102262034.0,ns,44
run instantiation,,5,,,103416440.0,ns,45
run instantiation,,5,,,104608543.0,ns,46
run instantiation,,5,,,106518982.0,ns,47
run instantiation,,5,,,110340620.0,ns,48
run instantiation,,5,,,113786603.0,ns,49
run instantiation,,5,,,113639130.0,ns,50
run instantiation,,5,,,120213568.0,ns,51
run instantiation,,5,,,121490589.0,ns,52
run instantiation,,5,,,125406236.0,ns,53
run instantiation,,5,,,132427026.0,ns,54
run instantiation,,5,,,127847072.0,ns,55
run instantiation,,5,,,129327640.0,ns,56
run instantiation,,5,,,139222498.0,ns,57
run instantiation,,5,,,137655267.0,ns,58
run instantiation,,5,,,138613826.0,ns,59
run instantiation,,5,,,145271511.0,ns,60
run instantiation,,5,,,143047707.0,ns,61
run instantiation,,5,,,149258089.0,ns,62
run instantiation,,5,,,143995642.0,ns,63
run instantiation,,5,,,152283304.0,ns,64
run instantiation,,5,,,152806822.0,ns,65
run instantiation,,5,,,158975346.0,ns,66
run instantiation,,5,,,154708945.0,ns,67
run instantiation,,5,,,162260105.0,ns,68
run instantiation,,5,,,164953372.0,ns,69
run instantiation,,5,,,162042614.0,ns,70
run instantiation,,5,,,168275327.0,ns,71
run instantiation,,5,,,171828974.0,ns,72
run instantiation,,5,,,169988107.0,ns,73
run instantiation,,5,,,174605572.0,ns,74
run instantiation,,5,,,180104045.0,ns,75
run instantiation,,5,,,179455387.0,ns,76
run instantiation,,5,,,177745293.0,ns,77
run instantiation,,5,,,184215875.0,ns,78
run instantiation,,5,,,185819629.0,ns,79
run instantiation,,5,,,190674554.0,ns,80
run instantiation,,5,,,191521361.0,ns,81
run instantiation,,5,,,199732744.0,ns,82
run instantiation,,5,,,193425460.0,ns,83
run instantiation,,5,,,221078638.0,ns,84
run instantiation,,5,,,206965559.0,ns,85
run instantiation,,5,,,195874577.0,ns,86
run instantiation,,5,,,200211680.0,ns,87
run instantiation,,5,,,201085429.0,ns,88
run instantiation,,5,,,206567834.0,ns,89
run instantiation,,5,,,206507889.0,ns,90
run instantiation,,5,,,208790307.0,ns,91
run instantiation,,5,,,217397010.0,ns,92
run instantiation,,5,,,218467820.0,ns,93
run instantiation,,5,,,223493489.0,ns,94
run instantiation,,5,,,215069255.0,ns,95
run instantiation,,5,,,223336867.0,ns,96
run instantiation,,5,,,254001551.0,ns,97
run instantiation,,5,,,249696183.0,ns,98
run instantiation,,5,,,241106572.0,ns,99
run instantiation,,5,,,233571817.0,ns,100
