group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run invocation,,4,,,2815333.0,ns,1
run invocation,,4,,,6173576.0,ns,2
run invocation,,4,,,8923487.0,ns,3
run invocation,,4,,,11887171.0,ns,4
run invocation,,4,,,13031938.0,ns,5
run invocation,,4,,,15429736.0,ns,6
run invocation,,4,,,17847577.0,ns,7
run invocation,,4,,,20415083.0,ns,8
run invocation,,4,,,25118406.0,ns,9
run invocation,,4,,,26899920.0,ns,10
run invocation,,4,,,28147158.0,ns,11
run invocation,,4,,,33022737.0,ns,12
run invocation,,4,,,36576536.0,ns,13
run invocation,,4,,,36210846.0,ns,14
run invocation,,4,,,40751967.0,ns,15
run invocation,,4,,,40978896.0,ns,16
run invocation,,4,,,43711083.0,ns,17
run invocation,,4,,,48856869.0,ns,18
run invocation,,4,,,48634974.0,ns,19
run invocation,,4,,,53478529.0,ns,20
run invocation,,4,,,53542199.0,ns,21
run invocation,,4,,,58229030.0,ns,22
run invocation,,4,,,60911700.0,ns,23
run invocation,,4,,,62967169.0,ns,24
run invocation,,4,,,66626724.0,ns,25
run invocation,,4,,,68994065.0,ns,26
run invocation,,4,,,70070308.0,ns,27
run invocation,,4,,,74084721.0,ns,28
run invocation,,4,,,76476237.0,ns,29
run invocation,,4,,,79727436.0,ns,30
run invocation,,4,,,80180396.0,ns,31
run invocation,,4,,,84262528.0,ns,32
run invocation,,4,,,87002770.0,ns,33
run invocation,,4,,,88772759.0,ns,34
run invocation,,4,,,92013237.0,ns,35
run invocation,,4,,,93676018.0,ns,36
run invocation,,4,,,98939662.0,ns,37
run invocation,,4,,,99658739.0,ns,38
run invocation,,4,,,104917780.0,ns,39
run invocation,,4,,,104373601.0,ns,40
run invocation,,4,,,108422266.0,ns,41
run invocation,,4,,,108733344.0,ns,42
run invocation,,4,,,112209620.0,ns,43
run invocation,,4,,,114302041.0,ns,44
run invocation,,4,,,119651002.0,ns,45
run invocation,,4,,,122473239.0,ns,46
run invocation,,4,,,122226079.0,ns,47
run invocation,,4,,,126751950.0,ns,48
run invocation,,4,,,128780282.0,ns,49
run invocation,,4,,,133016631.0,ns,50
run invocation,,4,,,132294064.0,ns,51
run invocation,,4,,,135540524.0,ns,52
run invocation,,4,,,141893112.0,ns,53
run invocation,,4,,,140279194.0,ns,54
run invocation,,4,,,147486354.0,ns,55
run invocation,,4,,,145196467.0,ns,56
run invocation,,4,,,148874875.0,ns,57
run invocation,,4,,,152664346.0,ns,58
run invocation,,4,,,154871925.0,ns,59
run invocation,,4,,,157474085.0,ns,60
run invocation,,4,,,162209859.0,ns,61
run invocation,,4,,,165568600.0,ns,62
run invocation,,4,,,166258778.0,ns,63
run invocation,,4,,,168554051.0,ns,64
run invocation,,4,,,171416479.0,ns,65
run invocation,,4,,,172118860.0,ns,66
run invocation,,4,,,175849526.0,ns,67
run invocation,,4,,,178940277.0,ns,68
run invocation,,4,,,180484903.0,ns,69
run invocation,,4,,,191236529.0,ns,70
run invocation,,4,,,185550476.0,ns,71
run invocation,,4,,,193324752.0,ns,72
run invocation,,4,,,192770984.0,ns,73
run invocation,,4,,,194388677.0,ns,74
run invocation,,4,,,196594271.0,ns,75
run invocation,,4,,,198532625.0,ns,76
run invocation,,4,,,202250378.0,ns,77
run invocation,,4,,,207876500.0,ns,78
run invocation,,4,,,206168458.0,ns,79
run invocation,,4,,,208200707.0,ns,80
run invocation,,4,,,215260890.0,ns,81
run invocation,,4,,,215557110.0,ns,82
run invocation,,4,,,216533195.0,ns,83
run invocation,,4,,,224753489.0,ns,84
run invocation,,4,,,220481241.0,ns,85
run invocation,,4,,,240910911.0,ns,86
run invocation,,4,,,228615787.0,ns,87
run invocation,,4,,,228717772.0,ns,88
run invocation,,4,,,232412822.0,ns,89
run invocation,,4,,,238375670.0,ns,90
run invocation,,4,,,238861968.0,ns,91
run invocation,,4,,,241995680.0,ns,92
run invocation,,4,,,243155743.0,ns,93
run invocation,,4,,,247159862.0,ns,94
run invocation,,4,,,248291329.0,ns,95
run invocation,,4,,,252798643.0,ns,96
run invocation,,4,,,254391211.0,ns,97
run invocation,,4,,,258343079.0,ns,98
run invocation,,4,,,261925000.0,ns,99
run invocation,,4,,,268973269.0,ns,100
