group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run invocation,,4,,,2855250.0,ns,1
run invocation,,4,,,6888813.0,ns,2
run invocation,,4,,,9326226.0,ns,3
run invocation,,4,,,11642158.0,ns,4
run invocation,,4,,,14581017.0,ns,5
run invocation,,4,,,21610563.0,ns,6
run invocation,,4,,,21489360.0,ns,7
run invocation,,4,,,20532125.0,ns,8
run invocation,,4,,,24289591.0,ns,9
run invocation,,4,,,27184877.0,ns,10
run invocation,,4,,,33880970.0,ns,11
run invocation,,4,,,32021611.0,ns,12
run invocation,,4,,,33897442.0,ns,13
run invocation,,4,,,41416799.0,ns,14
run invocation,,4,,,40418639.0,ns,15
run invocation,,4,,,47200996.0,ns,16
run invocation,,4,,,44247312.0,ns,17
run invocation,,4,,,48169214.0,ns,18
run invocation,,4,,,49536697.0,ns,19
run invocation,,4,,,53022701.0,ns,20
run invocation,,4,,,55455381.0,ns,21
run invocation,,4,,,58888839.0,ns,22
run invocation,,4,,,60567154.0,ns,23
run invocation,,4,,,64192098.0,ns,24
run invocation,,4,,,65896312.0,ns,25
run invocation,,4,,,67883873.0,ns,26
run invocation,,4,,,71746763.0,ns,27
run invocation,,4,,,76050665.0,ns,28
run invocation,,4,,,75577508.0,ns,29
run invocation,,4,,,78291225.0,ns,30
run invocation,,4,,,85371721.0,ns,31
run invocation,,4,,,88325086.0,ns,32
run invocation,,4,,,91108253.0,ns,33
run invocation,,4,,,93966017.0,ns,34
run invocation,,4,,,101000018.0,ns,35
run invocation,,4,,,98846921.0,ns,36
run invocation,,4,,,100514494.0,ns,37
run invocation,,4,,,103945919.0,ns,38
run invocation,,4,,,111276909.0,ns,39
run invocation,,4,,,111188185.0,ns,40
run invocation,,4,,,112864240.0,ns,41
run invocation,,4,,,119119314.0,ns,42
run invocation,,4,,,120274572.0,ns,43
run invocation,,4,,,121217684.0,ns,44
run invocation,,4,,,122264910.0,ns,45
run invocation,,4,,,126250592.0,ns,46
run invocation,,4,,,133887154.0,ns,47
run invocation,,4,,,129447246.0,ns,48
run invocation,,4,,,135051534.0,ns,49
run invocation,,4,,,142096088.0,ns,50
run invocation,,4,,,136491383.0,ns,51
run invocation,,4,,,147596782.0,ns,52
run invocation,,4,,,143335175.0,ns,53
run invocation,,4,,,155865192.0,ns,54
run invocation,,4,,,145939959.0,ns,55
run invocation,,4,,,159305894.0,ns,56
run invocation,,4,,,152499973.0,ns,57
run invocation,,4,,,163576006.0,ns,58
run invocation,,4,,,156003494.0,ns,59
run invocation,,4,,,159524351.0,ns,60
run invocation,,4,,,166947151.0,ns,61
run invocation,,4,,,162129166.0,ns,62
run invocation,,4,,,168033088.0,ns,63
run invocation,,4,,,171440214.0,ns,64
run invocation,,4,,,167833315.0,ns,65
run invocation,,4,,,179229952.0,ns,66
run invocation,,4,,,178481222.0,ns,67
run invocation,,4,,,181286524.0,ns,68
run invocation,,4,,,178821557.0,ns,69
run invocation,,4,,,190041169.0,ns,70
run invocation,,4,,,194074200.0,ns,71
run invocation,,4,,,199024591.0,ns,72
run invocation,,4,,,197200004.0,ns,73
run invocation,,4,,,205443035.0,ns,74
run invocation,,4,,,199317111.0,ns,75
run invocation,,4,,,200620711.0,ns,76
run invocation,,4,,,212385638.0,ns,77
run invocation,,4,,,206820922.0,ns,78
run invocation,,4,,,208527060.0,ns,79
run invocation,,4,,,211026920.0,ns,80
run invocation,,4,,,211626230.0,ns,81
run invocation,,4,,,214737593.0,ns,82
run invocation,,4,,,216837482.0,ns,83
run invocation,,4,,,219799047.0,ns,84
run invocation,,4,,,221783439.0,ns,85
run invocation,,4,,,227171677.0,ns,86
run invocation,,4,,,224818935.0,ns,87
run invocation,,4,,,229419861.0,ns,88
run invocation,,4,,,233687056.0,ns,89
run invocation,,4,,,239230440.0,ns,90
run invocation,,4,,,240355136.0,ns,91
run invocation,,4,,,250875198.0,ns,92
run invocation,,4,,,249683755.0,ns,93
run invocation,,4,,,253665806.0,ns,94
run invocation,,4,,,258997635.0,ns,95
run invocation,,4,,,272964905.0,ns,96
run invocation,,4,,,280807070.0,ns,97
run invocation,,4,,,272512907.0,ns,98
run invocation,,4,,,264098825.0,ns,99
run invocation,,4,,,289277197.0,ns,100
