group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run zoo,,9,,,2796073.0,ns,1
run zoo,,9,,,6012455.0,ns,2
run zoo,,9,,,6899843.0,ns,3
run zoo,,9,,,9709855.0,ns,4
run zoo,,9,,,11165599.0,ns,5
run zoo,,9,,,13065736.0,ns,6
run zoo,,9,,,14851374.0,ns,7
run zoo,,9,,,17136899.0,ns,8
run zoo,,9,,,24238606.0,ns,9
run zoo,,9,,,22087867.0,ns,10
run zoo,,9,,,23676531.0,ns,11
run zoo,,9,,,25568198.0,ns,12
run zoo,,9,,,33372372.0,ns,13
run zoo,,9,,,30452663.0,ns,14
run zoo,,9,,,32295212.0,ns,15
run zoo,,9,,,41905048.0,ns,16
run zoo,,9,,,36816521.0,ns,17
run zoo,,9,,,40364271.0,ns,18
run zoo,,9,,,43516958.0,ns,19
run zoo,,9,,,42798463.0,ns,20
run zoo,,9,,,50112523.0,ns,21
run zoo,,9,,,47067111.0,ns,22
run zoo,,9,,,54867030.0,ns,23
run zoo,,9,,,51352228.0,ns,24
run zoo,,9,,,58755929.0,ns,25
run zoo,,9,,,60181676.0,ns,26
run zoo,,9,,,58252309.0,ns,27
run zoo,,9,,,65051354.0,ns,28
run zoo,,9,,,64041762.0,ns,29
run zoo,,9,,,69006323.0,ns,30
run zoo,,9,,,70970895.0,ns,31
run zoo,,9,,,72884734.0,ns,32
run zoo,,9,,,71320466.0,ns,33
run zoo,,9,,,78832903.0,ns,34
run zoo,,9,,,79442365.0,ns,35
run zoo,,9,,,79525617.0,ns,36
run zoo,,9,,,79295784.0,ns,37
run zoo,,9,,,85051238.0,ns,38
run zoo,,9,,,88989629.0,ns,39
run zoo,,9,,,87010528.0,ns,40
run zoo,,9,,,88990157.0,ns,41
run zoo,,9,,,93511549.0,ns,42
run zoo,,9,,,94330332.0,ns,43
run zoo,,9,,,95971720.0,ns,44
run zoo,,9,,,99440923.0,ns,45
run zoo,,9,,,99759221.0,ns,46
run zoo,,9,,,102377065.0,ns,47
run zoo,,9,,,104754263.0,ns,48
run zoo,,9,,,107570855.0,ns,49
run zoo,,9,,,108497471.0,ns,50
run zoo,,9,,,110945605.0,ns,51
run zoo,,9,,,113653955.0,ns,52
run zoo,,9,,,115453159.0,ns,53
run zoo,,9,,,121803562.0,ns,54
run zoo,,9,,,121788350.0,ns,55
run zoo,,9,,,121474497.0,ns,56
run zoo,,9,,,123275745.0,ns,57
run zoo,,9,,,124583919.0,ns,58
run zoo,,9,,,129825182.0,ns,59
run zoo,,9,,,130833914.0,ns,60
run zoo,,9,,,131413193.0,ns,61
run zoo,,9,,,135315302.0,ns,62
run zoo,,9,,,137555442.0,ns,63
run zoo,,9,,,138979661.0,ns,64
run zoo,,9,,,142412616.0,ns,65
run zoo,,9,,,143083345.0,ns,66
run zoo,,9,,,149071923.0,ns,67
run zoo,,9,,,147681169.0,ns,68
run zoo,,9,,,151076038.0,ns,69
run zoo,,9,,,151595408.0,ns,70
run zoo,,9,,,156789911.0,ns,71
run zoo,,9,,,159382743.0,ns,72
run zoo,,9,,,159346264.0,ns,73
run zoo,,9,,,162325476.0,ns,74
run zoo,,9,,,162295627.0,ns,75
run zoo,,9,,,175287811.0,ns,76
run zoo,,9,,,175138979.0,ns,77
run zoo,,9,,,172015746.0,ns,78
run zoo,,9,,,180664468.0,ns,79
run zoo,,9,,,181860608.0,ns,80
run zoo,,9,,,183328468.0,ns,81
run zoo,,9,,,186821425.0,ns,82
run zoo,,9,,,186454899.0,ns,83
run zoo,,9,,,185943637.0,ns,84
run zoo,,9,,,191143111.0,ns,85
run zoo,,9,,,194438349.0,ns,86
run zoo,,9,,,196698480.0,ns,87
run zoo,,9,,,198814876.0,ns,88
run zoo,,9,,,200054315.0,ns,89
run zoo,,9,,,204424601.0,ns,90
run zoo,,9,,,205915305.0,ns,91
run zoo,,9,,,208961638.0,ns,92
run zoo,,9,,,210153742.0,ns,93
run zoo,,9,,,216359640.0,ns,94
run zoo,,9,,,215006562.0,ns,95
run zoo,,9,,,215540575.0,ns,96
run zoo,,9,,,219464212.0,ns,97
run zoo,,9,,,220976738.0,ns,98
run zoo,,9,,,225632141.0,ns,99
run zoo,,9,,,230050187.0,ns,100
