group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
run zoo,,9,,,2477589.0,ns,1
run zoo,,9,,,5700314.0,ns,2
run zoo,,9,,,7027672.0,ns,3
run zoo,,9,,,10662433.0,ns,4
run zoo,,9,,,14710993.0,ns,5
run zoo,,9,,,16062703.0,ns,6
run zoo,,9,,,16073137.0,ns,7
run zoo,,9,,,18319112.0,ns,8
run zoo,,9,,,20345770.0,ns,9
run zoo,,9,,,24884600.0,ns,10
run zoo,,9,,,25878205.0,ns,11
run zoo,,9,,,26972813.0,ns,12
run zoo,,9,,,29617326.0,ns,13
run zoo,,9,,,34109267.0,ns,14
run zoo,,9,,,35280282.0,ns,15
run zoo,,9,,,36700174.0,ns,16
run zoo,,9,,,41501612.0,ns,17
run zoo,,9,,,41687081.0,ns,18
run zoo,,9,,,49541767.0,ns,19
run zoo,,9,,,44977608.0,ns,20
run zoo,,9,,,48804073.0,ns,21
run zoo,,9,,,49492893.0,ns,22
run zoo,,9,,,56870518.0,ns,23
run zoo,,9,,,54491366.0,ns,24
run zoo,,9,,,58951749.0,ns,25
run zoo,,9,,,58993090.0,ns,26
run zoo,,9,,,63780076.0,ns,27
run zoo,,9,,,65582657.0,ns,28
run zoo,,9,,,65402897.0,ns,29
run zoo,,9,,,71719569.0,ns,30
run zoo,,9,,,77440629.0,ns,31
run zoo,,9,,,75966880.0,ns,32
run zoo,,9,,,75818824.0,ns,33
run zoo,,9,,,79386685.0,ns,34
run zoo,,9,,,88848361.0,ns,35
run zoo,,9,,,84235143.0,ns,36
run zoo,,9,,,89971789.0,ns,37
run zoo,,9,,,91993668.0,ns,38
run zoo,,9,,,94594141.0,ns,39
run zoo,,9,,,95541497.0,ns,40
run zoo,,9,,,95232790.0,ns,41
run zoo,,9,,,98731995.0,ns,42
run zoo,,9,,,99436962.0,ns,43
run zoo,,9,,,101798377.0,ns,44
run zoo,,9,,,113256530.0,ns,45
run zoo,,9,,,106613491.0,ns,46
run zoo,,9,,,110122084.0,ns,47
run zoo,,9,,,112907539.0,ns,48
run zoo,,9,,,116024692.0,ns,49
run zoo,,9,,,115636065.0,ns,50
run zoo,,9,,,119450251.0,ns,51
run zoo,,9,,,121042161.0,ns,52
run zoo,,9,,,123441599.0,ns,53
run zoo,,9,,,131031964.0,ns,54
run zoo,,9,,,131476052.0,ns,55
run zoo,,9,,,133569001.0,ns,56
run zoo,,9,,,131854857.0,ns,57
run zoo,,9,,,135590674.0,ns,58
run zoo,,9,,,136290305.0,ns,59
run zoo,,9,,,141200471.0,ns,60
run zoo,,9,,,147265110.0,ns,61
run zoo,,9,,,142951543.0,ns,62
run zoo,,9,,,150787945.0,ns,63
run zoo,,9,,,147095158.0,ns,64
run zoo,,9,,,154666150.0,ns,65
run zoo,,9,,,152249489.0,ns,66
run zoo,,9,,,156295915.0,ns,67
run zoo,,9,,,161650484.0,ns,68
run zoo,,9,,,162048960.0,ns,69
run zoo,,9,,,169905787.0,ns,70
run zoo,,9,,,162943106.0,ns,71
run zoo,,9,,,167324742.0,ns,72
run zoo,,9,,,176023347.0,ns,73
run zoo,,9,,,175946611.0,ns,74
run zoo,,9,,,172999905.0,ns,75
run zoo,,9,,,177929585.0,ns,76
run zoo,,9,,,188162876.0,ns,77
run zoo,,9,,,187518038.0,ns,78
run zoo,,9,,,186332886.0,ns,79
run zoo,,9,,,190380557.0,ns,80
run zoo,,9,,,186840852.0,ns,81
run zoo,,9,,,195161889.0,ns,82
run zoo,,9,,,199699873.0,ns,83
run zoo,,9,,,205635984.0,ns,84
run zoo,,9,,,200801429.0,ns,85
run zoo,,9,,,208417383.0,ns,86
run zoo,,9,,,202058508.0,ns,87
run zoo,,9,,,203819161.0,ns,88
run zoo,,9,,,212384810.0,ns,89
run zoo,,9,,,208724010.0,ns,90
run zoo,,9,,,210340060.0,ns,91
run zoo,,9,,,211674977.0,ns,92
run zoo,,9,,,214086563.0,ns,93
run zoo,,9,,,220540030.0,ns,94
run zoo,,9,,,218495044.0,ns,95
run zoo,,9,,,223200622.0,ns,96
run zoo,,9,,,227086166.0,ns,97
run zoo,,9,,,294930752.0,ns,98
run zoo,,9,,,244302996.0,ns,99
run zoo,,9,,,236279031.0,ns,100
