group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
trees,,,,,2702000.0,ns,1
trees,,,,,6629574.0,ns,2
trees,,,,,7256573.0,ns,3
trees,,,,,20662792.0,ns,4
trees,,,,,12303532.0,ns,5
trees,,,,,19446454.0,ns,6
trees,,,,,33074534.0,ns,7
trees,,,,,21109594.0,ns,8
trees,,,,,27012969.0,ns,9
trees,,,,,34802372.0,ns,10
trees,,,,,36645069.0,ns,11
trees,,,,,41577228.0,ns,12
trees,,,,,40837968.0,ns,13
trees,,,,,40982264.0,ns,14
trees,,,,,60014464.0,ns,15
trees,,,,,45366921.0,ns,16
trees,,,,,56656620.0,ns,17
trees,,,,,49311914.0,ns,18
trees,,,,,71669569.0,ns,19
trees,,,,,59940644.0,ns,20
trees,,,,,64698130.0,ns,21
trees,,,,,71617982.0,ns,22
trees,,,,,71458786.0,ns,23
trees,,,,,85330241.0,ns,24
trees,,,,,75122650.0,ns,25
trees,,,,,82887723.0,ns,26
trees,,,,,96096574.0,ns,27
trees,,,,,83734814.0,ns,28
trees,,,,,95170409.0,ns,29
trees,,,,,104245082.0,ns,30
trees,,,,,94589908.0,ns,31
trees,,,,,98353124.0,ns,32
trees,,,,,116570324.0,ns,33
trees,,,,,107741153.0,ns,34
trees,,,,,114012859.0,ns,35
trees,,,,,110752859.0,ns,36
trees,,,,,136407188.0,ns,37
trees,,,,,114593274.0,ns,38
trees,,,,,129240433.0,ns,39
trees,,,,,122182097.0,ns,40
trees,,,,,144597087.0,ns,41
trees,,,,,130899945.0,ns,42
trees,,,,,132839210.0,ns,43
trees,,,,,144233352.0,ns,44
trees,,,,,146274864.0,ns,45
trees,,,,,139151319.0,ns,46
trees,,,,,156154820.0,ns,47
trees,,,,,161764062.0,ns,48
trees,,,,,149207262.0,ns,49
trees,,,,,166246926.0,ns,50
trees,,,,,168305853.0,ns,51
trees,,,,,159999681.0,ns,52
trees,,,,,170222742.0,ns,53
trees,,,,,163788462.0,ns,54
trees,,,,,174584256.0,ns,55
trees,,,,,188061710.0,ns,56
trees,,,,,190297512.0,ns,57
trees,,,,,176097812.0,ns,58
trees,,,,,197438284.0,ns,59
trees,,,,,198644942.0,ns,60
trees,,,,,197219978.0,ns,61
trees,,,,,192003550.0,ns,62
trees,,,,,203865932.0,ns,63
trees,,,,,206668530.0,ns,64
trees,,,,,213910701.0,ns,65
trees,,,,,202823785.0,ns,66
trees,,,,,217879849.0,ns,67
trees,,,,,223997624.0,ns,68
trees,,,,,220978197.0,ns,69
trees,,,,,228085321.0,ns,70
trees,,,,,221570032.0,ns,71
trees,,,,,228424753.0,ns,72
trees,,,,,230412955.0,ns,73
trees,,,,,242196708.0,ns,74
trees,,,,,232251025.0,ns,75
trees,,,,,251752204.0,ns,76
trees,,,,,245521891.0,ns,77
trees,,,,,260128756.0,ns,78
trees,,,,,249289707.0,ns,79
trees,,,,,262991633.0,ns,80
trees,,,,,260129373.0,ns,81
trees,,,,,258993309.0,ns,82
trees,,,,,270482690.0,ns,83
trees,,,,,259294484.0,ns,84
trees,,,,,279818197.0,ns,85
trees,,,,,271631114.0,ns,86
trees,,,,,277538712.0,ns,87
trees,,,,,279284461.0,ns,88
trees,,,,,287467253.0,ns,89
trees,,,,,292334851.0,ns,90
trees,,,,,294297147.0,ns,91
trees,,,,,293994500.0,ns,92
trees,,,,,297722848.0,ns,93
trees,,,,,328541828.0,ns,94
trees,,,,,305196605.0,ns,95
trees,,,,,303376661.0,ns,96
trees,,,,,317362064.0,ns,97
trees,,,,,303629108.0,ns,98
trees,,,,,327856228.0,ns,99
trees,,,,,330204051.0,ns,100
