group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
zoo,,,,,2951492.0,ns,1
zoo,,,,,6339729.0,ns,2
zoo,,,,,6905182.0,ns,3
zoo,,,,,9953116.0,ns,4
zoo,,,,,10948471.0,ns,5
zoo,,,,,12853003.0,ns,6
zoo,,,,,15055528.0,ns,7
zoo,,,,,17113094.0,ns,8
zoo,,,,,19984920.0,ns,9
zoo,,,,,22502113.0,ns,10
zoo,,,,,23513669.0,ns,11
zoo,,,,,25480905.0,ns,12
zoo,,,,,29327947.0,ns,13
zoo,,,,,31361832.0,ns,14
zoo,,,,,33288496.0,ns,15
zoo,,,,,38693557.0,ns,16
zoo,,,,,37082693.0,ns,17
zoo,,,,,38252959.0,ns,18
zoo,,,,,42383382.0,ns,19
zoo,,,,,42850052.0,ns,20
zoo,,,,,48368066.0,ns,21
zoo,,,,,47285876.0,ns,22
zoo,,,,,50651655.0,ns,23
zoo,,,,,51393819.0,ns,24
zoo,,,,,55621774.0,ns,25
zoo,,,,,58641402.0,ns,26
zoo,,,,,59791722.0,ns,27
zoo,,,,,59606678.0,ns,28
zoo,,,,,64071797.0,ns,29
zoo,,,,,65651662.0,ns,30
zoo,,,,,66759465.0,ns,31
zoo,,,,,73676207.0,ns,32
zoo,,,,,77357201.0,ns,33
zoo,,,,,78588575.0,ns,34
zoo,,,,,74611179.0,ns,35
zoo,,,,,80538532.0,ns,36
zoo,,,,,82812071.0,ns,37
zoo,,,,,84559129.0,ns,38
zoo,,,,,89048723.0,ns,39
zoo,,,,,90570588.0,ns,40
zoo,,,,,89311578.0,ns,41
zoo,,,,,89830507.0,ns,42
zoo,,,,,93925870.0,ns,43
zoo,,,,,95163595.0,ns,44
zoo,,,,,100722258.0,ns,45
zoo,,,,,101882061.0,ns,46
zoo,,,,,102454437.0,ns,47
zoo,,,,,104387760.0,ns,48
zoo,,,,,106801765.0,ns,49
zoo,,,,,111602768.0,ns,50
zoo,,,,,115081041.0,ns,51
zoo,,,,,112862601.0,ns,52
zoo,,,,,114618256.0,ns,53
zoo,,,,,119659826.0,ns,54
zoo,,,,,119358573.0,ns,55
zoo,,,,,124794222.0,ns,56
zoo,,,,,123849292.0,ns,57
zoo,,,,,130263963.0,ns,58
zoo,,,,,128300132.0,ns,59
zoo,,,,,131091789.0,ns,60
zoo,,,,,134622000.0,ns,61
zoo,,,,,149180968.0,ns,62
zoo,,,,,137937779.0,ns,63
zoo,,,,,139041102.0,ns,64
zoo,,,,,146598237.0,ns,65
zoo,,,,,147042682.0,ns,66
zoo,,,,,150208214.0,ns,67
zoo,,,,,148866441.0,ns,68
zoo,,,,,159062131.0,ns,69
zoo,,,,,153710163.0,ns,70
zoo,,,,,158185467.0,ns,71
zoo,,,,,162312702.0,ns,72
zoo,,,,,164067966.0,ns,73
zoo,,,,,164994880.0,ns,74
zoo,,,,,167574693.0,ns,75
zoo,,,,,170459172.0,ns,76
zoo,,,,,173879198.0,ns,77
zoo,,,,,177399809.0,ns,78
zoo,,,,,173436282.0,ns,79
zoo,,,,,181457872.0,ns,80
zoo,,,,,179775748.0,ns,81
zoo,,,,,178453681.0,ns,82
zoo,,,,,181329891.0,ns,83
zoo,,,,,186080318.0,ns,84
zoo,,,,,184607903.0,ns,85
zoo,,,,,190129854.0,ns,86
zoo,,,,,194403643.0,ns,87
zoo,,,,,194445367.0,ns,88
zoo,,,,,200280909.0,ns,89
zoo,,,,,211691300.0,ns,90
zoo,,,,,200329631.0,ns,91
zoo,,,,,200904214.0,ns,92
zoo,,,,,204635750.0,ns,93
zoo,,,,,206714087.0,ns,94
zoo,,,,,209723791.0,ns,95
zoo,,,,,214172365.0,ns,96
zoo,,,,,215132106.0,ns,97
zoo,,,,,221034824.0,ns,98
zoo,,,,,216176337.0,ns,99
zoo,,,,,217945345.0,ns,100
